Id,Directory,MapName,MapDescription0,MapDescription1,PvpShortDescription,PvpLongDescription,Corpse0,Corpse1,MapType,InstanceType,ExpansionId,AreaTableId,LoadingScreenId,TimeOfDayOverride,ParentMapId,CosmeticParentMapId,TimeOffset,MinimapIconScale,CorpseMapId,MaxPlayers,WindSettingsId,ZmpFileDataId,WdtFileDataId,Flags0,Flags1
"409","MoltenCore","熔火之心","","","","","-7510.565","-1036.698","2","2","0","2717","192","-1","-1","-1","0","1","0","40","0","0","788659","1553","262152"
"429","DireMaul","厄運之槌","","","","","-3908.03","1130","2","1","0","2557","82","-1","-1","-1","0","1","1","5","0","0","780814","1537","262152"
"449","AlliancePVPBarracks","聯盟PVP兵營","","","","","0","0","2","0","0","2918","181","-1","-1","-1","0","1","-1","0","0","0","775968","1553","262152"
"450","HordePVPBarracks","部落PVP兵營","","","","","0","0","2","0","0","2917","182","-1","-1","-1","0","1","-1","0","0","0","782776","1553","262152"
"451","development","開發之地","","","","","0","0","1","0","3","0","21","-1","-1","-1","0","1","-1","0","0","0","857684","134219359","262152"
"469","BlackwingLair","黑翼之巢","","","","","-7663.413","-1218.667","1","2","0","2677","141","-1","-1","-1","0","1","0","40","0","0","780178","1553","262152"
"489","PVPZone03","經典戰歌峽谷","在位於梣谷森林和貧瘠之地交界處的戰歌峽谷中，聯盟和部落之間的戰爭一直在激烈地進行著。

在這個10人對10人的搶旗型戰場，首先奪得3面旗幟的那方就是勝利者。

為了幫助自己的盟友取得勝利，艾澤拉斯的每一個種族都加入這片戰場，用自己的劍和魔法與敵人展開廝殺。","在位於梣谷森林和貧瘠之地交界處的戰歌峽谷中，聯盟和部落之間的戰爭一直在激烈地進行著。

在這個10人對10人的搶旗型戰場，首先奪得3面旗幟的那方就是勝利者。

為了幫助自己的盟友取得勝利，艾澤拉斯的每一個種族都加入這片戰場，用自己的劍和魔法與敵人展開廝殺。","奪取敵方旗幟","- 保護我方旗幟
- 搶奪敵方旗幟
- 搶旗較快的團隊獲勝","0","0","1","3","0","3277","122","-1","-1","-1","0","1","-1","0","0","0","790291","1553","786432"
"509","AhnQiraj","安其拉廢墟","","","","","-8114.464","1526.366","1","2","0","3429","184","-1","-1","-1","0","1","1","20","0","0","775637","1553","262152"
"529","PVPZone04","經典阿拉希盆地","阿拉希盆地是艾澤拉斯大陸上人類和被遺忘者之間的主要戰場之一。

阿拉希盆地是一個15人對15人的支配型戰場，雙方都企圖盡可能地長時間控制獸欄、鐵匠鋪、礦坑、伐木場與農場。

「污染者」精銳部隊的目標是切斷人類和他們位於南方的矮人同盟之間的聯絡。

而阿拉索聯軍則是想要為暴風城奪回更多的失地。","阿拉希盆地是艾澤拉斯大陸上人類和被遺忘者之間的主要戰場之一。

阿拉希盆地是一個15人對15人的支配型戰場，雙方都企圖盡可能地長時間控制獸欄、鐵匠鋪、礦坑、伐木場與農場。

「污染者」精銳部隊的目標是切斷人類和他們位於南方的矮人同盟之間的聯絡。

而阿拉索聯軍則是想要為暴風城奪回更多的失地。","占領目標","- 占領並守住目標
- 獲得1,500點資源","0","0","1","3","0","3358","183","-1","-1","-1","0","1.25","-1","0","0","0","790377","1553","786432"
"530","Expansion01","外域","","","","","0","0","1","0","1","0","198","-1","-1","-1","0","1","-1","0","0","804943","828395","16778769","262152"
"531","AhnQirajTemple","安其拉神廟","","","","","-8111.724","1526.786","1","2","0","3428","185","-1","-1","-1","0","1","1","40","0","0","775840","1553","262152"
"532","Karazahn","卡拉贊","","","","","-11110.41","-2004.065","1","2","1","3457","200","-1","-1","-1","0","1","0","10","0","0","834192","1553","262152"
"533","Stratholme Raid","納克薩瑪斯","","","","","0","0","1","2","2","3456","197","-1","-1","-1","0","1","-1","25","0","0","827115","34321","262152"
"534","HyjalPast","海加爾山之戰","","","","","-8178.508","-4182.05","1","2","1","616","212","-1","-1","-1","0","1","1","25","0","0","831824","1553","262152"
"540","HellfireMilitary","地獄火堡壘:破碎大廳","","","","","-306.7582","3064.436","2","1","1","3714","199","-1","-1","-1","0","1","530","5","0","0","831277","1553","262152"
"542","HellfireDemon","地獄火堡壘:血熔爐","","","","","-295.4193","3151.993","2","1","1","3713","199","-1","-1","-1","0","1","530","5","0","0","830642","1553","262152"
"543","HellfireRampart","地獄火堡壘:地獄火壁壘","","","","","-360.0499","3067.896","1","1","1","3562","199","-1","-1","-1","0","1","530","5","0","0","832154","67089","262152"
"544","HellfireRaid","瑪瑟里頓的巢穴","","","","","-330.2339","3106.636","2","2","1","3836","208","-1","-1","-1","0","1","530","25","0","0","833183","1553","262152"
"545","CoilfangPumping","盤牙:蒸汽洞窟","","","","","764.2191","6915.08","2","1","1","3715","207","-1","-1","-1","0","1","530","5","0","0","828422","1553","262152"
"546","CoilfangMarsh","盤牙:深幽泥沼","","","","","764.6282","6768.073","2","1","1","3716","207","-1","-1","-1","0","1","530","5","0","0","831262","1553","262152"
"547","CoilfangDraenei","盤牙:奴隸監獄","","","","","742.1582","7011.327","2","1","1","3717","207","-1","-1","-1","0","1","530","5","0","0","830731","1553","262152"
"548","CoilfangRaid","盤牙:毒蛇神殿洞穴","","","","","775.7864","6865.243","2","2","1","3607","207","-1","-1","-1","0","1","530","25","0","0","829900","1553","262152"
"550","TempestKeepRaid","風暴要塞","","","","","0","0","2","2","1","3845","206","-1","-1","-1","0","1","-1","25","0","0","832484","1553","262152"
"552","TempestKeepArcane","風暴要塞：亞克崔茲","","","","","0","0","2","1","1","3848","206","-1","-1","-1","0","1","-1","5","0","0","832070","1553","262152"
"553","TempestKeepAtrium","風暴要塞:波塔尼卡","","","","","0","0","2","1","1","3847","206","-1","-1","-1","0","1","-1","5","0","0","833950","1553","262152"
"554","TempestKeepFactory","風暴要塞:麥克納爾","","","","","0","0","2","1","1","3849","206","-1","-1","-1","0","1","-1","5","0","0","831974","1553","262152"
"555","AuchindounShadow","奧齊頓:暗影迷宮","","","","","-3640.688","4943.163","2","1","1","3789","201","-1","-1","-1","0","1","530","5","0","0","828331","1553","262152"
"556","AuchindounDemon","奧齊頓:塞司克大廳","","","","","-3361.863","4665.592","2","1","1","3791","201","-1","-1","-1","0","1","530","5","0","0","828811","1553","262152"
"557","AuchindounEthereal","奧齊頓：法力墓地","","","","","-3089.516","4942.756","2","1","1","3792","201","-1","-1","-1","0","1","530","5","0","0","830899","1553","262152"
"558","AuchindounDraenei","奧齊頓:奧奇奈地穴","","","","","-3363.44","5156.455","2","1","1","3790","201","-1","-1","-1","0","1","530","5","0","0","830415","1553","262152"
"559","PVPZone05","納葛蘭競技場(舊)","","","","","0","0","1","4","0","0","219","-1","-1","-1","0","1","-1","0","0","0","790469","1553","786440"
"560","HillsbradPast","逃離敦霍爾德","","","","","-8309.81","-4061.509","1","1","1","267","212","-1","-1","-1","0","1","1","5","0","0","833998","9745","262152"
"562","bladesedgearena","zzOld劍刃競技場","","","","","0","0","1","4","0","3702","218","-1","-1","-1","0","1","-1","0","0","0","780261","1553","786440"
"564","BlackTemple","黑暗神廟","","","","","-3644.53","317.294","1","2","1","0","215","-1","-1","-1","0","1","530","25","0","0","829630","1553","262152"
"565","GruulsLair","戈魯爾之巢","","","","","3525.453","5144.151","2","2","1","3923","213","-1","-1","-1","0","1","530","25","0","0","833180","1553","262152"
"566","NetherstormBG","暴風之眼","盤旋在虛空風暴荒蕪土地高處的，是一座名為暴風之眼的小島。

暴風之眼是一座15人對15人的支配型戰場，雙方都企圖盡可能地長時間控制法師塔、惡魔劫奪者廢墟、血精靈塔與德萊尼廢墟。

這裡因為蘊含了豐富的能量，久為血精靈垂涎之地。

因為這裡和那魯神秘的飛船 - 風暴要塞十分接近，所以德萊尼想佔有此地。","盤旋在虛空風暴荒蕪土地高處的，是一座名為暴風之眼的小島。

暴風之眼是一座15人對15人的支配型戰場，雙方都企圖盡可能地長時間控制法師塔、惡魔劫奪者廢墟、血精靈塔與德萊尼廢墟。

這裡因為蘊含了豐富的能量，久為血精靈垂涎之地。

因為這裡和那魯神秘的飛船 - 風暴要塞十分接近，所以德萊尼想佔有此地。","占領目標","- 占領並守住目標
- 搶得戰場中央旗幟
- 獲得1,500點資源","0","0","1","3","0","0","210","-1","-1","-1","0","1","-1","0","0","0","788893","1553","786440"
"568","ZulAman","祖阿曼","","","","","6851.021","-7989.713","1","1","3","0","276","-1","-1","-1","0","1","530","10","0","0","815727","1553","262152"
"571","Northrend","北裂境","","","","","0","0","1","0","2","0","216","-1","-1","-1","0","1","-1","0","0","804939","822688","16786973","262168"
"572","PVPLordaeron","羅德隆廢墟","","","","","0","0","1","4","0","0","217","-1","-1","-1","0","1","-1","0","0","0","789984","1553","786440"
"573","ExteriorTest","外部測試","","","","","0","0","1","0","2","0","0","-1","-1","-1","0","1","-1","0","0","0","855346","1567","262216"
"574","Valgarde70","俄特加德要塞","","","","","1211.759","-4868.422","1","1","2","0","220","-1","-1","-1","0","1","571","5","0","0","825743","9757","262152"
"575","UtgardePinnacle","俄特加德之巔","","","","","1232.41","-4860.954","1","1","2","0","221","-1","-1","-1","0","1","571","5","0","0","827661","67101","262152"
"576","Nexus70","奧核之心","","","","","3899.926","6985.436","2","1","2","4265","226","-1","-1","-1","0","1","571","5","0","0","821331","1553","262152"
"578","Nexus80","奧核之眼","","","","","3865.923","6983.94","1","1","2","0","227","-1","-1","-1","0","1","571","5","0","0","819814","1565","262152"
"580","SunwellPlateau","太陽之井","","","","","12551.76","-6774.565","1","2","1","0","225","-1","-1","-1","0","1","530","25","0","0","832953","1553","262152"
"582","Transport176244","傳送:魯瑟蘭到奧伯丁","","","","","0","0","3","0","0","0","0","-1","-1","-1","0","1","-1","0","0","0","0","1553","262152"
"584","Transport176231","傳送:米奈希爾到塞拉摩","","","","","0","0","3","0","0","0","0","-1","-1","-1","0","1","-1","0","0","0","0","1553","262152"
"585","Sunwell5ManFix","博學者殿堂","","","","","12881.9","-7343.095","1","1","1","0","224","-1","-1","-1","0","1","530","5","0","0","834223","67101","262152"
"586","Transport181645","傳送:艾克索達到奧伯丁","","","","","0","0","3","0","0","0","0","-1","-1","-1","0","1","-1","0","0","0","0","1553","262152"
"587","Transport177233","傳送:羽月渡口","","","","","0","0","3","0","0","0","0","-1","-1","-1","0","1","-1","0","0","0","0","1553","262152"
"588","Transport176310","傳送:米奈希爾到奧伯丁","","","","","0","0","3","0","0","0","0","-1","-1","-1","0","1","-1","0","0","0","0","1553","262152"
"589","Transport175080","傳送:奧格瑪到格羅姆高","","","","","0","0","3","0","0","0","0","-1","-1","-1","0","1","-1","0","0","0","0","1553","262152"
"590","Transport176495","傳送:格羅姆高到幽暗城","","","","","0","0","3","0","0","0","0","-1","-1","-1","0","1","-1","0","0","0","0","1553","262152"
"591","Transport164871","傳送:幽暗城到奧格瑪","","","","","0","0","3","0","0","0","0","-1","-1","-1","0","1","-1","0","0","0","0","1553","262152"
"592","Transport186238","傳送:北風凍原測試","","","","","0","0","3","0","0","0","0","-1","-1","-1","0","1","-1","0","0","0","0","1553","262152"
"593","Transport20808","傳送:藏寶海灣到棘齒城","","","","","0","0","3","0","0","0","0","-1","-1","-1","0","1","-1","0","0","0","0","1553","262152"
"594","Transport187038","傳送:凜風峽灣慈悲姐妹號 (任務)","","","","","0","0","3","0","2","0","0","-1","-1","-1","0","1","-1","0","0","0","0","1553","262152"
"595","StratholmeCOT","斯坦索姆的抉擇","","","","","-8756.087","-4457.418","1","1","2","0","222","-1","-1","-1","0","1","1","5","0","0","826005","1553","262152"
"596","Transport187263","傳送:奈格法","","","","","0","0","3","0","2","0","0","-1","-1","-1","0","1","-1","0","0","0","0","1553","262152"
"597","CraigTest","Craig Test","","","","","0","0","1","0","0","0","0","-1","-1","-1","0","1","-1","0","0","0","862017","1759","262152"
"598","Sunwell5Man","Sunwell Fix (Unused)","","","","","0","0","2","1","1","0","4","-1","-1","-1","0","1","-1","5","0","0","863869","1555","262152"
"599","Ulduar70","石之大廳","","","","","8921.793","-966.8065","1","1","2","0","230","-1","-1","-1","0","1","571","5","0","0","824642","1565","262152"
"600","DrakTheronKeep","德拉克薩隆要塞","","","","","4774.583","-2023.049","1","1","2","0","228","-1","-1","-1","0","1","571","5","0","0","820968","1565","262152"
"601","Azjol_Uppercity","阿茲歐-奈幽","","","","","3672.215","2171.275","1","1","2","0","229","-1","-1","-1","0","1","571","5","0","0","818693","1565","262152"
"602","Ulduar80","雷光大廳","","","","","9185.088","-1386.791","1","1","2","0","231","-1","-1","-1","0","1","571","5","0","0","824768","1565","262152"
"603","UlduarRaid","奧杜亞","","","","","9359.371","-1115.175","1","2","2","0","244","0","-1","-1","0","1","571","5","0","0","825015","1565","262152"
"604","GunDrak","剛德拉克","","","","","6708.731","-4654.904","1","1","2","0","237","-1","-1","-1","0","1","571","5","0","0","818626","1565","262152"
"605","development_nonweighted","Development Land (non-weighted textures)","","","","","0","0","1","2","0","0","21","-1","-1","-1","0","1","-1","0","0","0","857811","1555","262152"
"606","QA_DVD","QA and DVD","","","","","0","0","1","0","3","0","21","-1","-1","-1","0","1","-1","0","0","0","866654","1567","262152"
"607","NorthrendBG","遠祖灘頭","龍骨荒野的南方藏著一個富有傳奇色彩的泰坦神器，聯盟與部落都知道這個神器之中藏有泰坦族以及他們生存方式相關的重要情報。

遠祖灘頭是一個15人對15人的戰場，在這裡雙方輪流攻擊與防守島嶼南端的泰坦神器。

好好準備作戰吧，決定誰能在遠祖灘頭獲勝的可不光只是命運而已。","龍骨荒野的南方藏著一個富有傳奇色彩的泰坦神器，聯盟與部落都知道這個神器之中藏有泰坦族以及他們生存方式相關的重要情報。

遠祖灘頭是一個15人對15人的戰場，在這裡雙方輪流攻擊與防守島嶼南端的泰坦神器。

好好準備作戰吧，決定誰能在遠祖灘頭獲勝的可不光只是命運而已。","搶奪泰坦聖物","- 攻擊者：攻擊大門和聖物
- 防禦者：防禦大門和聖物
- 最快獲得聖物的團隊獲勝","0","0","1","3","0","0","238","-1","-1","-1","0","1","-1","0","0","0","789579","1565","786440"
"608","DalaranPrison","紫羅蘭堡","","","","","5689.49","498.0469","1","1","2","0","235","-1","-1","-1","0","1","571","5","0","0","818205","1565","262152"
"609","DeathKnightStart","黯黑堡","","","","","0","0","1","0","2","0","233","-1","-1","-1","0","1","-1","0","0","0","818210","67101","262152"
"610","Transport_Tirisfal _Vengeance_Landing","傳送:提里斯法到復仇臺地","","","","","0","0","3","0","0","0","0","-1","-1","-1","0","1","-1","0","0","0","0","1553","262152"
"612","Transport_Menethil_Valgarde","傳送:米奈希爾到瓦爾加德","","","","","0","0","3","0","0","0","0","-1","-1","-1","0","1","-1","0","0","0","0","1553","262152"
"613","Transport_Orgrimmar_Warsong_Hold","傳送:奧格瑪到戰歌堡","","","","","0","0","3","0","0","0","0","-1","-1","-1","0","1","-1","0","0","0","0","1553","262152"
"614","Transport_Stormwind_Valiance_Keep","傳送:風暴城到驍勇要塞","","","","","0","0","3","0","0","0","0","-1","-1","-1","0","1","-1","0","0","0","0","1553","262152"
"615","ChamberOfAspectsBlack","黑曜聖所","","","","","3438.153","260.4013","1","2","2","0","239","-1","-1","-1","0","1","571","0","0","0","820448","34333","262152"
"616","NexusRaid","永恆之眼","","","","","3869.981","6984.33","1","2","2","0","236","-1","-1","-1","0","1","571","5","0","0","822560","34333","262152"
"617","DalaranArena","達拉然下水道","","","","","0","0","1","4","0","0","242","0","-1","-1","0","1","-1","0","0","0","780309","1565","786440"
"618","OrgrimmarArena","勇武競技場","","","","","0","0","1","4","0","0","240","720","-1","-1","0","1","-1","0","0","0","789925","4195869","786440"
"619","Azjol_LowerCity","安卡罕特：古王國","","","","","3641.458","2032.064","1","1","2","0","234","-1","-1","-1","0","1","571","0","0","0","818056","1565","262152"
"620","Transport_Moa'ki_Unu'pe","傳送:默亞基到昂紐沛","","","","","0","0","3","0","2","0","0","-1","-1","-1","0","1","-1","0","0","0","0","1553","262152"
"621","Transport_Moa'ki_Kamagua","傳送:默亞基到卡瑪廓","","","","","0","0","3","0","2","0","0","-1","-1","-1","0","1","-1","0","0","0","0","1553","262152"
"622","Transport192241","傳送:奧格林之錘","","","","","0","0","3","0","2","0","0","-1","-1","-1","0","1","-1","0","0","0","0","1553","262152"
"623","Transport192242","傳送:破天者號","","","","","0","0","3","0","2","0","0","-1","-1","-1","0","1","-1","0","0","0","0","1553","262152"
"624","WintergraspRaid","亞夏梵穹殿","","","","","5488.125","2840.334","1","2","2","0","243","-1","-1","-1","0","1","571","0","0","0","826589","34365","262152"
"627","unused","Unused (DELETE ME)","","","","","0","0","1","5","6","0","25","-1","-1","-1","0","1","-1","0","0","0","856557","15957","262144"
"628","IsleofConquest","征服之島","征服之島是聯盟與部落在北裂境戰事的重要戰略據點，雙方都想要控制這座島嶼。

在這個大規模戰場之中，雙方都設法控制攻城工坊、碼頭或機棚，以確保進軍敵方要塞的路線，並擊敗敵方將軍(海弗德‧龍禍或霸主阿格瑪)。","征服之島是聯盟與部落在北裂境戰事的重要戰略據點，雙方都想要控制這座島嶼。

在這個大規模戰場之中，雙方都設法控制攻城工坊、碼頭或機棚，以確保進軍敵方要塞的路線，並擊敗敵方將軍(海弗德‧龍禍或霸主阿格瑪)。","擊殺敵方首領","- 搶奪載具重生點
- 攻入敵方堡壘
- 擊殺敵方首領","0","0","1","3","2","0","245","-1","-1","-1","0","1","-1","0","0","0","821811","1565","786440"
"631","IcecrownCitadel","冰冠城塞","","","","","5776.922","2065.932","1","2","2","0","250","-1","-1","-1","0","1","571","0","0","0","820428","34589","262152"
"632","IcecrownCitadel5Man","眾魂熔爐","","","","","5670.792","2003.629","1","1","2","0","249","-1","-1","-1","0","1","571","0","0","0","818965","1565","262152"
"637","AbyssalMaw","深淵之喉外部","","","","","0","0","1","1","3","0","23","-1","-1","-1","0","1","-1","0","0","0","814762","1565","262152"
"638","Gilneas","吉爾尼斯","","","","","0","0","1","0","0","0","4","-1","654","-1","0","1","-1","0","0","0","782283","1629","262156"
"641","Transport_AllianceAirshipBG","傳送:聯盟飛船BG","","","","","0","0","3","0","2","0","0","-1","-1","-1","0","1","-1","0","0","0","0","1553","262152"
"642","Transport_HordeAirshipBG","傳送:部落飛船BG","","","","","0","0","3","0","2","0","0","-1","-1","-1","0","1","-1","0","0","0","0","1553","262152"
"643","AbyssalMaw_Interior","海潮王座","","","","","-5585.872","5401.649","1","1","3","0","255","-1","-1","-1","0","1","0","0","0","0","814875","17949","262152"
"644","Uldum","起源大廳","","","","","-10226","-1837.479","1","1","3","0","256","1080","-1","-1","0","1","1","0","0","0","817800","1565","262152"
"645","BlackRockSpire_4_0","黑石洞穴","","","","","-7570.245","-1330.684","1","1","3","0","267","-1","-1","-1","0","1","0","0","0","0","813034","1565","262152"
"646","Deephome","地深之源","","","","","0","0","1","0","3","0","268","-1","-1","-1","0","1","-1","0","0","0","816934","1629","270344"
"647","Transport_Orgrimmar_to_Thunderbluff","傳送:奧格瑪到雷霆崖","","","","","0","0","3","0","2","0","0","-1","-1","-1","0","1","-1","0","0","0","0","1553","262152"
"648","LostIsles","失落群島","","","","","0","0","1","0","0","0","3","-1","-1","-1","0","1","-1","0","0","0","787837","271965","262156"
"649","ArgentTournamentRaid","十字軍試煉","","","","","8515.286","736.1371","1","2","2","0","246","-1","-1","-1","0","1","571","0","0","0","818173","34589","262152"
"650","ArgentTournamentDungeon","勇士試煉","","","","","8571.435","792.2205","1","1","2","0","247","-1","-1","-1","0","1","571","0","0","0","817987","1565","262152"
"651","ElevatorSpawnTest","ElevatorSpawnTest","","","","","0","0","3","0","0","0","0","-1","-1","-1","0","1","-1","0","0","0","0","1555","262152"
"654","Gilneas2","吉爾尼斯2","","","","","0","0","1","0","0","0","4","-1","-1","-1","0","1","-1","0","0","0","782341","263709","262156"
"655","GilneasPhase1","吉爾尼斯階段1","","","","","0","0","1","0","0","0","0","-1","654","-1","0","1","-1","0","0","0","782644","1629","262156"
"656","GilneasPhase2","吉爾尼斯階段2","","","","","0","0","1","0","0","0","0","-1","654","-1","0","1","-1","0","0","0","782667","1629","262156"
"657","SkywallDungeon","漩渦尖塔","","","","","-11522.49","-2317.934","1","1","3","0","259","-1","-1","-1","0","1","1","0","0","0","817086","1565","262152"
"658","QuarryofTears","薩倫之淵","","","","","5592.057","2010.271","1","1","2","0","252","-1","-1","-1","0","1","571","0","0","0","827056","1565","262152"
"659","LostIslesPhase1","失落群島火山爆發","","","","","0","0","1","0","0","0","3","-1","648","-1","0","1","-1","0","0","0","788585","1565","262156"
"660","Deephomeceiling","地深之源屋頂","","","","","0","0","1","0","3","0","0","-1","-1","-1","0","1","-1","0","0","0","855573","1695","262152"
"661","LostIslesPhase2","失落群島盒中鎮","","","","","0","0","1","0","0","0","0","-1","648","-1","0","1","-1","0","0","0","788648","1565","262156"
"662","Transport197195","傳送:聯盟瓦許伊爾船","","","","","0","0","3","0","3","0","0","-1","-1","-1","0","1","-1","0","0","0","0","1553","262152"
"668","HallsOfReflection","倒影大廳","","","","","5628.875","1973.286","1","1","2","0","253","-1","-1","-1","0","1","571","0","0","0","818690","1565","262152"
"669","BlackwingDescent","黑翼陷窟","","","","","-7541.768","-1188.832","1","2","3","0","260","-1","-1","-1","0","1","0","0","0","0","813052","34589","262152"
"670","GrimBatolDungeon","格瑞姆巴托","","","","","-4047.74","-3446.35","1","1","3","0","257","-1","-1","-1","0","1","0","0","0","0","815686","1565","262152"
"671","GrimBatolRaid","暮光堡壘","","","","","-4903.01","-4221.21","1","2","3","0","266","-1","-1","-1","0","1","0","0","0","0","814552","34589","262152"
"672","Transport197347","傳送:破天者號(冰冠城塞團隊)","","","","","0","0","3","0","2","0","0","-1","-1","-1","0","1","-1","0","0","0","0","1553","262152"
"673","Transport197348","傳送:奧格林之錘(冰冠城塞團隊)","","","","","0","0","3","0","2","0","0","-1","-1","-1","0","1","-1","0","0","0","0","1553","262152"
