Id,Name,Description,DisplayIndex,UiCameraId,AltHandUICameraId,ForgeAttachmentOverride,Flags,ArtifactId
"230","腐化的回憶","","6","854","0","-1","1","2"
"231","昇靈守望","","5","855","0","-1","0","46"
"232","光育紋章","","6","947","0","-1","1","45"
"233","恩若司之爪","","6","857","956","-1","1","47"
"234","幽魂刃","","5","862","867","-1","0","43"
"235","雷霆之怒
馭風者的神聖之刃","","6","872","877","-1","1","44"
"236","毒噬","","6","878","879","-1","1","17"
"237","阿曼尼的尊榮","","6","884","889","-1","1","40"
"238","贊達拉勇士","","6","890","0","-1","1","41"
"239","盤蛇","","6","891","960","-1","1","42"
"240","罪人脊骨","","5","892","0","-1","0","39"
"241","薩奇爾的面容","","6","893","924","20","1","37"
"242","晦暗者的偽裝","","5","894","0","-1","0","38"
"243","奧金破刃斧","","6","895","0","-1","1","36"
"244","屠龍者的斬斧","","6","896","897","-1","1","35"
"245","軍團破壞者","","5","898","964","-1","0","11"
