ZoneName,Field_9_0_1_35167_0010,Field_9_0_1_35167_0011,Field_9_0_1_35167_0012,ChrClassesId,ZoneImageAtlas,SpellVisualKitId,Field_9_0_1_34615_004,SpellVisualKitId_Female,Field_9_0_1_34615_004_Female,Field_9_0_1_34821_007,GroundSpellVisualKitId,Field_9_0_1_34821_009,Field_9_0_1_35167_011,Field_9_0_1_35360_014
"亞榭洛：黯黑堡","0","0","0","6","12420","0","0","0","0","0","0","0","0","0"
"亞榭洛：黯黑堡","0","0","0","6","12420","0","0","0","0","0","0","0","0","0"
"亞榭洛：黯黑堡","0","0","0","6","12420","0","0","0","0","0","0","0","0","0"
"亞榭洛：黯黑堡","0","0","0","6","12420","0","0","0","0","0","0","0","0","0"
"亞榭洛：黯黑堡","0","0","0","6","12420","0","0","0","0","0","0","0","0","0"
"亞榭洛：黯黑堡","0","0","0","6","12420","0","0","0","0","0","0","0","0","0"
"亞榭洛：黯黑堡","0","0","0","6","12420","0","0","0","0","0","0","0","0","0"
"北郡山谷","0","0","0","1","12427","0","0","0","0","0","0","0","0","0"
"北郡山谷","0","0","0","2","12427","0","0","133483","133440","0","0","0","0","0"
"諾姆瑞根","0","0","0","1","12424","0","0","0","0","0","0","0","0","0"
"試煉谷","0","0","0","1","12434","132937","132938","128667","132581","0","0","0","0","0"
"寒脊山谷","0","0","0","5","12423","0","0","0","0","0","0","0","0","0"
"回音群島","0","0","0","4","12437","0","133196","0","0","0","0","0","0","0"
"試煉谷","0","0","0","4","12434","0","133196","0","0","0","0","0","0","0"
"寒脊山谷","0","0","0","1","12423","0","0","0","0","0","0","0","0","0"
"寒脊山谷","0","0","0","4","12423","0","0","0","0","0","0","0","0","0"
"幽影谷","0","0","0","11","12433","0","0","0","0","0","0","0","0","0"
"喪鐘鎮","0","0","0","5","12438","0","0","0","0","0","134410","0","0","0"
"喪鐘鎮","0","0","0","1","12438","0","0","0","0","0","0","0","0","0"
"紅雲台地","0","0","0","11","12436","0","0","0","0","0","0","0","0","0"
"亞榭洛：黯黑堡","0","0","0","6","12420","0","0","0","0","0","0","0","0","0"
"亞榭洛：黯黑堡","0","0","0","6","12420","0","0","0","0","0","0","0","0","0"
"諾姆瑞根","0","0","0","3","12424","131761","132614","0","0","133580","0","0","0","0"
"回音群島","0","0","0","1","12437","0","0","0","0","0","0","0","0","0"
"亞榭洛：黯黑堡","-2","1.9","0","6","12420","0","0","0","0","0","0","0","0.2","0"
"吉爾尼斯城","0","0","0","11","12449","129374","0","0","0","0","0","0","0","0"
"吉爾尼斯城","0","0","0","3","12449","131761","132614","0","0","133608","0","0","0","0"
"吉爾尼斯城","0","0","0","8","12449","0","0","0","0","0","0","0","0","0"
"吉爾尼斯城","0","0","0","4","12449","0","0","0","0","0","0","0","0","0"
"回音群島","0","0","0","8","12437","0","0","0","0","0","0","0","0","0"
"北郡山谷","0","0","0","5","12427","0","0","0","0","0","0","0","0","0"
"污水港","0","0","0","1","12425","0","0","0","0","0","0","0","0","0"
"北郡山谷","0","0","0","3","12427","0","0","0","0","133510","0","0","0","0"
"紅雲台地","0","0","0","2","12436","0","0","0","0","0","0","0","0","0"
"紅雲台地","0","0","0","5","12436","0","0","0","0","0","134410","0","0","0"
"寒脊山谷","0","0","0","7","12423","0","0","0","0","0","132522","0","0","0"
"回音群島","0","0","0","11","12437","0","0","0","0","0","0","0","0","0"
"諾姆瑞根","0","0","0","5","12424","0","0","0","0","0","0","0","0","0"
"幽影谷","0","0","0","8","12433","0","0","0","0","0","0","0","0","0"
"試煉谷","0","0","0","8","12434","134112","0","0","0","0","0","0","0","0"
"喪鐘鎮","0","0","0","3","12438","131761","132614","0","0","133571","0","0","0","0"
"吉爾尼斯城","0","0","0","5","12449","0","0","0","0","0","0","0","0","0"
"諾姆瑞根","0","0","0","10","12424","0","0","0","0","0","0","0","0","0"
"幽影谷","0","0","0","10","12433","0","0","0","0","0","0","0","0","0"
"逐日者之島","0","0","0","10","12422","0","0","0","0","0","0","0","0","0"
"試煉谷","0","0","0","10","12434","0","0","0","0","0","0","0","0","0"
"紅雲台地","0","0","0","10","12436","0","0","0","0","0","0","0","0","0"
"回音群島","0","0","0","10","12437","0","0","0","0","0","0","0","0","0"
"喪鐘鎮","0","0","0","10","12438","0","0","0","0","0","0","0","0","0"
"尚羲訓練營","0","0","0","10","12435","0","0","0","0","0","0","0","0","0"
"尚羲訓練營","0","0","0","3","12435","131761","132614","0","0","133585","0","0","0","0"
"尚羲訓練營","0","0","0","8","12435","0","0","0","0","0","0","0","0","0"
"尚羲訓練營","0","0","0","5","12435","0","0","0","0","0","134410","0","0","0"
"尚羲訓練營","0","0","0","4","12435","0","0","0","0","0","0","0","0","0"
"尚羲訓練營","0","0","0","7","12435","0","0","0","0","0","132523","0","0","0"
"尚羲訓練營","0","0","0","1","12435","0","0","0","0","0","0","0","0","0"
"逐日者之島","0","0","0","3","12422","0","0","0","0","133579","0","0","0","0"
"幽影谷","0","0","0","5","12433","0","0","0","0","0","0","0","0","0"
"北郡山谷","0","0","0","4","12427","0","0","0","0","0","0","0","0","0"
"寒脊山谷","0","0","0","9","12423","0","0","0","0","0","0","0","0","0"
"回音群島","0","0","0","9","12437","0","0","0","0","0","0","0","0","0"
"逐日者之島","0","0","0","1","12422","0","0","0","0","0","0","0","0","0"
"吉爾尼斯城","0","0","0","9","12449","0","0","0","0","0","134079","0","0","0"
"吉爾尼斯城","0","0","0","1","12449","132939","132938","0","0","0","0","0","0","0"
"亞榭洛：黯黑堡","0","0","0","6","12420","0","0","0","0","0","0","0","0","0"
"污水港","0","0","0","3","12425","131761","132614","0","0","133610","0","0","0","0"
"污水港","0","0","0","8","12425","0","0","0","0","0","0","0","0","0"
"污水港","0","0","0","5","12425","0","0","0","0","0","134410","0","0","0"
"污水港","0","0","0","4","12425","0","133196","0","0","0","0","0","0","0"
"污水港","0","0","0","7","12425","0","0","0","0","0","132546","0","0","0"
"污水港","0","0","0","9","12425","0","0","0","0","0","0","0","0","0"
"伊利達瑞據點","0","0","0","12","12419","0","0","0","0","0","0","0","0","0"
"伊利達瑞據點","0","0","0","12","12419","0","0","0","0","0","0","0","0","0"
"雷霆圖騰","0","0","0","1","12426","0","0","0","0","0","0","0","0","0"
"特洛古斯裂隙","0","0","0","3","12439","0","0","0","0","133614","0","0","0","0"
"特洛古斯裂隙","0","0","0","8","12439","0","0","134112","0","0","0","0","0","0"
"特洛古斯裂隙","0","0","0","10","12439","0","0","0","0","0","0","0","0","0"
"特洛古斯裂隙","0","0","0","5","12439","0","0","0","0","0","0","0","0","0"
"特洛古斯裂隙","0","0","0","4","12439","0","0","0","0","0","0","0","0","0"
"特洛古斯裂隙","0","0","0","1","12439","0","0","0","0","0","0","0","0","0"
"梵迪卡爾","0","0","0","3","12429","131761","132614","0","0","133625","0","0","0","0"
"梵迪卡爾","0","0","0","8","12429","0","0","0","0","0","0","0","0","0"
"梵迪卡爾","0","0","0","1","12429","0","0","0","0","0","0","0","0","0"
"梵迪卡爾","0","0","0","2","12429","0","0","0","0","0","0","0","0","0"
"雷霆圖騰","0","0","0","3","12426","0","0","0","0","133612","0","0","0","0"
"特洛古斯裂隙","0","0","0","9","12439","0","0","0","0","0","0","0","0","0"
"暗夜堡","0","0","0","8","12432","0","0","0","0","0","0","0","0","0"
"暗夜堡","0","0","0","3","12432","0","0","0","0","133627","0","0","0","0"
"暗夜堡","0","0","0","10","12432","0","0","0","0","0","0","0","0","0"
"暗夜堡","0","0","0","5","12432","0","0","0","0","0","134410","0","0","0"
"暗夜堡","0","0","0","4","12432","0","133196","0","0","0","0","0","0","0"
"暗夜堡","0","0","0","9","12432","0","0","0","0","0","0","0","0","0"
"暗夜堡","0","0","0","1","12432","0","0","0","0","0","0","0","0","0"
"雷霆圖騰","0","0","0","11","12426","0","0","0","0","0","0","0","0","0"
"雷霆圖騰","0","0","0","7","12426","0","0","0","0","0","132560","0","0","0"
"黑石深淵","0","0","0","4","12418","0","0","0","0","0","0","0","0","0"
"榮譽谷","0","0","0","7","12430","0","0","0","0","0","132562","0","0","0"
"黑石深淵","0","0","0","7","12418","0","0","0","0","0","132556","0","0","0"
"黑石深淵","0","0","0","9","12418","0","0","0","0","0","0","0","0","0"
"雷霆圖騰","0","0","0","10","12426","0","0","0","0","0","0","0","0","0"
"榮譽谷","0","0","0","1","12430","132937","132938","128667","132581","0","0","0","0","0"
"黑石深淵","0","0","0","1","12418","0","0","0","0","0","0","0","0","0"
"黑石深淵","0","0","0","3","12418","131761","132614","0","0","133804","0","0","0","0"
"黑石深淵","0","0","0","8","12418","0","0","0","0","0","0","0","0","0"
"榮譽谷","0","0","0","8","12430","134112","0","0","0","0","0","0","0","0"
"黑石深淵","0","0","0","10","12418","0","0","0","0","0","0","0","0","0"
"黑石深淵","0","0","0","2","12418","0","0","0","0","0","0","0","0","0"
"榮譽谷","0","0","0","5","12430","0","0","0","0","0","134410","0","0","0"
"黑石深淵","0","0","0","5","12418","0","0","0","0","0","0","0","0","0"
"榮譽谷","0","0","0","4","12430","0","133196","0","0","0","0","0","0","0"
"達薩亞洛","0","0","0","1","12450","0","0","0","0","0","0","0","0","0"
"達薩亞洛","0","0","0","5","12450","0","0","0","0","0","134410","0","0","0"
"達薩亞洛","0","0","0","11","12450","0","0","0","0","0","0","0","0","0"
"達薩亞洛","0","0","0","4","12450","0","133196","0","0","0","0","0","0","0"
"達薩亞洛","0","0","0","8","12450","0","0","0","0","0","0","0","0","0"
"達薩亞洛","0","0","0","7","12450","0","0","0","0","0","132559","0","0","0"
"達薩亞洛","0","0","0","3","12450","0","0","0","0","133632","0","0","0","0"
"達薩亞洛","0","0","0","2","12450","0","0","0","0","0","0","0","0","0"
"達薩亞洛","0","0","0","10","12450","0","0","0","0","0","0","0","0","0"
"榮譽谷","0","0","0","1","12440","0","0","0","0","0","0","0","0","0"
"機械岡城","0","0","0","1","12431","0","0","0","0","0","0","0","0","0"
"波拉勒斯","0","0","0","11","12428","0","0","0","0","0","0","0","0","0"
"波拉勒斯","0","0","0","3","12428","0","0","0","0","133834","0","0","0","0"
"波拉勒斯","0","0","0","8","12428","0","0","0","0","0","0","0","0","0"
"波拉勒斯","0","0","0","10","12428","0","0","0","0","0","0","0","0","0"
"波拉勒斯","0","0","0","5","12428","0","0","0","0","0","0","0","0","0"
"波拉勒斯","0","0","0","4","12428","0","0","0","0","0","0","0","0","0"
"波拉勒斯","0","0","0","7","12428","0","0","0","0","0","132533","0","0","0"
"榮譽谷","0","0","0","4","12440","0","133196","0","0","0","0","0","0","0"
"機械岡城","0","0","0","4","12431","0","0","0","0","0","0","0","0","0"
"榮譽谷","0","0","0","10","12440","0","0","0","0","0","0","0","0","0"
"機械岡城","0","0","0","10","12431","0","0","0","0","0","0","0","0","0"
"榮譽谷","0","0","0","3","12440","0","0","0","0","133836","0","0","0","0"
"波拉勒斯","0","0","0","1","12428","0","0","0","0","0","0","0","0","0"
"機械岡城","0","0","0","3","12431","131761","132614","0","0","133833","0","0","0","0"
"榮譽谷","0","0","0","5","12440","0","0","0","0","0","134410","0","0","0"
"榮譽谷","0","0","0","8","12440","0","0","0","0","0","0","0","0","0"
"機械岡城","0","0","0","8","12431","0","0","0","0","0","0","0","0","0"
"榮譽谷","0","0","0","9","12440","0","0","0","0","0","0","0","0","0"
"機械岡城","0","0","0","9","12431","0","0","0","0","0","0","0","0","0"
"榮譽谷","0","0","0","7","12440","0","0","0","0","0","132561","0","0","0"
"冰封王座","0","0","0","6","12421","0","0","0","0","0","0","0","0","0"
"冰封王座","0","0","0","6","12421","0","0","0","0","0","0","0","0","0"
"冰封王座","0","0","0","6","12421","0","0","0","0","0","0","0","0","0"
"冰封王座","0","0","0","6","12421","0","0","0","0","0","0","0","0","0"
"冰封王座","0","0","0","6","12421","0","0","0","0","0","0","0","0","0"
"冰封王座","0","0","0","6","12421","0","0","0","0","0","0","0","0","0"
"冰封王座","0","0","0","6","12421","0","0","0","0","0","0","0","0","0"
"冰封王座","0","0","0","6","12421","0","0","0","0","0","0","0","0","0"
"冰封王座","0","0","0","6","12421","0","0","0","0","0","0","0","0","0"
"冰封王座","0","0","0","6","12421","0","0","0","0","0","0","0","0","0"
"冰封王座","0","0","0","6","12421","0","0","0","0","0","0","0","0","0"
"冰封王座","0","0","0","6","12421","0","0","0","0","0","0","0","0","0"
"","0","0","0","10","0","0","0","0","0","0","0","0","0","0"
"","0","0","0","10","0","0","0","0","0","0","0","0","0","0"
"冰封王座","0","0","0","6","12421","0","0","0","0","0","0","0","0","0"
"榮譽谷","0","0","0","3","12430","0","0","0","0","133513","0","0","0","0"
"榮譽谷","0","0","0","10","12430","0","0","0","0","0","0","0","0","0"
"梵迪卡爾","0","0","0","5","12429","0","0","0","0","0","0","0","0","0"
"機械岡城","0","0","0","5","12431","0","0","0","0","0","0","0","0","0"
"","0","0","0","3","0","131761","132614","0","0","133585","0","0","0","0"
"","0","0","0","3","0","131761","132614","0","0","133585","0","0","0","0"
"","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"","0","0","0","8","0","0","0","0","0","0","0","0","0","0"
"","0","0","0","8","0","0","0","0","0","0","0","0","0","0"
"","0","0","0","5","0","0","0","0","0","0","134410","0","0","0"
"","0","0","0","5","0","0","0","0","0","0","134410","0","0","0"
"","0","0","0","4","0","0","0","0","0","0","0","0","0","0"
"","0","0","0","4","0","0","0","0","0","0","0","0","0","0"
"","0","0","0","7","0","0","0","0","0","0","132523","0","0","0"
"","0","0","0","7","0","0","0","0","0","0","132523","0","0","0"
