Id,Name,Parent,UiOrder
"15301","資料片特色","-1","11"
"15302","潘達利亞事件","15301","3"
"15303","德拉諾要塞","15301","5"
"15304","軍團職業大廳","15301","6"
"15305","決戰艾澤拉斯","201","8"
"15307","海嶼遠征","15301","7"
"15308","應戰準備","15301","8"
"15409","決戰艾澤拉斯","14807","8"
"15411","資料片特色","15234","9"
"15414","艾斯蘭","95","6"
"15416","世界事件","15234","8"
"15417","艾澤拉斯之心","15301","9"
"15422","暗影之境","96","10"
"15426","恩若司的幻象","15301","10"
"15428","暗影之境地城","168","15"
"15429","暗影之境地城","15079","15"
"15430","暗影之境","14807","9"
"15436","暗影之境","97","10"
"15438","暗影之境團隊","168","16"
"15439","暗影之境","201","9"
"15440","托迦司","15301","11"
"15441","誓盟聖所","15301","12"
"15442","暗影之境團隊","15079","16"
"15446","角色","15234","1"
"15447","任務","15234","2"
