Id,Description
"81","在亡者節的時候，人們聚集在墓園中慶祝，和親人的鬼魂一起同樂。

你可以在各大主城的墓園發現慶典活動，你可以在那邊烹飪、跳舞、扮裝還有許許多多的活動。"
"101","旅人豐年祭是與他人分享好運的節日。"
"121","征服之島的戰鬥轉趨激烈。願意持劍投身島上戰鬥的人將會獲得更大的榮譽。"
"141","Test test"
"161","卡魯耶克每隔幾天就會在北裂境舉行釣魚大賽。首先釣起黑尖鯊魚的參賽者將會贏得卡魯耶克的敬重以及大獎!"
"162","吉爾尼斯之戰在這個曾經輝煌的城市中持續進行，進攻的被遺忘者們試圖透過浴血巷戰，從它被詛咒的防衛者手中取得控制權。"
"163","蠻錘的矮人和龍喉的獸人在過去的二十幾年當中不斷爭奪著艾澤拉斯東邊高地的肥沃山谷。"
"164","10v10的積分戰場已經開放了。你可以與其他9名玩家組成團隊，然後從PvP選單中加入積分戰場的佇列來獲取征服點數。"
"165","15v15的積分戰場已經開放了。你可以與其他14名玩家組成團隊，然後從PvP選單中加入積分戰場的佇列來獲取征服點數。"
"166","25v25的積分戰場已經開放了。你可以與其他24名玩家組成團隊，然後從PvP選單中加入積分戰場的佇列來獲取征服點數。"
"188","魔獸世界週年紀念!

和我們一起在艾澤拉斯的世界中盡情徜徉吧，魔獸世界研發團隊在此致上萬分謝意。"
"201","暗月馬戲團開張了。

快來看看希拉斯‧暗月和他的戲團，參與一些考驗智慧與膽量的遊戲，目睹來自艾澤拉斯各地的驚奇景象...以及更多新奇的事物在此等著你!"
"204","唯利視圖的風險投資公司設法將碎銀礦坑的擁有權賣給聯盟與部落了!即使到現在鐵爐堡和污水灣兩大對手的採礦活動中心也雇用了傭兵，為了這些珍貴的資源拼個你死我活..."
"205","金蓮會的密探發現了塵封在科特魔古神廟內古老且強大的神器。水土與火金武僧們到今天還在為了爭奪這件神秘的儀器相鬥不休，不管是聯盟還是部落，只要能夠幫忙奪得神器的便是他們的盟友。"
"215","在四風峽的深處，全新深風峽谷戰場所判定勝利的方式並不是以殺死的敵人數量決定，而是以取得的金礦來決定。"
"217","當此事件開放時，你的戰寵會獲得三倍的經驗值！馬上開始對戰吧！"
"218","當此事件開放時，只要在100級的英雄或傳奇難度地城中擊敗敵人，就可以獲得對應的德拉諾陣營聲望。"
"219","當此事件開放時，在隨機戰場中可以取得更高的榮譽值。從戰場上光榮凱旋歸來吧！"
"220","While this event is active, players level 50 or higher may access a special Timewalking Dungeon Finder queue, which scales players and their items down to revisit past dungeons from the Wrath of the Lich King expansion. While Timewalking, bosses will yield loot appropriate for a player's natural level.

During Wrath Timewalking, you may assemble a raid group of between 10 and 30 players, travel to Dalaran in Northrend, and speak with Vormu to access a Timewalking version of the Ulduar raid."
"221","當此事件開放時，在競技場練習賽將可以更高的榮譽值。好戰鬥，不打嗎？"
"222","While this event is active, players level 50 or higher may access a special Timewalking Dungeon Finder queue, which scales players and their items down to revisit past dungeons from The Burning Crusade expansion. While Timewalking, bosses will yield loot appropriate for a player's natural level.

During Burning Crusade Timewalking, you may assemble a raid group of between 10 and 30 players, travel to Shattrath City in Outland, and speak with Vormu to access a Timewalking version of the Black Temple raid."
"223","當此事件開放時，頂尖水晶會神秘地增加。在德拉諾原先會掉落頂尖水晶的生物現在掉落的機率更高了。"
"224","While this event is active, players level 50 or higher may access a special Timewalking Dungeon Finder queue, which scales players and their items down to revisit past dungeons from the Cataclysm expansion. While Timewalking, bosses will yield loot appropriate for a player's natural level.

During Cataclysm Timewalking, you may assemble a raid group of between 10 and 30 players, travel to Orgrimmar or Stormwind City, and speak with Vormu to access a Timewalking version of the Firelands raid."
"225","當此事件開放時，每個軍團地城的最後首領都會多掉落一件物品。"
"226","當此事件開放時，完成世界任務會得到相應陣營的聲望加成獎勵。"
"227","在這個日子，艾澤拉斯和德拉諾的居民會對勞苦功高的守衛表示敬意。向守衛敬禮表示感謝！"
"228","一場絕對沒有什麼乳牛關的煉獄慶祝大會。"
"229","在這一天，甲蟲之鑼會敲響，安其拉的大門會敞開。代表你的陣營前往收集補給品或殲滅暮光和其拉的部隊。獲勝的陣營在這一年接下來的時間裡，其代表旗幟會在甲蟲之鑼旁邊飄揚！"
"230","這是亂羽角鷹獸孵化的日子。前往菲拉斯的亂羽高地，親自見證這奇蹟的一刻！"
"231","艾澤拉斯的居民們需要放鬆一下。一起去千針石林划船吧！"
"232","安戈洛的恐龍開始騷動不安了。看來是去拜訪一趟的時候了！"
"233","戶外風和日麗…正是適合搭乘熱氣球的好日子。坐上熱氣球、享受美好風景，記得交些新朋友！"
"234","艾澤拉斯的法師們偶爾也需要放鬆放鬆。在附近的酒館跳進傳送門，就能加入旅店大拼酒活動！"
"235","在今天，北風凍原的冬鰭魚人寶寶要完成橫渡西裂峽的壯舉。"
"236","今天是贊格沼澤的斯博格爾孢子人慶祝年度香菇節慶的日子。幫助他們維持福咻菇的生命，越久越好！"
"237","While this event is active, players level 50 or higher may access a special Timewalking Dungeon Finder queue, which scales players and their items down to revisit past dungeons from the Mists of Pandaria expansion. While Timewalking, bosses will yield loot appropriate for a player's natural level."
"238",""
"241","找出你最吸睛的肩鎧，跟全艾澤拉斯的玩家比一比誰最時尚！只要拜訪各大城市中的塑形師就可以參加時尚大考驗！"
"242","今天會在奧格瑪和暴風城中的主要拍賣場舉辦跳舞派對！大家快聚過來展現你陣營的榮耀吧！"
"243","今天會在月光林地慶祝梟獸節，歡慶跟梟獸有關的一切。來更加了解梟獸吧！"
"244","加入地精，一同慶祝他們不屈不撓的精神！跨越東部王國，從諾姆瑞根一路跑到藏寶海灣！"
"245","進入普通或英雄難度的薩格拉斯之墓團隊副本…基爾加丹在等著你！"
"246","傳奇難度的薩格拉斯之墓等待著最勇猛的冒險者。玩家現在可以透過團隊搜尋器進入團隊副本的第一區：地獄之門。"
"247","玩家現在可以透過團隊搜尋器進入薩格拉斯之墓的第二區：哀嚎大廳。"
"248","玩家現在可以透過團隊搜尋器進入薩格拉斯之墓的第三區：化身密室。"
"249","玩家現在可以透過團隊搜尋器展開薩格拉斯之墓的最後決戰：欺詐者末路。基爾加丹在等著！"
"250","在《阿古斯之影》的第二部分，完成克庫恩的故事線並前往德萊尼故城麥克艾瑞的遺跡。進入侵略點以阻止燃燒軍團染指其他世界的圖謀。新增世界任務。"
"251","在《阿古斯之影》的第三部分，完成阿古斯之影故事線，解鎖所有世界任務並勇闖新地城三傑議會之座。啟動梵迪卡爾上的虛空之光熔爐，開始鑄造聖物。"
"252","玩家現在可以透過團隊搜尋器進入安托洛斯，燃燒王座的第二區：禁忌陷窟。"
"253","玩家現在可以透過團隊搜尋器進入安托洛斯，燃燒王座的第三區：絕望之境。"
"254","玩家現在可以透過團隊搜尋器進入安托洛斯，燃燒王座的最後一區：萬神殿寶座。"
"255","傳奇難度的安托洛斯，燃燒王座等待著最勇猛的冒險者，玩家現在可以透過團隊搜尋器進入團隊副本的第一區：聖光止境。"
"256","進入普通或英雄難度的安托洛斯，燃燒王座團隊副本…阿古斯在等著你！"
"357","貢獻戰備物資，然後和你所屬陣營的大軍一同在激流堡之役作戰！"
"358","黑海岸衝突一觸即發，部落和聯盟互相爭奪泰達希爾的控制權。這是限時活動！"
"359","在聯盟攻擊羅德隆要塞邊界時，體驗奪回主控權的經過。為了勝利！為了榮耀！為了羅德隆！"
"360","進入普通或英雄難度的奧迪爾，古翰正在等候！"
"361","當此事件開放時，每個決戰艾澤拉斯地城的最後首領都會多掉落一件物品。"
"362","傳奇難度的奧迪爾等待著最勇猛的冒險者，而玩家現在也可以透過團隊搜尋器進入團隊副本的第一區：隔離大廳。"
"363","玩家現在可以透過團隊搜尋器進入奧迪爾的第二區：血紅坡道。"
"364","玩家現在可以透過團隊搜尋器進入奧迪爾的最後一區：腐化之心。"
"365","去庫爾提拉斯找到雷克薩，阻擾聯盟測試艾澤萊晶岩武器，繼續推展部落的陣營戰役。"
"366","協助珍娜‧普勞德摩爾防守庫爾提拉斯，繼續推展聯盟的陣營戰役。召集盟軍，擊潰部落！"
"367","你的新盟友想要執行天才計畫，但首先需要你的協助…還有一點地精工程學。"
"368","協助貿易親王加里維克斯試試他的全新殺人機甲：G.M.O.D。"
"369","跟雷克薩還有秘法師薇兒塔一起潛入敵方領地，試著救出一名敵人的敵人，使其成為新盟友。"
"370","跟弗林‧晴風還有馬迪亞斯‧肖爾一起深入敵方領地，執行大膽的竊盜計畫、取回深淵權杖。"
"371","各種計劃與與準備後，聯盟對納茲米爾的沼澤展開進攻了。這次行動的風險極高，注定會有些人回不了家。"
"372","聯盟軍隊大膽進攻納茲米爾的沼澤。追隨塔蘭姬公主一同迎敵！"
"373","參加達薩亞洛之戰結束後部落領袖的會議。"
"374","參加達薩亞洛之戰結束後聯盟領袖的會議。"
"375","庫爾提拉斯海軍突襲贊達拉的同時，各路精英在達薩亞洛之戰展開激鬥。普通與英雄難度現已開放。"
"376","傳奇難度的達薩亞洛之戰團隊副本等待著最勇猛的冒險者，玩家現在可以透過團隊搜尋器進入團隊副本的第一區：達薩亞洛圍城戰。"
"377","玩家現在可以透過團隊搜尋器進入達薩亞洛之戰的第二區：帝國覆滅。"
"378","玩家現在可以透過團隊搜尋器進入達薩亞洛之戰的第三區：聯盟玩家可進行聯盟之力、部落玩家可進行不勝即亡。"
"379","在喀撒朗蠻荒的海龜海灘為劉浪和神真子慶祝並且向他們致敬。好好沉思一番然後高歌吧！"
"380","商人開始在艾澤拉斯的好幾個地點販售…免費T恤衫！！！據說，還有表演藝人在各個主城發放免費的二手衣！"
"381","GG工程公司在瓦許伊爾深處發現發光生物。他們需要你趕在發光生物躲回深海以前，幫忙研究這些生物！"
"382","While this event is active, players level 50 or higher may access a special Timewalking Dungeon Finder queue, which scales players and their items down to revisit past dungeons from the Warlords of Draenor expansion. While Timewalking, bosses will yield loot appropriate for a player's natural level."
"383","深入斯陀頌恩谷地地底的神秘空間，發掘散佈在這片土地上的暗影來自何處。普通與英雄難度現已開放。"
"384","傳奇難度的風暴邪淵團隊副本等待著最勇猛的冒險者，玩家現在也可以透過團隊搜尋器進入團隊副本。"
"387","納沙塔爾的危險只是開端而已。突破宮殿的大門，踏進艾薩拉致命的領地。"
"388","傳奇難度的永恆宮殿團隊副本等待著最勇猛的冒險者，玩家現在也可以透過團隊搜尋器進入團隊副本。"
"389","玩家現在可以透過團隊搜尋器進入永恆宮殿的第二區：虔信深淵。"
"390","玩家現在可以透過團隊搜尋器進入永恆宮殿的最後一區：群星之環。"
"392","深入奈奧羅薩，甦醒之城，並且在恩若司的領域對抗他。"
"393","傳奇難度的奈奧羅薩，甦醒之城等待著最勇猛的冒險者，玩家現在也可以透過團隊搜尋器進入團隊副本。"
"394","玩家現在可以透過團隊搜尋器進入奈奧羅薩，甦醒之城的第二區：獻祈大廳。"
"395","玩家現在可以透過團隊搜尋器進入奈奧羅薩，甦醒之城的第三區：血肉贈禮。"
"396","玩家現在可以透過團隊搜尋器進入奈奧羅薩，甦醒之城的最後一區：清晰夢境。"
"397","玩家現在可以使用團隊搜尋器進入納撒亞城的第二區域：豐裕聖物盒。"
"398","玩家現在可以使用團隊搜尋器進入納撒亞城的第三區域：血濃於石。"
"399","傳奇難度的納撒亞城等著最英勇的冒險者，而玩家們現在可以使用團隊搜尋器進入團隊副本：吸血寶庫。"
"400","進入納撒亞城並在戴納瑟斯王的堡壘內與之對抗。"
"401","玩家現在可以使用團隊搜尋器進入納撒亞城的最終區域：覲見傲慢之王。"
"402","萬獸揮霍已在『譴罪之塔』托迦司釋放！"
"403","無拘黑暗已在『譴罪之塔』托迦司釋放！"
"404","死亡的靈魂群聚在『譴罪之塔』托迦司內！"
"405","當此事件開放時，每個暗影之境地城的最後首領都會多掉落一件物品。"
"239",""
"240",""
"391",""
