Id,Description,WorldStateValue,IconEnumValue,UiTextureAtlasMemberId
"2275","","3","85","0"
"2276","","4","86","0"
"2277","","9","91","0"
"2278","","6","88","0"
"2279","","7","89","0"
"2280","","8","90","0"
"2281","","5","87","0"
"2282","","2","93","0"
"2283","","3","94","0"
"2284","","4","95","0"
"2285","","9","100","0"
"2286","","6","97","0"
"2287","","7","98","0"
"2288","","8","99","0"
"2289","","5","96","0"
"2290","","2","93","0"
"2291","","3","94","0"
"2292","","4","95","0"
"2293","","9","100","0"
"2294","","6","97","0"
"2295","","7","98","0"
"2296","","8","99","0"
"2297","","5","96","0"
"2298","","2","84","0"
"2299","","3","85","0"
"2300","","4","86","0"
"2301","","9","91","0"
"2302","","6","88","0"
"2303","","7","89","0"
"2304","","8","90","0"
"2305","","5","87","0"
"2314","","2","84","0"
"2315","","3","85","0"
"2316","","4","86","0"
"2317","","9","91","0"
"2318","","6","88","0"
"2319","","7","89","0"
"2320","","8","90","0"
"2321","","5","87","0"
"2322","","2","93","0"
"2323","","3","94","0"
"2324","","4","95","0"
"2325","","9","100","0"
"2326","","6","97","0"
"2327","","7","98","0"
"2328","","8","99","0"
"2329","","5","96","0"
"2330","","2","93","0"
"2331","","3","94","0"
"2332","","4","95","0"
"2333","","9","100","0"
"2334","","6","97","0"
"2335","","7","98","0"
"2336","","8","99","0"
"2337","","5","96","0"
"2338","","2","84","0"
"2339","","3","85","0"
"2340","","4","86","0"
"2341","","9","91","0"
"2342","","6","88","0"
"2343","","7","89","0"
"2344","","8","90","0"
"2345","","5","87","0"
"2346","","2","84","0"
"2347","","3","85","0"
"2348","","4","86","0"
"2349","","9","91","0"
"2350","","6","88","0"
"2351","","7","89","0"
"2352","","8","90","0"
"2353","","5","87","0"
"2354","","2","93","0"
"2355","","3","94","0"
"2356","","4","95","0"
"2357","","9","100","0"
"2358","","6","97","0"
"2359","","7","98","0"
"2360","","8","99","0"
"2361","","5","96","0"
"2362","","2","93","0"
"2363","","3","94","0"
"2364","","4","95","0"
"2365","","9","100","0"
"2366","","6","97","0"
"2367","","7","98","0"
"2368","","8","99","0"
"2369","","5","96","0"
"2370","","2","54","0"
"2371","","3","55","0"
"2372","","4","10","0"
"2373","","9","51","0"
"2374","","6","53","0"
"2375","","7","11","0"
"2376","","8","50","0"
"2377","","5","52","0"
"2378","","2","54","0"
"2379","","3","55","0"
"2380","","4","10","0"
"2381","","9","51","0"
"2382","","6","53","0"
"2383","","7","11","0"
"2384","","8","50","0"
"2385","","5","52","0"
"2386","","2","54","0"
"2387","","3","55","0"
"2388","","4","10","0"
"2389","","9","51","0"
"2390","","6","53","0"
"2391","","7","11","0"
"2392","","8","50","0"
"2393","","5","52","0"
"2394","","2","54","0"
"2395","","3","55","0"
"2396","","4","10","0"
"2397","","9","51","0"
"2398","","6","53","0"
"2399","","7","11","0"
"2400","","8","50","0"
"2401","","5","52","0"
"2402","","2","75","0"
"2403","","3","76","0"
"2404","","4","77","0"
"2405","","9","82","0"
"2406","","6","79","0"
"2407","","7","80","0"
"2408","","8","81","0"
"2409","","5","78","0"
"2418","","2","8","0"
"2419","","3","8","0"
"2420","","4","13","0"
"2421","","9","15","0"
"2422","","6","13","0"
"2423","","7","15","0"
"2424","","8","15","0"
"2425","","5","13","0"
"2426","","2","66","0"
"2427","","3","67","0"
"2428","","4","68","0"
"2429","","9","73","0"
"2430","","6","70","0"
"2431","","7","71","0"
"2432","","8","72","0"
"2433","","5","69","0"
"2434","","2","66","0"
"2435","","3","67","0"
"2436","","4","68","0"
"2437","","9","73","0"
"2438","","6","70","0"
"2439","","7","71","0"
"2440","","8","72","0"
"2441","","5","69","0"
"2442","","2","8","0"
"2443","","3","8","0"
"2444","","4","13","0"
"2445","","9","15","0"
"2446","","6","13","0"
"2447","","7","15","0"
"2448","","8","15","0"
"2449","","5","13","0"
"2450","","2","66","0"
"2451","","3","67","0"
"2452","","4","68","0"
"2453","","9","73","0"
"2454","","6","70","0"
"2455","","7","71","0"
"2456","","8","72","0"
"2457","","5","69","0"
"2458","","2","8","0"
"2459","","3","8","0"
"2460","","4","13","0"
"2461","","9","15","0"
"2462","","6","13","0"
"2463","","7","15","0"
"2464","","8","15","0"
"2465","","5","13","0"
"2466","","2","54","0"
"2467","","3","55","0"
"2468","","4","10","0"
"2469","","9","51","0"
"2470","","6","53","0"
"2471","","7","11","0"
"2472","","8","50","0"
"2473","","5","52","0"
"2474","","2","54","0"
"2475","","3","55","0"
"2476","","4","10","0"
"2477","","9","51","0"
"2478","","6","53","0"
"2479","","7","11","0"
"2480","","8","50","0"
"2481","","5","52","0"
"2482","","2","54","0"
"2483","","3","55","0"
"2484","","4","10","0"
"2485","","9","51","0"
"2486","","6","53","0"
"2487","","7","11","0"
"2488","","8","50","0"
"2489","","5","52","0"
"2490","","2","66","0"
"2491","","3","67","0"
"2492","","4","68","0"
"2493","","9","73","0"
"2494","","6","70","0"
"2495","","7","71","0"
"2496","","8","72","0"
"2497","","5","69","0"
"2498","","2","8","0"
"2499","","3","8","0"
"2500","","4","13","0"
"2501","","9","15","0"
"2502","","6","13","0"
"2503","","7","15","0"
"2504","","8","15","0"
"2505","","5","13","0"
"2506","","2","8","0"
"2507","","3","8","0"
"2508","","4","13","0"
"2509","","9","15","0"
"2510","","6","13","0"
"2511","","7","15","0"
"2512","","8","15","0"
"2513","","5","13","0"
"2538","","2","66","0"
"2539","","3","67","0"
"2540","","4","68","0"
"2541","","9","73","0"
"2542","","6","70","0"
"2543","","7","71","0"
"2544","","8","72","0"
"2545","","5","69","0"
"2546","","2","66","0"
"2547","","3","67","0"
"2548","","4","68","0"
"2549","","9","73","0"
"2550","","6","70","0"
"2551","","7","71","0"
"2552","","8","72","0"
"2553","","5","69","0"
"2554","爭奪中","2","19","0"
"2555","聯盟控制","5","18","0"
"2556","部落控制","4","20","0"
"2557","爭奪中","3","17","0"
"2558","爭奪中","2","34","0"
"2559","聯盟控制","5","33","0"
"2560","部落控制","4","35","0"
"2561","爭奪中","3","32","0"
"2562","爭奪中","2","24","0"
"2563","聯盟控制","5","23","0"
"2564","部落控制","4","25","0"
"2565","爭奪中","3","22","0"
"2566","爭奪中","2","29","0"
"2567","聯盟控制","5","28","0"
"2568","部落控制","4","30","0"
"2569","爭奪中","3","27","0"
"2570","爭奪中","2","39","0"
"2571","聯盟控制","5","38","0"
"2572","部落控制","4","40","0"
"2573","爭奪中","3","37","0"
"2577","未被控制","0","204","7197"
"2578","部落控制","1","202","7201"
"2579","聯盟控制","2","203","7204"
"2580","未被控制","0","204","7197"
"2581","部落控制","1","202","7201"
"2582","聯盟控制","2","203","7204"
"2583","未被控制","0","204","7197"
"2584","部落控制","1","202","7201"
"2585","聯盟控制","2","203","7204"
"2586","未被控制","0","204","7197"
"2587","部落控制","1","202","7201"
"2588","聯盟控制","2","203","7204"
"2589","未被控制","0","204","7197"
"2590","部落控制","1","202","7201"
"2591","聯盟控制","2","203","7204"
"2604","聯盟控制","5","43","0"
"2605","部落控制","4","44","0"
"2607","爭奪中","2","19","0"
"2608","聯盟控制","5","18","0"
"2609","部落控制","4","20","0"
"2610","爭奪中","3","17","0"
"2611","爭奪中","2","19","0"
"2612","聯盟控制","5","18","0"
"2613","部落控制","4","20","0"
"2614","爭奪中","3","17","0"
"2615","爭奪中","2","209","0"
"2616","聯盟控制","5","205","0"
"2617","部落控制","4","206","0"
"2618","爭奪中","3","208","0"
"2619","爭奪中","2","219","0"
"2620","聯盟控制","5","215","0"
"2621","部落控制","4","216","0"
"2622","爭奪中","3","218","0"
"2623","爭奪中","2","34","0"
"2624","聯盟控制","5","33","0"
"2625","部落控制","4","35","0"
"2626","爭奪中","3","32","0"
"2627","爭奪中","2","214","0"
"2628","聯盟控制","5","210","0"
"2629","部落控制","4","211","0"
"2630","爭奪中","3","213","0"
"2637","","0","0","0"
