Id,Name,Description,DescriptionShort,Icon,Order
"141","光之林地","在目標區域產生一片光之林地，每3秒為你和一名受傷盟友恢復生命力。

對站在光之林地裡的一名敵人施放審判，有一定機率不會觸發冷卻時間。","","135931","0"
"142","暗影之門","遁入暗影，然後出現在目標位置。","","134430","0"
"143","灰暗日落","汲取聖光，並吸取附近敵人的生命力來治療自己。

吸取至少一名敵人可使你的下一個技能必定造成致命一擊。","","461857","0"
"144","超有機光學產生器","召喚複製體來引開敵人的注意。","召喚複製體引開敵人的注意","3192686","0"
"145","大師工藝","你的身體可作為專業技能的工作臺。","身體可作為專業技能的工作臺","3192687","2"
"146","戰鬥分析","隨著你在戰鬥中對敵人的分析而逐漸提高戰鬥力。","在戰鬥中分析敵人而逐漸提高戰鬥力","3192685","1"
"147","萬用小指頭","能夠開鎖。","能夠開鎖","3192689","3"
"148","緊急應變","在你受重傷時自動為你治療。","在受重傷時自動為你治療","3192688","4"
"149","百寶袋/翻找背包","使用特殊的計策來傷害一名敵人或是治療一名盟友。在世界裡收集各種不同的計策。","使用計策來傷害敵人或是協助盟友","3193416","0"
"150","建立營地/返回營地","在戶外設置一處友善的營地，之後可以再回來。","設置一處可返回的營地","3193418","1"
"151","專嗅麻煩","降低敵人的第一次攻擊對你造成的傷害。","降低第一次對你造成的傷害","3193419","2"
"152","羊駝鞍袋","你的背包有8個額外的欄位。","你的背包有8個額外的欄位","3193421","3"
"153","火焰抗性","降低受到的火焰傷害。","降低受到的火焰傷害","3193417","4"
"490","影遁","可潛入暗影中。","可潛入暗影中","132089","0"
"491","迅捷","更不容易被擊中。","更不容易被擊中","132279","1"
"492","幽光之魂","死亡時變成幽光形態，提高移動速度。","提高死亡時的移動速度","136116","2"
"493","自然抗性","對自然傷害有抗性。","對自然傷害有抗性","136094","3"
"494","隱匿","提高潛行時的移動速度。","提高潛行時的移動速度","132280","4"
"495","伊露恩之觸","夜晚時攻擊速度提高，白天時致命一擊機率提高。","夜晚時攻擊速度提高，白天時致命一擊機率提高","135900","5"
"496","逃命專家","可掙脫各種減速效果的影響。","掙脫各種減速效果的影響","132309","0"
"497","遼闊心智","人物資源上限提高，如法力或能量。","人物資源上限提高","132864","1"
"498","秘法抗性","對秘法傷害有抗性。","對秘法傷害有抗性","136116","2"
"499","工程學專精","提高工程學技能。","提高工程學技能","134063","3"
"500","靈機之指","提高攻擊速度。","提高攻擊速度","135641","4"
"501","寶石雕刻","提高珠寶設計技能。","提高珠寶設計技能","135998","0"
"502","那魯的祝福","可持續治療自己或其他人。","可持續治療自己或其他人","135923","1"
"503","英勇風采","提高敏捷、智力和力量。","提高敏捷、智力和力量","133123","2"
"504","暗影抗性","對暗影傷害有抗性。","對暗影傷害有抗性","136152","3"
"505","暗月疾奔","可定期提高移動速度。","可定期提高移動速度","366937","0"
"506","兇惡","提高致命一擊機率。","提高致命一擊機率","132203","1"
"507","變異","對自然與暗影傷害有抗性。","對自然與暗影傷害有抗性","136121","2"
"508","剝皮者","提高剝皮技能和剝皮速度。","提高剝皮技能和剝皮速度","132140","3"
"509","震動掌","只要用手輕輕一碰就能讓敵人沉睡。","用手輕輕一碰就能讓敵人沉睡","572035","0"
"510","內在平靜","充分休息可獲得兩倍的經驗值。","充分休息可獲得兩倍的經驗值","572034","1"
"511","美食主義者","增強充分進食所獲得的增益效果。","增強充分進食所獲得的效果","571692","2"
"512","美食家","提高烹飪技能。","提高烹飪技能","571693","3"
"513","一流彈性","彈性十足，掉落時受到的傷害較低。","降低掉落時受到的傷害","572033","4"
"514","血之烈怒","可進入狂怒狀態以提高傷害。","進入狂怒狀態以提高傷害","135726","0"
"515","堅韌","對昏迷效果有抗性。","對昏迷效果有抗性","133125","1"
"516","命令","提高寵物的傷害。","提高寵物的傷害","132366","2"
"517","戰爭踐踏","可以踐踏並擊昏周圍的敵人。","踐踏並擊昏周圍的敵人","132368","0"
"518","耐力","提高耐力。","耐力提高","136112","1"
"519","栽培","提高草藥學技能和速度。","提高草藥學技能和速度","133938","2"
"520","自然抗性","對自然傷害有抗性。","對自然傷害有抗性","136094","3"
"521","健壯","提高致命一擊的效果。","提高致命一擊的效果","134174","4"
"522","狂暴","狂暴，提高攻擊速度和施法速度。","狂暴，提高攻擊速度和施法速度","135727","0"
"523","再生","提高生命恢復速度。","提高生命恢復速度","136077","1"
"524","野獸殺手","殺死野獸時獲得額外的經驗值。","殺死野獸時獲得額外的經驗值","134357","2"
"525","巫毒勁舞","縮短移動限制效果的持續時間。","縮短移動限制效果的持續時間","134231","3"
"526","秘法親和","提高附魔技能。","提高附魔技能","132876","0"
"527","奧流之術","可恢復人物資源，如法力或能量。","恢復人物資源，如法力或能量","136222","1"
"528","奧流之術","可驅散附近敵人的魔法效果。","驅散附近敵人的魔法效果","136222","2"
"529","秘法抗性","對秘法傷害有抗性。","對秘法傷害有抗性","136120","3"
"530","火箭跳躍","可往前火箭跳躍。","可往前火箭跳躍","370769","0"
"531","火箭彈幕","可以對敵人發射火箭。","對敵人發射火箭","133032","1"
"532","最佳折扣","可在商店獲得折扣。","在商店獲得折扣","369760","2"
"533","攜帶大哥布林","可定期召喚個人銀行。","召喚個人銀行","370211","3"
"534","時間就是金錢","加速提高。","提高加速","369214","4"
"535","化學讓人生更精采","提高鍊金術技能和藥水治療效果。","提高鍊金術技能和藥水治療效果","370670","5"
