Id,Name,Description,Cooldown,Duration,Flags,SpellSchoolMask,IconFileDataId
"21","疗愈之灵","卡蕾塔尔为所有盟友恢复$s1点生命值。","4","4","0","1","1022944"
"22","冷酷饥饿","阿耶勒斯吸取附近所有敌人的心能，造成$s1点暗影伤害，并且每轮将额外造成$s2点伤害。","3","2","0","32","460700"
"23","DNT JasonTest Taunt Spell","嘲讽","0","2","0","0","0"
"24","光明之矛","泰莉阿强化自己的战矛，对最远处的敌人造成$s1点神圣伤害，并为距离最近的盟友恢复$s2点生命值。","2","0","0","2","1508065"
"25","旋风之拳","凯兹吉奥斯快速地持续轰击近战范围内的所有敌人，造成$s1点神圣伤害并强化自身，使自己可以造成$s2%的额外伤害。","2","3","0","2","2065583"
"26","医师药水","泰利萨卡斯为距离最近的盟友灌下一瓶药水，为其恢复$s1点生命值，并使其最大生命值提高$s2%。","3","2","0","8","236882"
"27","XX - Test - Physical","","0","0","0","1","1059120"
"28","XX - Test - Melee - Holy","","0","0","0","2","0"
"29","XX - Test - Melee - Fire","","0","0","0","4","0"
"30","XX - Test - Melee - Nature","","0","0","0","8","0"
"31","XX - Test - Melee - Frost","","0","0","0","16","0"
"32","XX - Test - Melee - Shadow","","0","0","0","32","0"
"33","XX - Test - Melee - Arcane","","0","0","0","64","0"
"34","XX - Test - Ranged - Physical","","0","0","0","1","0"
"35","XX - Test - Ranged - Holy","","0","0","0","2","0"
"36","XX - Test - Ranged - Fire","","0","0","0","4","0"
"37","XX - Test - Ranged - Nature","","0","0","0","8","0"
"38","XX - Test - Ranged - Frost","","0","0","0","16","0"
"39","XX - Test - Ranged - Shadow","","0","0","0","32","0"
"40","XX - Test - Ranged - Arcane","","0","0","0","64","0"
"41","背包猛击","走私者用其背包挥击，对附近所有敌人造成伤害。","3","0","0","1","133634"
"42","JasonTest Passive","","0","0","0","0","0"
"43","吸取心能","从最远处的敌人身上吸取心能，对其造成$s1点暗影伤害并为自身恢复$s2点生命值。","1","0","0","32","136212"
"44","二连刺","连续戳刺距离最近的敌人两次，用第一把匕首造成$s1点物理伤害，然后用第二把匕首造成$s2点物理伤害。","3","0","0","1","333546"
"45","灵魂虹吸","对最远处的敌人造成$s1点奥术伤害，并为自身恢复$s2点生命值。","2","0","0","64","136211"
"46","明日之盾","方阵兵受到的伤害降低$s1%，还可以用同样的方式保护所有远程盟友。","2","1","0","2","517159"
"47","防护光环","德莱文的翼展护卫着自己和所有盟友，使受到的所有伤害降低$s1%。","0","0","0","32","2182687"
"48","暗遁","娜德佳无法被设为目标，同时恢复$s2点生命值。","4","1","0","32","451170"
"49","驱血术","西塔尔从远处在所有敌人身上撕开伤口，使其受到的伤害提高$s1%。","4","4","0","32","999949"
"50","长戟打击","戟兵用武器切割最远处的敌人，造成$s1点物理伤害。","3","0","0","1","135576"
"51","白骨风暴","原地旋转，对近战范围的所有敌人造成$s1点暗影伤害。","5","0","0","32","1535071"
"52","魔药之歌","对远处敌人发出尖嚎，每轮造成$s1点自然伤害，持续4轮。","5","4","0","8","136147"
"53","荆棘陷阱","盘曲的触须诱捕所有敌人，每隔一轮造成$s1点自然伤害并使敌人造成的伤害降低20%。","6","6","0","8","1535071"
"54","双切暗影","蕾哈尔兴奋地切割最近处的敌人，并向最远处的敌人投掷一把匕首，对二者均造成$s1点暗影伤害。","3","0","0","32","1455921"
"55","礼貌问候","石首微笑并礼貌地砸击近战范围内的所有敌人，造成$s1点物理伤害。","2","0","0","1","236550"
"56","折磨之镜","西蒙妮精准地挥击她的镜子，对最远处的敌人造成$s1点奥术伤害。","1","0","0","64","458243"
"57","礼仪课","博格丹提醒最近处的敌人注意行为举止，在接下来的3轮对其造成$s1点暗影伤害。","5","3","0","32","1544136"
"58","裂颅之击","失落的西比尔砸击附近所有敌人的头颅，造成$s1点物理伤害。","2","0","0","1","132094"
"59","悔恨之镜","沃尔卡召唤失落之力，对远处的所有敌人造成$s1点奥术伤害。","3","0","0","64","1020341"
"60","酸液喷射","向最远处的敌人喷吐酸液，造成$s1点自然伤害。","2","0","0","8","136007"
"61","颚骨猛击","猛击距离最近的敌人，造成$s1点物理伤害。","4","0","0","8","1508493"
"62","刺伤","用角戳刺近战范围内的所有敌人，造成$s1点自然伤害。","3","0","0","8","454039"
"63","音速惊嚎","大声尖啸，对所有敌人造成$s1点自然伤害并使其造成的伤害降低$s2%，持续2轮。","5","2","0","8","133707"
"64","巨力震地","用外壳猛击地面，对所有敌人造成$s1点自然伤害。","2","0","0","8","451165"
"65","疑虑缠身","啃咬距离最近的敌人，造成$s1点暗影伤害。","2","0","0","32","1398088"
"66","哥利亚猛击","猛击附近的敌人，对其及其身后的一名敌人造成$s1点暗影伤害。","1","0","0","32","132323"
"67","暗影跃击","跳跃至空中，然后用暗影之矛打击最远处的敌人，造成$s1点暗影伤害。","3","0","0","32","376832"
"68","亮蹄践踏","打击近战范围内的所有敌人，造成$s1点神圣伤害并使其造成的伤害降低$s2%。","3","1","1","2","132368"
"69","DNT JasonTest Ability Spell2","DNT Test test  Effect 0 Attack points $s0, Effect 1 Attack points % $s1, Effect 2 Flat points $s2, Effect 3 Flat points % $s3","3","2","0","0","461809"
"70","DNT JasonTest Spell Tooltip","DNT test test test","0","0","0","0","0"
"71","活力藤蔓","为距离最近的盟友恢复$s1点生命值。","2","0","0","8","134413"
"72","共鸣打击","哈拉攻击距离最近的敌人，对其造成$s1点神圣伤害。冲击力会生成次生冲击波，对远处所有敌人造成$s2点神圣伤害。","4","0","0","2","135891"
"73","净化光线","哈拉净化一条直线上的所有敌人，造成$s1点神圣伤害。","2","0","0","2","135949"
"74","重组配置：防御","伊斯皮隆重组配置，调用资源保护自己，使自身受到和造成的所有伤害降低40%，持续3轮。","5","3","0","2","1405810"
"75","翼狮跃袭","涅美娅召唤一只翼狮伙伴跃入战场，对最远处的敌人造成$s1点物理伤害。","2","0","0","1","3155392"
"76","灵豹闪击","佩罗迪斯召唤一只灵豹冲入战场，对最远处的敌人造成$s1点神圣伤害。","3","0","0","2","3061647"
"77","压轴之力药水","西卡为团队分发药水，使其攻击额外造成$s1点神圣伤害，持续3轮。","5","3","0","2","134749"
"78","顺劈斩","柯洛拉劈斩近战范围内的所有敌人，造成$s1点神圣伤害。","1","0","0","2","132338"
"79","神圣新星","刻斯玛斯迸发出圣光，对所有敌人造成$s1点神圣伤害，并为盟友恢复$s2点生命值。","2","0","0","2","135922"
"80","黎明震击","阿波罗恩的圣光点燃最远处的敌人，造成$s1点火焰伤害，并在接下来的2轮中造成$s2点火焰伤害。","3","2","0","4","236216"
"81","重组配置：反射","布隆重组配置，将自己包裹在圣光之环内，在接下来的3轮中对所有攻击者造成$s1点神圣伤害。","5","3","0","2","461858"
"82","持锤待战","克雷雅的决心（和战锤）使敌人付出沉重的代价，对所有攻击者造成$s1点物理伤害。","0","0","0","1","3054888"
"83","带头冲锋","克雷雅冲入战场，对附近的所有敌人造成$s1点物理伤害。","3","0","0","1","132337"
"84","闪亮的流波之球核心","米卡尼科斯令所有敌人目眩神迷，使其造成的伤害减低100%，持续2轮。不会在战斗开始时施放。","4","2","1","64","1990984"
"85","强韧之羽","米卡尼科斯强化最近处一名盟友的韧性，使其受到的伤害减低50%，持续2轮。","3","2","1","2","1596903"
"86","[PH]Placeholder Punch","[PH] Powerfully punches the nearest enemy for $s1 Physical damage.","2","0","0","1","2447782"
"87","克服疑虑","裴拉戈斯直面自己的恐惧，向敌人投掷圣光，对远处的所有敌人造成$s1点神圣伤害。","2","0","0","2","132351"
"88","战斗冥想","裴拉戈斯陷入冥想，使自身造成的伤害提高30%，并对所有敌人施加悲伤的记忆，造成$s2点神圣伤害。","3","3","0","2","3528283"
"89","尖刺果实陷阱","尼娅的果实陷阱每轮会对最远处的敌人造成$s1点自然伤害，持续2轮。","4","2","0","8","132309"
"90","补气药草","尼娅鼓舞附近的盟友，使其造成的伤害提高20%。","0","0","0","8","960671"
"91","炫目之尘","喜悦之翼使最远处的敌人所造成的伤害降低$s1点，持续3轮。","4","3","0","8","1387618"
"92","欺诈者的折磨","暮叶对远处的所有敌人造成$s1点暗影伤害，持续2轮。","0","2","0","32","1396977"
"93","汲血之种","卡林姆维利安从距离最近的敌人身上抽取力量，对其造成$s1点自然伤害，并为自身恢复$s2点生命值。","3","0","0","8","464030"
"94","冰孢之矛","乔基斯用长矛挥砍近战范围内的所有敌人，并植入寒冰孢子，每轮造成$s1点冰霜伤害，持续3轮。","4","3","0","16","135127"
"95","星光打击","罗斯维林呼唤群星，对最远处的敌人造成$s1点奥术伤害，并对远处的所有敌人造成$s2点奥术伤害。","3","0","0","64","651082"
"96","虫群","伊拉莉亚召唤虫群折磨最远处的敌人，造成$s1点自然伤害，并使其造成的伤害降低20%，持续2轮。","4","2","0","8","136045"
"97","飞闪锐矢","科塔射出一阵箭雨，对最近处的敌人及其身后的锥形区域造成$s1点物理伤害。","2","1","0","1","133580"
"98","心能箭矢","夏罗用成形的心能轰击最远处的敌人，造成$s1点奥术伤害。","1","0","0","64","1391777"
"99","强袭","泰赞用长矛施展连续突刺，对近战范围内的所有敌人造成$s1点物理伤害。","3","1","0","1","1361323"
"100","森林之心","卡达林为自身恢复$s1点生命值。","1","0","0","0","136081"
"101","扼心之种","守护者暮花向距离最近的敌人植入一枚种子，造成$s1点自然伤害，并使其受到的伤害提高20%，持续3轮。","4","3","0","16","960689"
"102","森林之触","格鲁诺姆克鲁克的枝条在风中鞭笞，对直线上的所有敌人造成$s1点自然伤害。","2","0","0","8","133749"
"103","蝴蝶效应","织梦者使所有盟友造成的伤害翻倍，持续2轮。","4","2","0","8","237573"
"104","灵茧守护者","为一名相邻的盟友恢复$s1点生命值，但会使其在下一轮中造成的伤害降低10%。","1","1","0","8","656440"
"105","坚守阵地","柯莱恩和盟友受到的伤害降低10%。","0","0","0","1","136088"
"106","勇面敌人","柯莱恩坚定决心并挥砍对手，对所有相邻的敌人造成$s1点物理伤害。","2","0","0","1","132344"
"107","不稳定的溶液","马里莱斯淋湿距离最近的敌人，造成$s1点暗影伤害，并且只要目标被击中，就会受到额外$s2点暗影伤害，持续3轮。","5","3","0","32","1500943"
"108","乌兹的和谐覆层","马里莱斯使一名附近的盟友回复$s1点生命值并使其最大生命值提高10%。","4","2","0","32","3459800"
"109","锯齿肩刃","攻击海尔米尔的敌人会受到$s1点物理伤害。","0","0","0","1","134427"
"110","贪婪胸针","海尔米尔的胸针使其回复$s1点生命值。","1","0","0","32","237519"
"111","硫磺喷发","艾米妮的毒气对近战范围的敌人造成$s1点自然伤害。","3","0","0","8","136182"
"112","啮咬咀嚼者","艾米妮神奇的咀嚼方式鼓舞了临近的所有盟友，使其额外造成$s1点暗影伤害。","5","3","0","32","132103"
"113","剑斗士的审判","米维克斯认为对手有所欠缺，对他前方锥形范围内的所有敌人造成$s1点暗影冰霜伤害。","4","0","0","48","135401"
"114","重建","加恩每轮回复$s1点生命值。","1","0","0","32","1045943"
"115","动力之拳","伦希萨大发雷霆，对附近的敌人造成$s1点暗影伤害。","2","0","0","32","1280877"
