Id,DisplayName,VerboseName,ClassId,SubClassId,AuctionHouseSortOrder,PrerequisiteProficiency,Flags,DisplayFlags,WeaponSwingSize,PostrequisiteProficiency
"124","精通","","3","6","7","-1","0","1","0","-1"
"125","急速","","3","7","8","-1","0","1","0","-1"
"126","全能","","3","8","9","-1","0","1","0","-1"
"131","合剂","","0","3","0","-1","0","1","0","-1"
"132","卷轴","","0","4","0","-1","0","3","0","-1"
"133","食物和饮水","","0","5","0","-1","0","1","0","-1"
"134","物品强化","","0","6","0","-1","0","3","0","-1"
"135","绷带","","0","7","0","-1","0","1","0","-1"
"136","其它","","0","8","10","-1","0","1","0","-1"
"137","布料","","7","5","0","-1","0","1","0","-1"
"138","皮革","","7","6","0","-1","0","1","0","-1"
"139","金属和矿石","","7","7","0","-1","0","1","0","-1"
"140","烹饪","","7","8","0","-1","0","1","0","-1"
"141","草药","","7","9","0","-1","0","1","0","-1"
"142","元素","","7","10","20","-1","0","1","0","-1"
"143","其它","","7","11","30","-1","0","1","0","-1"
"144","材料","","15","1","0","-1","0","1","0","-1"
"145","宠物小伙伴","","15","2","0","-1","0","1","0","-1"
"146","节日","","15","3","0","-1","0","1","0","-1"
"147","其它","","15","4","30","-1","0","1","0","-1"
"148","附魔材料","","7","12","0","-1","0","1","0","-1"
"149","制皮材料包","","1","7","0","-1","0","0","0","-1"
"150","原料","","7","13","0","-1","0","3","0","-1"
"152","坐骑","坐骑","15","5","0","-1","0","0","0","-1"
"153","战士","战士","16","1","0","-1","0","0","0","-1"
"154","圣骑士","圣骑士","16","2","0","-1","0","0","0","-1"
"155","猎人","猎人","16","3","0","-1","0","0","0","-1"
"156","潜行者","潜行者","16","4","0","-1","0","0","0","-1"
"157","牧师","牧师","16","5","0","-1","0","0","0","-1"
"158","萨满祭司","萨满祭司","16","7","0","-1","0","0","0","-1"
"159","法师","法师","16","8","0","-1","0","0","0","-1"
"160","术士","术士","16","9","0","-1","0","0","0","-1"
"161","德鲁伊","德鲁伊","16","11","0","-1","0","0","0","-1"
"162","死亡骑士","死亡骑士","16","6","0","-1","0","0","0","-1"
"163","物品附魔","","7","14","0","-1","0","3","0","-1"
"164","武器强化","武器强化","7","15","0","-1","0","3","0","-1"
"165","魔印","魔印","4","10","0","-1","0","2","0","-1"
"167","铭文包","","1","8","0","-1","0","0","0","-1"
"168","铭文","铭文","9","11","0","-1","0","1","0","-1"
"169","其他","","3","9","10","-1","0","1","0","-1"
"170","复合属性","","3","10","11","-1","0","0","0","-1"
"171","工具箱","","1","9","0","-1","0","0","0","-1"
"173","圣物","","4","11","0","-1","0","2","0","-1"
"177","武僧","武僧","16","10","0","-1","0","0","0","-1"
"178","战斗宠物","战斗宠物","17","0","0","-1","0","0","0","-1"
"179","烹饪包","烹饪包","1","10","0","-1","0","0","0","-1"
"180","魔兽世界时光徽章","","18","0","0","-1","0","0","0","-1"
"181","钥石","","5","1","0","-1","0","1","0","-1"
"183","恶魔猎手","恶魔猎手","16","12","0","-1","0","0","0","-1"
"184","凡图斯符文","凡图斯符文","0","9","0","-1","0","1","0","-1"
"185","铭文","","7","16","0","-1","0","1","0","-1"
"186","爆炸物与装置","","7","17","11","-1","0","3","0","-1"
"187","神器圣物","","3","11","0","-1","0","1","0","-1"
"188","颈部","","8","1","0","-1","0","1","0","-1"
"189","肩部","","8","2","0","-1","0","1","0","-1"
"190","披风","","8","3","0","-1","0","1","0","-1"
"191","胸部","","8","4","0","-1","0","1","0","-1"
"192","手腕","","8","5","0","-1","0","1","0","-1"
"193","手部","","8","6","0","-1","0","1","0","-1"
"194","腰部","","8","7","0","-1","0","1","0","-1"
"195","腿部","","8","8","0","-1","0","1","0","-1"
"196","脚部","","8","9","0","-1","0","1","0","-1"
"197","手指","","8","10","0","-1","0","1","0","-1"
"198","武器","","8","11","0","-1","0","1","0","-1"
"199","双手武器","","8","12","0","-1","0","1","0","-1"
"200","盾牌/副手","","8","13","0","-1","0","1","0","-1"
"201","其他","","8","14","0","-1","0","1","0","-1"
"326","坐骑装备","","15","6","0","-1","0","0","0","-1"
"327","附加材料","","7","18","25","-1","0","1","0","-1"
"328","环境对应兑换物","","5","2","0","-1","0","1","0","-1"
