Id,Name,ChrCustomizationOptionId,ChrCustomizationReqId,OrderIndex,UiOrderIndex,Flags,SwatchColor0,SwatchColor1
"156","","17","41","0","1","0","4734261","0"
"157","","17","41","1","3","0","9382707","0"
"158","","17","41","2","5","0","10705719","0"
"159","","17","41","3","4","0","-3195392","0"
"160","","17","41","4","7","0","13726464","0"
"161","","17","41","5","8","0","12287002","0"
"162","","17","41","6","9","0","13213506","0"
"163","","17","41","7","6","0","10319959","0"
"164","","17","41","8","10","0","7630177","0"
"165","","17","41","9","11","0","12234921","0"
"166","","17","41","10","12","0","-13615230","0"
"167","","17","41","11","13","0","-4873338","-6723225"
"168","","17","41","12","14","0","-5522763","-11446403"
"169","","17","10","13","100","0","0","0"
"353","","19","141","0","1","0","-7690706","0"
"354","","19","141","1","2","0","-5785047","0"
"355","","19","141","2","3","0","-5395676","0"
"356","","19","141","3","6","0","-7041237","0"
"357","","19","141","4","5","0","-6190045","0"
"358","","19","141","5","4","0","-5399000","0"
"359","","19","141","6","12","0","-11369111","0"
"360","","19","141","7","9","0","-8740547","0"
"361","","19","141","8","8","0","-7162561","0"
"362","","19","12","9","90","0","0","0"
"363","","19","12","10","91","0","0","0"
"364","","19","12","11","92","0","0","0"
"365","","19","12","12","93","0","0","0"
"366","","19","12","13","94","0","0","0"
"367","","19","12","14","95","0","0","0"
"368","","19","80","15","71","0","9669013","0"
"369","","19","80","16","70","0","-4550092","0"
"370","","19","80","17","72","0","-8558503","0"
"371","","19","12","18","96","0","0","0"
"372","","19","12","19","97","0","0","0"
"373","","19","12","20","98","0","0","0"
"374","","19","12","21","99","0","0","0"
"375","","19","12","22","100","0","0","0"
"376","","19","12","23","101","0","0","0"
"377","","19","12","24","102","0","0","0"
"378","","19","12","25","103","0","0","0"
"379","","19","12","26","104","0","0","0"
"380","","19","12","27","105","0","0","0"
"381","","19","12","28","106","0","0","0"
"382","","19","12","29","107","0","0","0"
"383","","19","10","30","108","0","0","0"
"384","","20","146","0","0","0","0","0"
"385","","20","146","1","1","0","0","0"
"386","","20","146","2","2","0","0","0"
"387","","20","146","3","3","0","0","0"
"388","","20","146","4","4","0","0","0"
"389","","20","146","5","5","0","0","0"
"390","","20","146","6","6","0","0","0"
"391","","20","146","7","7","0","0","0"
"392","","20","146","8","8","0","0","0"
"393","","20","142","9","9","0","0","0"
"394","","20","142","10","10","0","0","0"
"395","","20","142","11","11","0","0","0"
"396","","20","142","12","12","0","0","0"
"397","","20","142","13","13","0","0","0"
"398","","20","142","14","14","0","0","0"
"399","","20","142","15","15","0","0","0"
"400","","20","142","16","16","0","0","0"
"401","","20","142","17","17","0","0","0"
"402","光头","21","141","0","0","0","0","0"
"403","顶髻","21","141","1","1","0","0","0"
"404","顶束","21","141","2","2","0","0","0"
"405","顶冠","21","141","3","3","0","0","0"
"406","束发","21","141","4","4","0","0","0"
"407","结辫","21","141","5","5","0","0","0"
"408","尾辫","21","141","6","6","0","0","0"
"409","刺猬头","21","141","7","7","0","0","0"
"410","莫霍克","21","141","8","8","0","0","0"
"411","马尾","21","141","9","9","0","0","0"
"412","长发","21","141","10","10","0","0","0"
"413","狂野","21","141","11","11","0","0","0"
"414","楔发","21","141","12","12","0","0","0"
"415","","22","141","0","10","0","-13094797","0"
"416","","22","141","1","4","0","8400393","0"
"417","","22","141","2","2","0","7340043","0"
"418","","22","141","3","21","0","7868527","0"
"419","","22","141","4","20","0","6365306","0"
"420","","22","141","5","23","0","4999233","0"
"421","","22","141","6","6","0","6908728","0"
"422","","22","141","7","22","0","10000782","0"
"423","","22","141","8","11","0","-11585910","0"
"424","","22","141","9","9","0","-13477545","0"
"425","","22","141","10","7","0","-8479621","0"
"426","","22","10","11","100","0","2829114","0"
"427","无","23","141","0","0","0","0","0"
"428","胡茬","23","141","1","1","0","0","0"
"429","下巴短须","23","141","2","2","0","0","0"
"430","山羊胡","23","141","3","3","0","0","0"
"431","分叉","23","141","4","4","0","0","0"
"432","大胡子","23","141","5","5","0","0","0"
"433","浓密","23","141","6","6","0","0","0"
"434","束须","23","141","7","7","0","0","0"
"435","长须","23","141","8","8","0","0","0"
"436","辫胡","23","141","9","9","0","0","0"
"437","带环胡须","23","141","10","10","0","0","0"
"438","驼背","24","141","0","0","0","0","0"
"439","直立","24","141","1","1","0","0","0"
"440","","25","141","0","1","0","-7161797","0"
"441","","25","141","1","2","0","-4798662","0"
"442","","25","141","2","3","0","-4540880","0"
"443","","25","141","3","6","0","-6186950","0"
"444","","25","141","4","5","0","-5204683","0"
"445","","25","141","5","4","0","-4676041","0"
"446","","25","141","6","12","0","-9066879","0"
"447","","25","141","7","9","0","-7886771","0"
"448","","25","141","8","8","0","-6373557","0"
"449","","25","12","9","90","0","0","0"
"450","","25","12","10","91","0","0","0"
"451","","25","89","11","70","0","11839888","0"
"452","","25","89","12","72","0","-4550092","0"
"453","","25","89","13","71","0","11048572","0"
"454","","25","12","14","92","0","0","0"
"455","","25","12","15","93","0","0","0"
"456","","25","12","16","94","0","0","0"
"457","","25","12","17","95","0","0","0"
"458","","25","12","18","96","0","0","0"
"459","","25","12","19","97","0","0","0"
"460","","25","12","20","98","0","0","0"
"461","","25","12","21","99","0","0","0"
"462","","25","12","22","100","0","0","0"
"463","","25","12","23","101","0","0","0"
"464","","25","12","24","102","0","0","0"
"465","","25","12","25","103","0","0","0"
"466","","25","12","26","104","0","0","0"
"467","","25","12","27","105","0","0","0"
"468","","25","12","28","106","0","0","0"
"469","","25","12","29","107","0","0","0"
"470","","25","12","30","108","0","0","0"
"471","","25","10","31","109","0","0","0"
"472","","26","146","0","0","0","0","0"
"473","","26","146","1","1","0","0","0"
"474","","26","146","2","2","0","0","0"
"475","","26","146","3","3","0","0","0"
"476","","26","146","4","4","0","0","0"
"477","","26","146","5","5","0","0","0"
"478","","26","146","6","6","0","0","0"
"479","","26","146","7","7","0","0","0"
"480","","26","146","8","8","0","0","0"
"481","","26","142","9","9","0","0","0"
"482","","26","142","10","10","0","0","0"
"483","","26","142","11","11","0","0","0"
"484","","26","142","12","12","0","0","0"
"485","","26","142","13","13","0","0","0"
"486","","26","142","14","14","0","0","0"
"487","","26","142","15","15","0","0","0"
"488","","26","142","16","16","0","0","0"
"489","","26","142","17","17","0","0","0"
"490","顶髻","27","141","0","0","0","0","0"
"491","尾辫","27","141","1","1","0","0","0"
"492","顶冠","27","141","2","2","0","0","0"
"493","短辫","27","141","3","3","0","0","0"
"494","松鼠尾","27","141","4","4","0","0","0"
"495","角辫","27","141","5","5","0","0","0"
"496","长发","27","141","6","6","0","0","0"
"497","光头","27","141","7","7","0","0","0"
"498","狂野","27","141","8","8","0","0","0"
"499","时尚","27","141","9","9","0","0","0"
"500","假小子","27","141","10","10","0","0","0"
"501","侧边拢发","27","141","11","11","0","0","0"
"502","直长发","27","141","12","12","0","0","0"
"503","刘海","27","141","13","13","0","0","0"
"504","多辫","27","141","14","14","0","0","0"
"505","","28","141","0","10","0","-13094797","0"
"506","","28","141","1","4","0","-8376823","0"
"507","","28","141","2","2","0","-9437173","0"
"508","","28","141","3","21","0","-8908689","0"
"509","","28","141","4","20","0","-10411910","0"
"510","","28","141","5","23","0","4999233","0"
"511","","28","141","6","6","0","-9868488","0"
"512","","28","141","7","22","0","-6776434","0"
"513","","28","141","8","11","0","-11585910","0"
"514","","28","141","9","9","0","-13477545","0"
"515","","28","141","10","7","0","-8479621","0"
"516","","28","10","11","100","0","2829114","0"
"517","无","29","141","0","0","0","0","0"
"518","金耳圈","29","141","1","1","0","0","0"
"519","金旋环","29","141","2","2","0","0","0"
"520","不对称","29","141","3","3","0","0","0"
"521","多重金耳环","29","141","4","4","0","0","0"
"522","耳垫","29","141","5","5","0","0","0"
"523","骨头旋环","29","141","6","6","0","0","0"
"524","","30","141","0","5","0","12222298","0"
"525","","30","141","1","3","0","-3763615","0"
"526","","30","141","2","1","0","13611925","0"
"527","","30","141","3","6","0","12023374","0"
"528","","30","141","4","9","0","10516049","0"
"529","","30","141","5","10","0","7757127","0"
"530","","30","141","6","2","0","12229240","0"
"531","","30","141","7","4","0","11178619","0"
"532","","30","141","8","8","0","-6653334","0"
"533","","30","12","9","100","0","0","0"
"534","","30","12","10","101","0","0","0"
"535","","30","12","11","102","0","0","0"
"536","","30","12","12","103","0","0","0"
"537","","30","12","13","104","0","0","0"
"538","","30","12","14","105","0","0","0"
"539","","30","12","15","106","0","0","0"
"540","","30","12","16","107","0","0","0"
"541","","30","12","17","108","0","0","0"
"542","","30","12","18","109","0","0","0"
"543","","30","91","19","72","0","-9345451","0"
"544","","30","91","20","71","0","-7238270","0"
"545","","30","91","21","70","0","-6189473","0"
"546","","30","12","22","110","0","0","0"
"547","","30","12","23","111","0","0","0"
"548","","30","12","24","112","0","0","0"
"549","","30","12","25","113","0","0","0"
"550","","30","10","26","114","0","0","0"
"551","","31","146","0","0","0","0","0"
"552","","31","146","1","1","0","0","0"
"553","","31","146","2","2","0","0","0"
"554","","31","146","3","3","0","0","0"
"555","","31","146","4","4","0","0","0"
"556","","31","146","5","5","0","0","0"
"557","","31","146","6","6","0","0","0"
"558","","31","146","7","7","0","0","0"
"559","","31","146","8","8","0","0","0"
"560","","31","146","9","9","0","0","0"
"561","","31","142","10","10","0","0","0"
"562","","31","142","11","11","0","0","0"
"563","","31","142","12","12","0","0","0"
"564","","31","142","13","13","0","0","0"
"565","","31","142","14","14","0","0","0"
"566","","31","142","15","15","0","0","0"
"567","","31","142","16","16","0","0","0"
"568","","31","142","17","17","0","0","0"
"569","","31","142","18","18","0","0","0"
"570","","31","142","19","19","0","0","0"
"571","光头","32","141","0","0","0","0","0"
"572","直长发","32","141","1","1","0","0","0"
"573","马尾","32","141","2","2","0","0","0"
"574","短直发","32","141","3","3","0","0","0"
"575","顶髻","32","141","4","4","0","0","0"
"576","短束发","32","141","5","5","0","0","0"
"577","飞机头","32","141","6","6","0","0","0"
"578","半秃","32","141","7","7","0","0","0"
"579","顶束","32","141","8","8","0","0","0"
"580","辫子","32","141","9","9","0","0","0"
"581","全发短辫","32","141","10","10","0","0","0"
"582","野蛮人","32","141","11","11","0","0","0"
"583","士兵","32","141","12","12","0","0","0"
"584","学者","32","141","13","13","0","0","0"
"585","僧侣","32","141","14","14","0","0","0"
"586","美男","32","141","15","15","0","0","0"
"587","三顶髻","32","141","16","16","0","0","0"
"588","松乱","32","141","17","17","0","0","0"
"589","顶秃","32","141","18","18","0","0","0"
"590","","33","141","0","5","0","11749888","0"
"591","","33","141","1","9","0","14386944","0"
"592","","33","141","2","3","0","10693632","0"
"593","","33","141","3","8","0","10915698","0"
"594","","33","141","4","4","0","8405019","0"
"595","","33","141","5","26","0","-13815746","0"
"596","","33","141","6","6","0","10907713","0"
"597","","33","141","7","28","0","-6513508","0"
"598","","33","141","8","27","0","-10263709","0"
"599","","33","141","9","22","0","5523489","0"
"600","","33","141","10","1","0","6821666","0"
"601","","33","141","11","21","0","-10068404","0"
"602","","33","141","12","25","0","-14670518","0"
"603","","33","10","13","100","0","0","0"
"604","大胡子","34","141","0","0","0","0","0"
"605","双长辫","34","141","1","1","0","0","0"
"606","齐须","34","141","2","2","0","0","0"
"607","短须","34","141","3","3","0","0","0"
"608","中等","34","141","4","4","0","0","0"
"609","华丽","34","141","5","5","0","0","0"
"610","浓密","34","141","6","6","0","0","0"
"611","尖须","34","141","7","7","0","0","0"
"612","结辫","34","141","8","8","0","0","0"
"613","假正经","34","141","9","9","0","0","0"
"614","长须","34","141","10","10","0","0","0"
"615","","35","141","0","5","0","13474169","0"
"616","","35","141","1","1","0","14135429","0"
"617","","35","141","2","3","0","13280911","0"
"618","","35","141","3","7","0","13275487","0"
"619","","35","141","4","8","0","11961180","0"
"620","","35","141","5","10","0","10119242","0"
"621","","35","141","6","2","0","13217671","0"
"622","","35","141","7","4","0","-3693433","0"
"623","","35","141","8","6","0","-4743787","0"
"624","","35","12","9","100","0","0","0"
"625","","35","12","10","101","0","0","0"
"626","","35","93","11","72","0","-5800083","0"
"627","","35","93","12","71","0","-5400212","0"
"628","","35","93","13","70","0","-5529190","0"
"629","","35","12","14","102","0","0","0"
"630","","35","12","15","103","0","0","0"
"631","","35","12","16","104","0","0","0"
"632","","35","12","17","105","0","0","0"
"633","","35","10","18","106","0","0","0"
"634","","36","146","0","0","0","0","0"
"635","","36","146","1","1","0","0","0"
"636","","36","146","2","2","0","0","0"
"637","","36","146","3","3","0","0","0"
"638","","36","146","4","4","0","0","0"
"639","","36","146","5","5","0","0","0"
"640","","36","146","6","6","0","0","0"
"641","","36","146","7","7","0","0","0"
"642","","36","146","8","8","0","0","0"
"643","","36","146","9","9","0","0","0"
"644","","36","142","10","10","0","0","0"
"645","","36","142","11","11","0","0","0"
"646","","36","142","12","12","0","0","0"
"647","","36","142","13","13","0","0","0"
"648","","36","142","14","14","0","0","0"
"649","","36","142","15","15","0","0","0"
"650","","36","142","16","16","0","0","0"
"651","","36","142","17","17","0","0","0"
"652","","36","142","18","18","0","0","0"
"653","","36","142","19","19","0","0","0"
"654","粗辫","37","141","0","0","0","0","0"
"655","双麻花髻","37","141","1","1","0","0","0"
"656","长辫","37","141","2","2","0","0","0"
"657","松鼠尾","37","141","3","3","0","0","0"
"658","麻花髻","37","141","4","4","0","0","0"
"659","环形辫","37","141","5","5","0","0","0"
"660","束发","37","141","6","6","0","0","0"
"661","短直发","37","141","7","7","0","0","0"
"662","短碎发","37","141","8","8","0","0","0"
"663","短辫","37","141","9","9","0","0","0"
"664","短发","37","141","10","10","0","0","0"
"665","短乱发","37","141","11","11","0","0","0"
"666","刘海","37","141","12","12","0","0","0"
"667","蓬松束发","37","141","13","13","0","0","0"
"668","圆髻","37","141","14","14","0","0","0"
"669","多层短发","37","141","15","15","0","0","0"
"670","短卷发","37","141","16","16","0","0","0"
"671","双麻花辫","37","141","17","17","0","0","0"
"672","麻花辫","37","141","18","18","0","0","0"
"673","翅发","37","141","19","19","0","0","0"
"674","时髦双髻","37","141","20","20","0","0","0"
"675","","38","141","0","4","0","-5027328","0"
"676","","38","141","1","8","0","-2390272","0"
"677","","38","141","2","2","0","-6083584","0"
"678","","38","141","3","7","0","-5861518","0"
"679","","38","141","4","3","0","-8372197","0"
"680","","38","141","5","26","0","-13815746","0"
"681","","38","141","6","5","0","-5869503","0"
"682","","38","141","7","28","0","-6513508","0"
"683","","38","141","8","27","0","-10263709","0"
"684","","38","141","9","22","0","-11253727","0"
"685","","38","141","10","0","0","6821666","0"
"686","","38","141","11","21","0","-10068404","0"
"687","","38","141","12","25","0","-14670518","0"
"688","","38","10","13","100","0","-14670518","0"
"695","","40","141","0","1","0","10712704","0"
"696","","40","141","1","3","0","9859719","0"
"697","","40","141","2","5","0","7888239","0"
"698","","40","141","3","9","0","9147543","0"
"699","","40","141","4","7","0","8485513","0"
"700","","40","141","5","8","0","7962255","0"
"701","","40","141","6","10","0","10191216","0"
"702","","40","141","7","11","0","11500916","0"
"703","","40","141","8","2","0","10905716","0"
"704","","40","95","9","71","0","12496539","0"
"705","","40","95","10","70","0","-5726122","0"
"706","","40","95","11","72","0","7890003","0"
"707","","40","12","12","100","0","9516317","0"
"708","","40","12","13","101","0","11513761","0"
"709","","40","143","14","50","0","10128028","0"
"710","","40","143","15","52","0","7103359","0"
"711","","40","143","16","51","0","7497596","0"
"712","","40","143","17","53","0","-9936514","0"
"713","","40","143","18","54","0","6840702","0"
"714","","40","143","19","55","0","-9272426","0"
"715","","40","10","20","102","0","0","0"
"716","","40","12","21","103","0","0","0"
"717","","40","138","22","40","0","8288400","0"
"718","","40","12","23","104","0","11054754","0"
"719","","41","146","0","0","0","0","0"
"720","","41","146","1","1","0","0","0"
"721","","41","146","2","2","0","0","0"
"722","","41","146","3","3","0","0","0"
"723","","41","146","4","4","0","0","0"
"724","","41","146","5","5","0","0","0"
"725","","41","146","6","6","0","0","0"
"726","","41","146","7","7","0","0","0"
"727","","41","146","8","8","0","0","0"
"728","","41","142","9","9","0","0","0"
"729","","41","142","10","10","0","0","0"
"730","","41","142","11","11","0","0","0"
"731","","41","142","12","12","0","0","0"
"732","","41","142","13","13","0","0","0"
"733","","41","142","14","14","0","0","0"
"734","","41","142","15","15","0","0","0"
"735","","41","142","16","16","0","0","0"
"736","","41","142","17","17","0","0","0"
"737","长发","42","141","0","0","0","0","0"
"738","顶髻","42","141","1","1","0","0","0"
"739","直长发","42","141","2","2","0","0","0"
"740","马尾","42","141","3","3","0","0","0"
"741","顶束","42","141","4","4","0","0","0"
"742","短束发","42","141","5","5","0","0","0"
"743","乱发","42","141","6","6","0","0","0"
"744","短辫","42","141","7","7","0","0","0"
"745","狂野","42","141","8","8","0","0","0"
"746","长辫","42","141","9","9","0","0","0"
"747","莫霍克","42","141","10","10","0","0","0"
"748","长马尾","42","141","11","11","0","0","0"
"749","","43","141","0","2","0","5470976","0"
"750","","43","141","1","4","0","38986","0"
"751","","43","141","2","5","0","224320","0"
"752","","43","141","3","6","0","42632","0"
"753","","43","141","4","24","0","10662851","0"
"754","","43","141","5","7","0","1404809","0"
"755","","43","141","6","8","0","3030150","0"
"756","","43","141","7","20","0","5378694","0"
"757","","43","141","8","21","0","10295202","0"
"758","","43","141","9","23","0","11543150","0"
"759","","43","141","10","3","0","-12625627","0"
"760","","43","141","11","9","0","-13615795","0"
"761","","43","141","12","11","0","7363458","0"
"762","","43","12","13","100","0","2829122","0"
"763","无","44","141","0","0","0","0","0"
"764","长须","44","141","3","3","0","0","0"
"765","大胡子","44","141","4","4","0","0","0"
"766","束须","44","141","5","5","0","0","0"
"767","藤蔓","44","141","6","6","0","0","0"
"768","修剪","44","141","7","7","0","0","0"
"769","无","376","141","0","0","0","0","0"
"770","折磨","376","143","1","1","0","0","0"
"771","背叛者","376","143","2","2","0","0","0"
"772","痛苦","376","143","3","3","0","0","0"
"773","牺牲","376","143","4","4","0","0","0"
"774","复仇","376","143","5","5","0","0","0"
"775","","46","170","1","1","0","-5439665","0"
"776","","46","170","2","3","0","-12022729","0"
"777","","46","170","3","4","0","6098427","0"
"778","","46","170","4","2","0","-9448655","0"
"779","","46","170","5","5","0","15140372","0"
"780","","46","170","6","6","0","4673380","0"
"782","无","47","141","0","0","0","0","0"
"783","背叛者","47","143","1","1","0","0","0"
"784","野兽","47","143","2","2","0","0","0"
"785","宽角","47","143","3","3","0","0","0"
"786","山羊角","47","143","4","4","0","0","0"
"787","邪鬼","47","143","5","5","0","0","0"
"788","冲天角","47","143","6","6","0","0","0"
"789","无","48","145","0","0","0","0","0"
"790","邪能","48","143","1","1","0","0","0"
"791","幻影","48","143","2","2","0","0","0"
"792","尖牙","48","143","3","3","0","0","0"
"793","骸骨","48","143","4","4","0","0","0"
"794","护盾","48","143","5","5","0","0","0"
"795","亚麻布","48","141","6","6","8","0","0"
"796","棕色","48","143","7","7","0","-9877197","0"
"797","灰色","48","143","8","8","0","-9345414","0"
"798","红色","48","143","9","9","0","-7919329","0"
"799","黑色","48","143","10","10","0","-12963782","0"
"800","绿色","48","143","11","11","0","-9212353","0"
"801","","49","141","0","1","0","13540523","0"
"802","","49","141","1","4","0","12293797","0"
"803","","49","141","2","3","0","12029340","0"
"804","","49","141","3","5","0","-3627613","0"
"805","","49","141","4","12","0","11969941","0"
"806","","49","141","5","11","0","11316148","0"
"807","","49","141","6","6","0","14660777","0"
"808","","49","141","7","7","0","14065303","0"
"809","","49","141","8","2","0","12814487","0"
"810","","49","97","9","71","0","14467250","0"
"811","","49","97","10","70","0","-4020141","0"
"812","","49","97","11","72","0","-6328224","0"
"813","","49","12","12","100","0","8680581","0"
"814","","49","12","13","101","0","0","0"
"815","","49","143","14","50","0","8680581","0"
"816","","49","143","15","53","0","5854569","0"
"817","","49","143","16","51","0","6969711","0"
"818","","49","143","17","52","0","5788519","0"
"819","","49","143","18","54","0","5658733","0"
"820","","49","143","19","55","0","-9272426","0"
"821","","49","10","20","102","0","0","0"
"822","","49","12","21","103","0","0","0"
"823","","49","138","22","40","0","8420754","0"
"824","","49","12","23","104","0","10593945","0"
"825","","50","146","0","0","0","0","0"
"826","","50","146","1","1","0","0","0"
"827","","50","146","2","2","0","0","0"
"828","","50","146","3","3","0","0","0"
"829","","50","146","4","4","0","0","0"
"830","","50","146","5","5","0","0","0"
"831","","50","146","6","6","0","0","0"
"832","","50","146","7","7","0","0","0"
"833","","50","146","8","8","0","0","0"
"834","","50","142","9","9","0","0","0"
"835","","50","142","10","10","0","0","0"
"836","","50","142","11","11","0","0","0"
"837","","50","142","12","12","0","0","0"
"838","","50","142","13","13","0","0","0"
"839","","50","142","14","14","0","0","0"
"840","","50","142","15","15","0","0","0"
"841","","50","142","16","16","0","0","0"
"842","","50","142","17","17","0","0","0"
"843","直长发","51","141","0","0","0","0","0"
"844","松马尾","51","141","1","1","0","0","0"
"845","短直发","51","141","2","2","0","0","0"
"846","高束发","51","141","3","3","0","0","0"
"847","双麻花辫","51","141","4","4","0","0","0"
"848","短束发","51","141","5","5","0","0","0"
"849","麻花辫","51","141","6","6","0","0","0"
"850","发带","51","141","7","7","0","0","0"
"851","薄发","51","141","8","8","0","0","0"
"852","假小子","51","141","9","9","0","0","0"
"853","蓬松束发","51","141","10","10","0","0","0"
"854","环形辫","51","141","11","11","0","0","0"
"855","时髦双髻","51","141","12","12","0","0","0"
"856","时髦双马尾","51","141","13","13","0","0","0"
"857","小精灵","51","141","14","14","0","0","0"
"858","","52","141","0","2","0","5470976","0"
"859","","52","141","1","4","0","38986","0"
"860","","52","141","2","5","0","224320","0"
"861","","52","141","3","6","0","42632","0"
"862","","52","141","4","24","0","10662851","0"
"863","","52","141","5","7","0","1404809","0"
"864","","52","141","6","8","0","3030150","0"
"865","","52","141","7","20","0","5378694","0"
"866","","52","141","8","9","0","-13615795","0"
"867","","52","141","9","11","0","7363458","0"
"868","","52","141","10","21","0","10295202","0"
"869","","52","141","11","23","0","11543150","0"
"870","","52","141","12","3","0","-12625627","0"
"871","熊纹","53","141","1","1","0","0","0"
"872","刃纹","53","141","2","2","0","0","0"
"873","鹤纹","53","141","3","3","0","0","0"
"874","叶纹","53","141","4","4","0","0","0"
"875","爪纹","53","141","5","5","0","0","0"
"876","翼纹","53","141","6","6","0","0","0"
"877","蛇纹","53","141","7","7","0","0","0"
"878","枭纹","53","141","8","8","0","0","0"
