Id,Reaction,FriendshipRepId,ReactionThreshold
"192","1级","43","0"
"193","2级","43","1000"
"194","3级","43","2000"
"195","4级","43","3000"
"196","5级","43","4000"
"197","6级","43","5000"
"198","7级","43","6000"
"271","顶级","43","7000"
"272","顶级","28","7000"
"288","未资助","72","0"
"289","已资助","72","10000"
"416","保镖","160","0"
"417","贴身保镖","160","10000"
"418","亲密搭档","160","20000"
"422","保镖","162","0"
"423","贴身保镖","162","10000"
"424","亲密搭档","162","20000"
"425","保镖","163","0"
"426","贴身保镖","163","10000"
"427","亲密搭档","163","20000"
"428","保镖","164","0"
"429","贴身保镖","164","10000"
"430","亲密搭档","164","20000"
"431","保镖","165","0"
"432","贴身保镖","165","10000"
"433","亲密搭档","165","20000"
"434","保镖","166","0"
"435","贴身保镖","166","10000"
"436","亲密搭档","166","20000"
"437","保镖","167","0"
"438","贴身保镖","167","10000"
"439","亲密搭档","167","20000"
"443","等级 1","171","0"
"444","等级 2","171","1000"
"445","等级 3","171","2000"
"446","等级 4","171","3000"
"447","等级 5","171","4000"
"448","等级 6","171","5000"
"449","等级 7","171","6000"
"450","等级8","171","7000"
"451","等级 1","172","0"
"452","等级 2","172","1000"
"453","等级 3","172","2000"
"454","等级 4","172","3000"
"455","等级 5","172","4000"
"456","等级 6","172","5000"
"457","等级 7","172","6000"
"458","等级8","172","7000"
"466","衰退","181","0"
"467","稳定","181","100"
"471","衰退","182","0"
"472","稳定","182","100"
"473","增强","182","150"
"476","衰退","183","0"
"477","满足","183","200"
"481","等级9","171","8000"
"482","顶级","171","9000"
"483","等级9","172","8000"
"484","顶级","172","9000"
"485","阶段0 - 追随者","184","0"
"486","阶段2 - 第二章","184","21000"
"487","阶段1 - 第一章","184","10500"
"488","阶段3 - 第三章","184","42000"
"489","衰退","185","0"
"490","稳定","185","100"
"520","陌生人","193","0"
"521","同伴","193","8400"
"522","哥们","193","16800"
"523","朋友","193","25200"
"524","好友","193","33600"
"525","挚友","193","42000"
"530","实习","195","0"
"531","初级驻院医师","195","1000"
"532","资深驻院医师","195","2000"
"533","急救队","195","3000"
"534","满足","185","200"
"535","满足","181","200"
"536","稳定","183","100"
"543","保镖","198","0"
"544","贴身保镖","198","10000"
"545","亲密搭档","198","20000"
"546","陌生人","199","0"
"547","同伴","199","8400"
"548","哥们","199","16800"
"550","朋友","199","25200"
"551","好友","199","33600"
"552","陌生人","200","0"
"553","同伴","200","8400"
"554","哥们","200","16800"
"555","好友","200","33600"
"556","挚友","200","42000"
"562","陌生人","202","0"
"563","同伴","202","8400"
"564","哥们","202","16800"
"565","好友","202","33600"
"566","挚友","202","42000"
"572","陌生人","204","0"
"573","同伴","204","8400"
"574","哥们","204","16800"
"575","好友","204","33600"
"576","挚友","204","42000"
"582","陌生人","206","0"
"583","同伴","206","8400"
"584","哥们","206","16800"
"585","好友","206","33600"
"586","挚友","206","42000"
"592","陌生人","208","0"
"593","关注","208","8400"
"594","不具威胁的人","208","16800"
"595","益友","208","33600"
"596","挚友","208","42000"
"597","挚友","199","42000"
"598","朋友","200","25200"
"599","朋友","202","25200"
"600","朋友","204","25200"
"601","朋友","206","25200"
"602","朋友","208","25200"
"603","雏龙","209","0"
"604","时空新兵","209","1000"
"605","时空跃迁者","209","2500"
"606","时光之友","209","4500"
"607","青铜盟友","209","7000"
"608","纪元修复者","209","10000"
"609","时光领主","209","15000"
"611","等级 1","210","0"
"612","等级 2","210","1000"
"613","等级 3","210","2000"
"614","等级 4","210","3000"
"615","等级5","210","4000"
"616","等级 6","210","5000"
"617","等级 7","210","6000"
"618","等级 8","210","7000"
"619","等级 9","210","8000"
"620","顶级","210","9000"
"631","等级 1","212","0"
"632","等级 2","212","1000"
"633","等级 3","212","2000"
"634","等级 4","212","3000"
"635","等级5","212","4000"
"636","等级 6","212","5000"
"637","等级 7","212","6000"
"638","等级 8","212","7000"
"639","等级 9","212","8000"
"640","顶级","212","9000"
"641","幼崽","213","0"
"642","幼年","213","5000"
"643","亚成年","213","15000"
"644","成年","213","30000"
"746","幼崽","315","0"
"750","等级1","316","0"
"751","等级 2","316","300"
"752","等级 3","316","600"
"753","等级 4","316","900"
"754","等级1","317","0"
"755","等级 2","317","300"
"756","等级 3","317","600"
"757","等级 4","317","900"
"758","等级1","318","0"
"760","等级 3","318","600"
"761","等级 4","318","900"
"766","等级1","320","0"
"767","等级 2","320","300"
"768","等级 3","320","600"
"769","等级 4","320","900"
"774","等级 5","316","1200"
"775","等级 6","316","1500"
"776","等级 7","316","1800"
"777","等级 8","316","2100"
"778","等级 9","316","2400"
"779","等级10","316","2700"
"780","等级11","316","3000"
"781","等级 12","316","3300"
"782","等级 13","316","3600"
"783","等级 14","316","3900"
"784","等级 15","316","4200"
"785","等级 16","316","4500"
"786","等级 17","316","4800"
"787","等级 18","316","5100"
"788","等级 19","316","5400"
"789","等级 20","316","5700"
"790","等级 21","316","6000"
"791","等级 22","316","6300"
"792","等级 23","316","6600"
"793","等级 24","316","6900"
"794","等级 25","316","7200"
"795","等级 26","316","7500"
"796","等级 27","316","7800"
"797","等级 28","316","8100"
"798","等级 29","316","8400"
"799","等级 30","316","8700"
"821","幼体","315","4000"
"822","成体","315","8000"
"823","等级 5","320","1200"
"824","等级 6","320","1500"
"825","等级 7","320","1800"
"826","等级 8","320","2100"
"827","等级 9","320","2400"
"828","等级10","320","2700"
"829","等级11","320","3000"
"830","等级 12","320","3300"
"831","等级 13","320","3600"
"832","等级 14","320","3900"
"833","等级 15","320","4200"
"834","等级 16","320","4500"
"835","等级 17","320","4800"
"836","等级 18","320","5100"
"837","等级 19","320","5400"
"838","等级 20","320","5700"
"839","等级 21","320","6000"
"840","等级 22","320","6300"
"841","等级 23","320","6600"
"842","等级 24","320","6900"
"843","等级 25","320","7200"
"844","等级 26","320","7500"
"845","等级 27","320","7800"
"846","等级 28","320","8100"
"847","等级 29","320","8400"
"848","等级 30","320","8700"
"879","等级1","323","0"
"880","等级 2","323","300"
"881","等级 3","323","600"
"882","等级 4","323","900"
"883","等级 5","323","1200"
"884","等级 6","323","1500"
"885","等级 7","323","1800"
"886","等级 8","323","2100"
"887","等级 9","323","2400"
"888","等级10","323","2700"
"889","等级11","323","3000"
"890","等级 12","323","3300"
"891","等级 13","323","3600"
"892","等级 14","323","3900"
"893","等级 15","323","4200"
"894","等级 16","323","4500"
"895","等级 17","323","4800"
"896","等级 18","323","5100"
"897","等级 19","323","5400"
"898","等级 20","323","5700"
"899","等级 21","323","6000"
"900","等级 22","323","6300"
"901","等级 23","323","6600"
"902","等级 24","323","6900"
"903","等级 25","323","7200"
"904","等级 26","323","7500"
"905","等级 27","323","7800"
"906","等级 28","323","8100"
"907","等级 29","323","8400"
"908","等级 30","323","8700"
"909","等级1","324","0"
"910","等级 2","324","300"
"911","等级 3","324","600"
"912","等级 4","324","900"
"913","等级 5","324","1200"
"914","等级 6","324","1500"
"915","等级 7","324","1800"
"916","等级 8","324","2100"
"917","等级 9","324","2400"
"918","等级10","324","2700"
"919","等级11","324","3000"
"920","等级 12","324","3300"
"921","等级 13","324","3600"
"922","等级 14","324","3900"
"923","等级 15","324","4200"
"924","等级 16","324","4500"
"925","等级 17","324","4800"
"926","等级 18","324","5100"
"927","等级 19","324","5400"
"928","等级 20","324","5700"
"929","等级 21","324","6000"
"930","等级 22","324","6300"
"931","等级 23","324","6600"
"932","等级 24","324","6900"
"933","等级 25","324","7200"
"934","等级 26","324","7500"
"935","等级 27","324","7800"
"936","等级 28","324","8100"
"937","等级 29","324","8400"
"938","等级 30","324","8700"
"939","等级 5","318","1200"
"940","等级 6","318","1500"
"941","等级 7","318","1800"
"942","等级 8","318","2100"
"943","等级 9","318","2400"
"944","等级10","318","2700"
"945","等级11","318","3000"
"946","等级 12","318","3300"
"947","等级 13","318","3600"
"948","等级 14","318","3900"
"949","等级 15","318","4200"
"950","等级 16","318","4500"
"951","等级 17","318","4800"
"952","等级 18","318","5100"
"953","等级 19","318","5400"
"954","等级 20","318","5700"
"955","等级 21","318","6000"
"956","等级 22","318","6300"
"957","等级 23","318","6600"
"958","等级 24","318","6900"
"959","等级 25","318","7200"
"960","等级 26","318","7500"
"961","等级 27","318","7800"
"962","等级 28","318","8100"
"963","等级 29","318","8400"
"964","等级 30","318","8700"
"965","等级 5","317","1200"
"966","等级 6","317","1500"
"967","等级 7","317","1800"
"968","等级 8","317","2100"
"969","等级 9","317","2400"
"970","等级10","317","2700"
"971","等级11","317","3000"
"972","等级 12","317","3300"
"973","等级 13","317","3600"
"974","等级 14","317","3900"
"975","等级 15","317","4200"
"976","等级 16","317","4500"
"977","等级 17","317","4800"
"978","等级 18","317","5100"
"979","等级 19","317","5400"
"980","等级 20","317","5700"
"981","等级 21","317","6000"
"982","等级 22","317","6300"
"983","等级 23","317","6600"
"984","等级 24","317","6900"
"985","等级 25","317","7200"
"986","等级 26","317","7500"
"987","等级 27","317","7800"
"988","等级 28","317","8100"
"989","等级 29","317","8400"
"990","等级 30","317","8700"
"991","初生","325","0"
"992","幼年","325","3500"
"993","初生","326","0"
"994","幼年","326","7000"
"995","初生","327","0"
"996","幼年","327","14000"
"999","等级1","339","0"
"1000","等级 2","339","1000"
"1001","等级 3","339","2000"
"1002","等级 4","339","3000"
"1003","等级 5","339","4000"
"1004","等级 6","339","5000"
"1005","等级 7","339","6000"
"1006","等级 8","339","7000"
"1007","等级 9","339","8000"
"1008","顶级","339","9000"
"1009","等级1","340","0"
"1010","等级 2","340","1000"
"1011","等级 3","340","2000"
"1012","等级 4","340","3000"
"1013","等级 5","340","4000"
"1014","等级 6","340","5000"
"1015","等级 7","340","6000"
"1016","等级 8","340","7000"
"1017","等级 9","340","8000"
"1018","顶级","340","9000"
"1020","成熟","327","42000"
"1021","成熟","325","10500"
"1022","成熟","326","21000"
"1024","等级 2","318","300"
"1088","孵化中……","365","0"
"1089","幼虫","365","5000"
"1090","幼崽","365","10000"
"1091","成年","365","15000"
"1092","不敬","366","10500"
"1100","蔑视","366","0"
"1101","怨恨","366","5250"
"1102","关心","366","15750"
"1103","尊敬","366","21000"
"1104","青睐","366","26250"
"1105","崇敬","366","31500"
"1106","崇拜","366","36750"
"1107","嫉妒","366","42000"
"1108","陌生人","367","0"
"1109","熟人","367","8400"
"1110","哥们","367","16800"
"1111","朋友","367","25200"
"1112","好友","367","33600"
"1113","挚友","367","42000"
"1114","陌生人","368","0"
"1115","熟人","368","8400"
"1116","哥们","368","16800"
"1117","朋友","368","25200"
"1118","好友","368","33600"
"1119","挚友","368","42000"
"1126","陌生人","370","0"
"1127","熟人","370","8400"
"1128","哥们","370","16800"
"1129","朋友","370","25200"
"1130","好友","370","33600"
"1131","挚友","370","42000"
"1132","陌生人","371","0"
"1133","熟人","371","8400"
"1134","哥们","371","16800"
"1135","朋友","371","25200"
"1136","好友","371","33600"
"1137","挚友","371","42000"
"1138","陌生人","372","0"
"1139","熟人","372","8400"
"1140","哥们","372","16800"
"1141","朋友","372","25200"
"1142","好友","372","33600"
"1143","挚友","372","42000"
"1144","陌生人","373","0"
"1145","熟人","373","8400"
"1146","哥们","373","16800"
"1147","朋友","373","25200"
"1148","好友","373","33600"
"1149","挚友","373","42000"
"1156","陌生人","375","0"
"1157","熟人","375","8400"
"1158","哥们","375","16800"
"1159","朋友","375","25200"
"1160","好友","375","33600"
"1161","挚友","375","42000"
"1162","陌生人","376","0"
"1163","熟人","376","8400"
"1164","哥们","376","16800"
"1165","朋友","376","25200"
"1166","好友","376","33600"
"1167","挚友","376","42000"
"1168","陌生人","377","0"
"1169","熟人","377","8400"
"1170","哥们","377","16800"
"1171","朋友","377","25200"
"1172","好友","377","33600"
"1173","挚友","377","42000"
"1180","陌生人","379","0"
"1181","熟人","379","8400"
"1182","哥们","379","16800"
"1183","朋友","379","25200"
"1184","好友","379","33600"
"1185","挚友","379","42000"
"1192","陌生人","381","0"
"1193","熟人","381","8400"
"1194","哥们","381","16800"
"1195","朋友","381","25200"
"1196","好友","381","33600"
"1197","挚友","381","42000"
"1198","陌生人","382","0"
"1199","熟人","382","8400"
"1200","哥们","382","16800"
"1201","朋友","382","25200"
"1202","好友","382","33600"
"1203","挚友","382","42000"
"1204","陌生人","383","0"
"1205","熟人","383","8400"
"1206","哥们","383","16800"
"1207","朋友","383","25200"
"1208","好友","383","33600"
"1209","挚友","383","42000"
"1210","陌生人","384","0"
"1211","熟人","384","8400"
"1212","哥们","384","16800"
"1213","朋友","384","25200"
"1214","好友","384","33600"
"1215","挚友","384","42000"
"1216","陌生人","385","0"
"1217","熟人","385","8400"
"1218","哥们","385","16800"
"1219","朋友","385","25200"
"1220","好友","385","33600"
"1221","挚友","385","42000"
"1228","陌生人","387","0"
"1229","熟人","387","8400"
"1230","哥们","387","16800"
"1231","朋友","387","25200"
"1232","好友","387","33600"
"1233","挚友","387","42000"
"1240","中立","389","0"
"1241","友善","389","3000"
"1242","尊敬","389","9000"
"1243","崇敬","389","21000"
"1244","崇拜","389","42000"
"1245","中立","390","0"
"1246","友善","390","3000"
"1247","尊敬","390","9000"
"1248","崇敬","390","21000"
"1249","崇拜","390","42000"
"1250","中立","391","0"
"1251","友善","391","3000"
"1252","尊敬","391","9000"
"1253","崇敬","391","21000"
"1254","崇拜","391","42000"
