Id,Name,Description,GarrTalentTreeId,Tier,UiOrder,IconFileDataId,PlayerConditionId,GarrAbilityId,Field_8_3_0_32044_009,Field_8_3_0_32044_010,PrerequisiteTalentId,ResearchCostSource
"54","The Spirit's Call","Increases the chance for quest rewards to get a rare or epic Bonus Upgrade from non-repeatable quests.","31","0","0","136014","41962","0","0","0","0","0"
"248","Auspicious Fortune","Increases the chance for quest rewards to get a rare or epic Bonus Upgrade from non-repeatable quests.","4","0","0","636335","41962","0","0","0","0","0"
"249","Enlightenment","Newly recruited troops have a chance to be promoted one rank, making them more powerful.  

Initiates have a chance to become Adepts, and Adepts have a chance to become Masters.","4","1","1","648628","41955","0","0","0","0","0"
"250","Path of the Ox","Newly recruited Ox Initiates become Ox Adepts, increasing their chance of mission success by ${$a897-$a695}%.","4","3","0","620829","41959","0","0","0","0","0"
"251","Path of the Tiger","Newly recruited Tiger Initiates become Tiger Adepts, which gain:

|TInterface\ICONS\ABILITY_MONK_CRANEKICK_NEW.BLP:20:20:0:0|t |CffffffffSpinning Crane Kick|R
$@garrabdesc576","4","3","1","611420","41959","0","0","0","0","0"
"252","Living Quarters","Increases the maximum number of Ox Initiates, Ox Adepts, Tiger Initiates and Tiger Adepts you can recruit by ${$a694}.","4","2","0","651489","41958","571","0","0","0","0"
"253","Lucky Envelope","Enables the Lucky Envelope ability, which increases the success chance of the first mission you send each day by ${$a693}%.","4","0","1","134268","41962","570","0","0","0","0"
"254","Brewhouse","Grants you access to the Bubbling Keg inside the Stormstout Inn once a day.  

Tapping the Bubbling Keg will grant valuable bonuses to assist you while questing in the Broken Isles.","4","1","0","651573","41955","0","0","0","0","0"
"255","Pilgrimage","Enables a chance on mission success for your Champions to return with Champion armaments or equipment.","4","2","1","775462","41958","785","0","0","0","0"
"256","One with Destiny","Allows you to place a work order for 1 of your 3 weekly Seals of Broken Fate in exchange for Order Resources.","4","4","0","656322","41960","0","0","0","0","0"
"257","Celestial Favor","Allows you to recruit Celestials.  

Celestials have a random Monk Specialization and can counter a |C00b3ffffBoss|R, in addition to:

|TInterface\ICONS\INV_CELESTIALSERPENTMOUNT.BLP:20:20:0:0|t |CffffffffEcho of the Celestial|R
$@garrabdesc749","4","4","1","656166","41960","0","0","0","0","0"
"258","Fists of Legend","Increase the number of Legendary items you can equip by ${$a898}.","4","5","0","606548","41961","0","0","0","0","0"
"347","Elune's Favor","Increases the chance for quest rewards to get a rare or epic Bonus Upgrade from non-repeatable quests.","107","0","0","236151","41962","0","0","0","0","0"
"348","Reclamation","Enables a chance on mission success for your Champions to return with Champion armaments or equipment.","107","2","1","1033478","41958","787","0","0","0","0"
"349","Travel Form","Enables the Travel Form ability for all missions, reducing mission duration by ${100-$a715*100}%.","107","1","1","132144","41955","592","0","0","0","0"
"350","Hibernation","Increases the maximum number of Dreamgrove Treants, Daughters of Cenarius, Druids of the Claw and Keepers of the Grove you can recruit by ${$a900}.","107","2","0","132136","41958","753","0","0","0","0"
"351","Laughing Sisters","Newly recruited Dreamgrove Treants become Daughters of Cenarius, increasing their chance of mission success by ${$a679-$a678}%.","107","3","0","136021","41959","0","0","0","0","0"
"352","Force of the Forest","Newly recruited Druids of the Claw become Keepers of the Grove and gain:

|TInterface\ICONS\ABILITY_DRUID_FLOURISH.BLP:20:20:0:0|t |CffffffffWild Growth|R
$@garrabdesc558","107","3","1","132113","41959","0","0","0","0","0"
"353","Roots","Enables the Roots ability, which increases the success chance of the first mission you send each day by ${$a714}% if that mission has |C00b3ffffMinions|R.","107","0","1","134412","41962","591","0","0","0","0"
"354","Evergreen","Grants access to two plots of rich soil, allowing you to grow and harvest plants that provide helpful items once every 3 days to use on the Broken Isles.","107","1","0","612099","41955","0","0","0","0","0"
"355","Elune's Chosen","Allows you to place a work order for 1 of your 3 weekly Seals of Broken Fate in exchange for Order Resources.","107","4","0","611423","41960","0","0","0","0","0"
"356","Ancient of War","Allows you to recruit an Ancient of War.  

Ancients of War have a random Druid Specialization and can counter a |C00b3ffffBoss|R, in addition to:

|TInterface\ICONS\INV_PET_ANCIENTPROTECTOR.BLP:20:20:0:0|t |CffffffffStrength of the Ancients|R
$@garrabdesc435","107","4","1","874857","41960","0","0","0","0","0"
"357","Natural Legend","Increase the number of Legendary items you can equip by ${$a898}.","107","5","0","1045105","41961","0","0","0","0","0"
"358","Dark Bargain","Increases the chance for quest rewards to get a rare or epic Bonus Upgrade from non-repeatable quests.","110","0","0","538039","41962","0","0","0","0","0"
"359","Summon Doomguard","Enables the Summon Doomguard ability, which increases the success chance of the first mission you send each day by ${$a616}%.","110","0","1","615103","41962","500","0","0","0","0"
"360","Ritual of Summoning","Enables the Ritual of Summoning ability for all missions, reducing mission duration by ${100-$a615*100}%.","110","1","1","136194","41955","499","0","0","0","0"
"361","Training Grounds","Increases the maximum number of Imps, Wild Imps, Acolytes and Invokers you can recruit by ${$a614}.","110","2","0","538442","41958","498","0","0","0","0"
"362","Dark Mastery","Newly recruited Black Harvest Acolytes become Black Harvest Invokers, which gain:

|TInterface\ICONS\ABILITY_WARLOCK_INFERNOGREEN.BLP:20:20:0:0|t |CffffffffRain of Fel Fire|R
$@garrabdesc485","110","3","1","236295","41959","0","0","0","0","0"
"363","Grim Harvest","Completing World Quests with a Combat Ally provides Order Resources.","110","4","1","537517","41960","746","0","0","0","0"
"364","Shadow Pact","Allows you to place work orders for Champion armaments or equipment in exchange for Order Resources.","110","2","1","1032479","41958","0","0","0","0","0"
"365","Grimoire of Servitude","Newly recruited Packs of Imps become Swarms of Wild Imps, which have:

|TInterface\ICONS\SPELL_SHADOW_ANTISHADOW.BLP:20:20:0:0|t |CffffffffDemonic Pact|R
$@garrabdesc497","110","3","0","460694","41959","0","0","0","0","0"
"366","Demonic Offering","Grants you access to Ritual of Doom, allowing you and four compatriots to summon mighty demons in search of empowering magics and demonic treasures.","110","1","0","460696","41955","0","0","0","0","0"
"367","Seed of Corruption","Increases success chance of missions with |C00b3ffffMinions|R by ${$a1516}%.","110","4","0","136193","41960","1137","0","0","0","0"
"368","Legends of the Fel","Increase the number of Legendary items you can equip by ${$a898}.","110","5","0","615096","41961","0","0","0","0","0"
"369","Rugged Upgrades","Increases the chance for quest rewards to get a rare or epic Bonus Upgrade from non-repeatable quests.","113","0","0","132168","41962","0","0","0","0","0"
"370","Long Range","Enables the Long Range ability, which increases the success chance of the first mission you send each day by ${$a707}%.","113","0","1","1392555","41962","584","0","0","0","0"
"371","Disengage","Enables the Disengage ability for all missions, which increases success chance of missions with |C00b3ffffHazards|R by ${$a787}%.","113","1","1","132294","41955","661","0","0","0","0"
"372","Sturdy Tents","Increases the maximum number of Archers, Marksmen, Trackers and Pathfinders you can recruit by ${$a708}.","113","2","0","236200","41958","585","0","0","0","0"
"373","Keen Eye","Newly recruited Squads of Archers become Unseen Marksmen, increasing their chance of mission success by ${$a634-$a633}%.","113","3","0","132177","41959","0","0","0","0","0"
"374","Wild Calling","Newly recruited Bands of Trackers become Pathfinders which gain:

|TInterface\ICONS\SPELL_FIRE_FLARE.BLP:20:20:0:0|t |CffffffffFlare|R
$@garrabdesc520","113","3","1","133208","41959","0","0","0","0","0"
"375","Eagle Ally","Allows access to the Eagle Flight Network, a number of flight paths scattered across the Broken Isles.","113","1","0","1392564","41955","0","0","0","0","0"
"376","Foraging","Completing World Quests with a Combat Ally provides Order Resources.","113","4","1","135904","41960","786","0","0","0","0"
"377","Unseen Path","Allows you to place a work order for 1 of your 3 weekly Seals of Broken Fate in exchange for Order Resources.","113","4","0","461118","41960","0","0","0","0","0"
"378","Fletchery","Allows you to place work orders for Champion armaments or equipment in exchange for Order Resources.","113","2","1","236204","41958","0","0","0","0","0"
"379","Legends of the Wild","Increase the number of Legendary items you can equip by ${$a898}.","113","5","0","538771","41961","0","0","0","0","0"
"380","Arcane Provenance","Increases the chance for quest rewards to get a rare or epic Bonus Upgrade from non-repeatable quests.","116","0","0","252267","41962","0","0","0","0","0"
"381","Frost Nova","Enables the Frost Nova ability, which increases the success chance of the first mission you send each day by ${$a710}% if that mission has |C00b3ffffMinions|R.","116","0","1","135848","41962","587","0","0","0","0"
"382","Blink","Enables the Blink ability for all missions, reducing mission duration by ${100-$a712*100}%.","116","1","1","135736","41955","589","0","0","0","0"
"383","Arcane Library","Increases the maximum number of Water Elementals, Arcane Golems, Tirisgarde Apprentices and Kirin Tor Invokers you can recruit by ${$a711}.","116","2","0","354435","41958","588","0","0","0","0"
"384","Elemental Power","Newly recruited Water Elementals become Arcane Golems, increasing their chance of mission success by ${$a677-$a676}%.","116","3","0","651082","41959","0","0","0","0","0"
"385","Higher Learning","Newly recruited Tirisgarde Apprentices become Kirin Tor Invokers which gain:

|TInterface\ICONS\SPELL_NATURE_ENCHANTARMOR.BLP:20:20:0:0|t |CffffffffPresence of Mind|R
$@garrabdesc552","116","3","1","236225","41959","0","0","0","0","0"
"386","Teleportation Nexus","Grants access to the Teleportation Nexus, an array of portals distributed across the Broken Isles, allowing you to quickly move around the world.","116","1","0","237509","41955","0","0","0","0","0"
"387","Arcane Divination","Allows you to place a work order for 1 of your 3 weekly Seals of Broken Fate in exchange for Order Resources.","116","4","1","609814","41960","0","0","0","0","0"
"388","Arcane Intuition","Quests grant you bonus resources while you have a Combat Ally active.","116","4","0","610679","41960","1134","0","0","0","0"
"389","Arcane Armaments","Allows you to place work orders for Champion armaments or equipment in exchange for Order Resources.","116","2","1","135752","41958","0","0","0","0","0"
"390","Legends of the Tirisgarde","Increase the number of Legendary items you can equip by ${$a898}.","116","5","0","895887","41961","0","0","0","0","0"
"391","Light's Favor","Increases the chance for quest rewards to get a rare or epic Bonus Upgrade from non-repeatable quests.","119","0","0","589117","41962","0","0","0","0","0"
"392","Blessing of Kings","Enables the Blessing of Kings ability, which increases the success chance of the first mission you send each day by ${$a718}%.","119","0","1","135993","41962","595","0","0","0","0"
"393","Righteous Blessing","Enables the Righteous Blessing ability for all missions, which increases success chance of missions with |C00b3ffffMinions|R by ${$a716}%.","119","1","1","1030099","41955","593","0","0","0","0"
"394","Argent Call","Increase the maximum number of Squires, Shieldbearers, Knights and Templar you can recruit by ${$a717}.","119","2","0","236690","41958","594","0","0","0","0"
"395","As One","Newly recruited Squads of Squires become a Shieldbearer Phalanx, increasing their chance of mission success by ${$a638-$a637}%.","119","3","0","1278391","41959","0","0","0","0","0"
"396","Templar of the Silver Hand","Newly recruited Silver Hand Knights become Silver Hand Templars which gain:

|TInterface\ICONS\SPELL_HOLY_HEROISM.BLP:20:20:0:0|t |CffffffffGuardians of Kings|R
$@garrabdesc562","119","3","1","237547","41959","0","0","0","0","0"
"397","Argent Steed","Grants access to the Argent Charger Hitching Post once a day, allowing you to summon a Charger which allows you to perform mounted combat for a short duration.","119","1","0","1360759","41955","0","0","0","0","0"
"398","Holy Purpose","Allows you to place a work order for 1 of your 3 weekly Seals of Broken Fate in exchange for Order Resources.","119","4","1","135909","41960","0","0","0","0","0"
"399","Grand Crusade","Quests grant you bonus resources while you have a Combat Ally active.","119","4","0","1360760","41960","1132","0","0","0","0"
"400","Plowshares to Swords","Allows you to place work orders for Champion armaments or equipment in exchange for Order Resources.","119","2","1","1030096","41958","0","0","0","0","0"
"401","Legends of the Righteous","Increase the number of Legendary items you can equip by ${$a898}.","119","5","0","135965","41961","0","0","0","0","0"
"402","Odyn's Favor","Increases the chance for quest rewards to get a rare or epic Bonus Upgrade from non-repeatable quests.","122","0","0","132275","41962","0","0","0","0","0"
"403","Rallying Cry","Enables the Rallying Cry ability, which increases the success chance of the first mission you send each day by ${$a719}% per troop Vitality.","122","0","1","236317","41962","596","0","0","0","0"
"404","Forced March","Enables the Forced March ability for all missions, reducing mission duration by ${100-$a720*100}%.","122","1","1","132277","41955","597","0","0","0","0"
"405","Abundant Valor","Increases the maximum number of Valarjar Aspirants, Stormforged Valarjar, Shieldmaiden Warbands and Valkyra Shieldmaidens you can recruit by ${$a721}.","122","2","0","132351","41958","598","0","0","0","0"
"406","Trial by Fire","Newly recruited Valajar Aspirants become Stormforged Valarjar, increasing their chance of mission success by ${$a725-$a722}%.","122","3","0","132346","41959","0","0","0","0","0"
"407","Ascension","Newly recruited Shieldmaiden Warbands become Valkyra Shieldmaidens, which gain:

|TInterface\ICONS\Ability_Paladin_TowerofLight.blp:20:20:0:0|t |CffffffffFlight of the Valkyra|R
$@garrabdesc601","122","3","1","132339","41959","0","0","0","0","0"
"408","For Honor and Glory","Grants you the ability to see the Skyhold Chest of Riches within the perilous Circle of Glory.  Compete with your fellow Warriors for the chance to loot its riches once a week.","122","1","0","132334","41955","0","0","0","0","0"
"409","Spoils of War","Completing World Quests with a Combat Ally provides Order Resources.","122","4","1","236307","41960","747","0","0","0","0"
"410","Bladestorm","Increases success chance of missions with |C00b3ffffMinions|R by ${$a1514}%.","122","4","0","236303","41960","1136","0","0","0","0"
"411","Heavenly Forge","Allows you to place work orders for Champion armaments or equipment in exchange for Order Resources.","122","2","1","1357798","41958","0","0","0","0","0"
"412","Legends of Ragnarok","Increase the number of Legendary items you can equip by ${$a898}.","122","5","0","460957","41961","0","0","0","0","0"
"413","Well Prepared","Increases the chance for quest rewards to get a rare or epic Bonus Upgrade from non-repeatable quests.","125","0","0","607854","41962","0","0","0","0","0"
"414","The Hunt","Enables The Hunt ability, which increases the success chance of the first mission you send each day by ${$a738}%.","125","0","1","1344654","41962","614","0","0","0","0"
"415","Vengeful Retreat","Enables the Vengeful Retreat ability for all missions, which increases success chance of missions with |C00b3ffffMinions|R by ${$a740}%.","125","1","1","1348401","41955","616","0","0","0","0"
"416","Training Grounds","Increases the maximum number of Ashtongue Warriors, Naga Myrmidon, Illidari Adepts and Transformed Illidari Adepts you can recruit by ${$a739}.","125","2","0","1380677","41958","615","0","0","0","0"
"417","Naga Myrmidons","Newly recruited Ashtongue Warriors become Naga Myrmidons increasing their chance of mission success by ${$a728-$a726}%.","125","3","0","1391617","41959","0","0","0","0","0"
"418","Demonic Power","Newly recruited Illidari Adepts become Transformed Illidari Adepts which gain:

|TInterface\ICONS\ABILITY_WARLOCK_SHADOWFURYTGA.BLP:20:20:0:0|t |CffffffffDemon Form|R
$@garrabdesc606","125","3","1","1247262","41959","0","0","0","0","0"
"419","Twisting Nether","Grants you access to Portal to the Twisting Nether, summoning a mighty demon that you and your allies may defeat for fortifying bonuses and potential treasure.","125","1","0","134544","41955","0","0","0","0","0"
"420","Focused War Effort","Allows you to place a work order for 1 of your 3 weekly Seals of Broken Fate in exchange for Order Resources.","125","4","1","1392947","41960","0","0","0","0","0"
"421","Fel Hammer's Wrath","Increases success chance of missions with |C00b3ffffMinions|R by ${$a716}%.","125","4","0","1247266","41960","1246","0","0","0","0"
"422","Fel Armaments","Allows you to place work orders for Champion armaments or equipment in exchange for Order Resources.","125","2","1","1380365","41958","0","0","0","0","0"
"423","Demonic Fate","Increase the number of Legendary items you can equip by ${$a898}.","125","5","0","1247265","41961","0","0","0","0","0"
"424","Death's Boon","Increases the chance for quest rewards to get a rare or epic Bonus Upgrade from non-repeatable quests.","128","0","0","1390941","41962","0","0","0","0","0"
"425","Swarm","Enables the Swarm ability, which increases the success chance of the first mission you send each day by ${$a755}% when a Pack of Ghouls or Geist Swarm is on the mission.","128","0","1","237511","41962","631","0","0","0","0"
"426","Death's Advance","Enables the Death's Advance ability for all missions, which increases the success chance for missions with |C00b3ffffHazards|R by ${$a754}%.","128","1","1","237561","41955","630","0","0","0","0"
"427","Call of the Grave","Increases the maximum number of Ghouls, Geists, Knights and Ravagers you can recruit by ${$a753}.","128","2","0","1065381","41958","629","0","0","0","0"
"428","Construct Quarter","Newly recruited Packs of Ghouls become Geist Swarms, increasing their chance of mission success by ${$a742-$a741}%.","128","3","0","1100170","41959","0","0","0","0","0"
"429","Live by the Sword","Newly recruited Ebon Knights become Ebon Ravagers.  

Ebon Ravagers gain a random Specialization and can counter a |C00b3ffffBoss|R.","128","3","1","1392551","41959","0","0","0","0","0"
"430","Dark Horsemen","Grants access to the Deathcharger Hitching Post once a day, used to summon a Deathcharger which allows you to perform mounted combat for a short duration.","128","1","0","524049","41955","0","0","0","0","0"
"431","Reanimation","Successful missions have a chance to return a Pile of Bits and Bones which can be combined into Abominations.

Abominations increase success chance by ${$a650}% on missions with either |C00b3ffffHazards|R, |C00b3ffffSpells|R or |C00b3ffffMinions|R, chosen at random, in addition to:

|TInterface\ICONS\SPELL_DEATHKNIGHT_EXPLODE_GHOUL.BLP:20:20:0:0|t |CffffffffVile Aberration|R
$@garrabdesc778","128","4","1","136187","41960","782","0","0","0","0"
"432","Unholy Reclamation","Quests grant you bonus resources while you have a Combat Ally active.","128","4","0","135775","41960","1133","0","0","0","0"
"433","Brothers in Arms","Allows you to place work orders for Champion armaments or equipment in exchange for Order Resources.","128","2","1","237512","41958","0","0","0","0","0"
"434","Legends from the Grave","Increase the number of Legendary items you can equip by ${$a898}.","128","5","0","879926","41961","0","0","0","0","0"
"435","Lucky Streak","Increases the chance for quest rewards to get a rare or epic Bonus Upgrade from non-repeatable quests.","131","0","0","418250","41962","0","0","0","0","0"
"436","Sneak Attack","Enables the Sneak Attack ability, which increases the success chance of the first mission you send each day by ${$a769}%.","131","0","1","1373907","41962","643","0","0","0","0"
"437","Assassination","Enables the Assassination ability for all missions, which increases success chance of missions with |C00b3ffffMinions|R by ${$a770}%.","131","1","1","236173","41955","644","0","0","0","0"
"438","Prizefights","Increases the maximum number of Bandits, Thieves, Pirates and Duelists you can recruit by ${$a771}.","131","2","0","1379239","41958","645","0","0","0","0"
"439","Defiant Legacy","Newly recruited Bandits become Defias Thieves, which have:

|TInterface\ICONS\INV_MISC_BAG_11.BLP:20:20:0:0|t |CffffffffPick Pocket|R
$@garrabdesc634","131","3","0","1373912","41959","0","0","0","0","0"
"440","Crimson Sails","Newly recruited Pirates become Uncrowned Duelists, which gain:

|TInterface\ICONS\ABILITY_PARRY.BLP:20:20:0:0|t |CffffffffEn Garde|R
$@garrabdesc635","131","3","1","1269440","41959","0","0","0","0","0"
"441","The Vault","Grants a chance for Champions on successful missions to return with a Vault Ticket.

Vault Tickets grant you permission to loot a random reward from the Uncrowned Vault once a week, containing riches beyond your wildest dreams.","131","1","0","1269443","41955","789","0","0","0","0"
"442","Under the Table","Completing World Quests with a Combat Ally provides Order Resources.","131","4","1","132092","41960","783","0","0","0","0"
"443","Plunder","Allows you to place a work order for 1 of your 3 weekly Seals of Broken Fate in exchange for Order Resources.","131","4","0","1398087","41960","0","0","0","0","0"
"444","Weapons Smuggler","Allows you to place work orders for Champion armaments or equipment in exchange for Order Resources.","131","2","1","840720","41958","0","0","0","0","0"
"445","Armed to the Teeth","Increase the number of Legendary items you can equip by ${$a898}.","131","5","0","1398088","41961","0","0","0","0","0"
"446","Divine Fate","Increases the chance for quest rewards to get a rare or epic Bonus Upgrade from non-repeatable quests.","134","0","0","135976","41962","0","0","0","0","0"
"447","Daily Prayers","Enables the Daily Prayers ability, which increases the success chance of the first mission you send each day by ${$a785}%.","134","0","1","237539","41962","659","0","0","0","0"
"448","Tithe","Completing World Quests with a Combat Ally provides Order Resources.","134","4","1","1022951","41960","784","0","0","0","0"
"449","Communal Living","Increases the maximum number of Acolytes, Paragons, Zealots and Dark Zealots you can recruit by ${$a784}.","134","2","0","135946","41958","658","0","0","0","0"
"450","Inquisition","Newly recruited Acolytes become Paragons, increasing their chance of mission success by ${$a774-$a773}%.","134","3","0","633042","41959","0","0","0","0","0"
"451","Shadow Heresy","Newly recruited Zealots become Dark Zealots, which gain:

|TInterface\ICONS\ABILITY_WARLOCK_SOULSWAP.BLP:20:20:0:0|t |CffffffffSoul Reapers|R
$@garrabdesc650","134","3","1","1022944","41959","0","0","0","0","0"
"452","Altars of Blessing","Grants you permission to access either the Light Well or the Shadow Well once a day.

Praying to either of these Altars will grant valuable bonuses to assist you while questing in the Broken Isles.","134","1","0","135923","41955","0","0","0","0","0"
"453","Pain Suppression","Enables the Pain Suppression ability for all missions, granting a chance for a random troop to not take ${$a786} vitality damage.","134","1","1","135936","41955","660","0","0","0","0"
"454","Blessed Seals","Allows you to place a work order for 1 of your 3 weekly Seals of Broken Fate in exchange for Order Resources.","134","4","0","135914","41960","0","0","0","0","0"
"455","Armaments of Light","Allows you to place work orders for Champion armaments or equipment in exchange for Order Resources.","134","2","1","632352","41958","0","0","0","0","0"
"456","Armed by Faith","Increase the number of Legendary items you can equip by ${$a898}.","134","5","0","1022949","41961","0","0","0","0","0"
"480","Silver Hand Crusaders","You are now able to recruit Silver Hand Crusaders, a powerful troop type.

Silver Hand Crusaders have a random Ability and can counter either |C00b3ffffMinions|R, |C00b3ffffSpells|R or |C00b3ffffHazards|R, in addition to:

|TInterface\ICONS\ACHIEVEMENT_REPUTATION_ARGENTCRUSADER.BLP:20:20:0:0|t |CffffffffThundering Assault|R
$@garrabdesc889","119","6","0","1134001","48550","0","0","0","0","0"
"481","Roster of Champions","$@garrabdesc892","119","6","1","571558","48550","0","0","0","0","0"
"483","Guardians of the Kirin Tor","You are now able to recruit Kirin Tor Guardians, a powerful troop type.

Guardians have a random Ability and can counter either |C00b3ffffMinions|R, |C00b3ffffSpells|R or |C00b3ffffHazards|R, in addition to:

|TInterface\ICONS\SPELL_MAGE_TEMPORALSHIELD.BLP:20:20:0:0|t |CffffffffPrismatic Armor|R
$@garrabdesc876","116","6","0","610472","48550","0","0","0","0","0"
"484","Roster of Champions","$@garrabdesc892","116","6","1","1387356","48550","0","0","0","0","0"
"486","Frost and Death","You are now able to recruit Ebon Knight Frostreavers, a powerful troop type.

Frostreavers have a random Ability and can counter either |C00b3ffffMinions|R, |C00b3ffffSpells|R or |C00b3ffffHazards|R, in addition to:

|TInterface\ICONS\artifactability_FrostMage_Ebonbolt.blp:20:20:0:0|t |CffffffffFrost Reaver|R
$@garrabdesc877","128","6","0","236699","48550","0","0","0","0","0"
"487","Roster of Champions","$@garrabdesc892","128","6","1","636332","48550","0","0","0","0","0"
"489","Blades of Death","You are now able to recruit Shivarra, a powerful troop type.

Shivarra have a random Ability and can counter either |C00b3ffffMinions|R, |C00b3ffffSpells|R or |C00b3ffffHazards|R, in addition to:

|TInterface\ICONS\INV_WEAPON_SHORTBLADE_31.BLP:20:20:0:0|t |CffffffffShattering Blades|R
$@garrabdesc885","125","6","0","615148","48550","0","0","0","0","0"
"490","Roster of Champions","$@garrabdesc892","125","6","1","236299","48550","0","0","0","0","0"
"492","Wardens of the Grove","You are now able to recruit Dreamgrove Wardens, a powerful troop type.

Dreamgrove Wardens have a random Ability and can counter either |C00b3ffffMinions|R, |C00b3ffffSpells|R or |C00b3ffffHazards|R, in addition to:

|TInterface\ICONS\SPELL_NATURE_MOONGLOW.BLP:20:20:0:0|t |CffffffffStars Fury|R
$@garrabdesc879","107","6","0","1387709","48550","0","0","0","0","0"
"493","Roster of Champions","$@garrabdesc892","107","6","1","1396983","48550","0","0","0","0","0"
"495","Born of the Night","You are now able to recruit Nightborne Hunters, a powerful troop type.

Nightborne Hunters have a random Ability and can counter either |C00b3ffffMinions|R, |C00b3ffffSpells|R or |C00b3ffffHazards|R, in addition to:

|TInterface\ICONS\ABILITY_ROGUE_MASTEROFSUBTLETY.BLP:20:20:0:0|t |CffffffffShadow Assault|R
$@garrabdesc884","113","6","0","1525722","48550","0","0","0","0","0"
"496","Roster of Champions","$@garrabdesc892","113","6","1","1036119","48550","0","0","0","0","0"
"498","Masters of the Path","You are now able to recruit Masters of Serenity, a powerful troop type.

Masters of Serenity have a random Ability and can counter either |C00b3ffffMinions|R, |C00b3ffffSpells|R or |C00b3ffffHazards|R, in addition to:

|TInterface\ICONS\ABILITY_MONK_SERENITY.blp:20:20:0:0|t |CffffffffSerene Strike|R
$@garrabdesc891","4","6","0","1381296","48550","0","0","0","0","0"
"499","Roster of Champions","$@garrabdesc892","4","6","1","613397","48550","0","0","0","0","0"
"501","Hooded Priests","You are now able to recruit Hooded Priests, a powerful troop type.

Hooded Priests have a random Ability and can counter either |C00b3ffffMinions|R, |C00b3ffffSpells|R or |C00b3ffffHazards|R, in addition to:

|TInterface\ICONS\INV_MISC_HERB_WHISPERVINE.BLP:20:20:0:0|t |CffffffffWhispers of Death|R
$@garrabdesc888","134","6","0","237568","48550","0","0","0","0","0"
"502","Roster of Champions","$@garrabdesc892","134","6","1","1060983","48550","0","0","0","0","0"
"504","Ravenholdt's Finest","You are now able to recruit Ravenholdt Assassins, a powerful troop type.

Ravenholdt Assassins have a random ability and can counter either |C00b3ffffMinions|R, |C00b3ffffSpells|R or |C00b3ffffHazards|R, in addition to:

|TInterface\ICONS\INV_Helm_Cloth_ShadowmoonClan_B_01.blp:20:20:0:0|t |CffffffffShadow Death|R
$@garrabdesc890","131","6","0","1394887","48550","0","0","0","0","0"
"505","Roster of Champions","$@garrabdesc892","131","6","1","236275","48550","0","0","0","0","0"
"507","Ring of Earth","You are now able to recruit Earthen Ring Protectors, a powerful troop type.

Earthen Ring Protectors have a random Ability and can counter either |C00b3ffffMinions|R, |C00b3ffffSpells|R or |C00b3ffffHazards|R, in addition to:

|TInterface\ICONS\SPELL_SHAMAN_UNLEASHWEAPON_EARTH.BLP:20:20:0:0|t |CffffffffEarth's Vengeance|R
$@garrabdesc886","31","6","0","456567","48550","0","0","0","0","0"
"508","Roster of Champions","$@garrabdesc892","31","6","1","1385914","48550","0","0","0","0","0"
