Id,Description,Color
"13214","德拉诺之王第3赛季精锐","65280"
"13215","搜索","-16724737"
"13216","时空扭曲","-16711936"
"13217","5/6阶段","65280"
"13218","6/6阶段","65280"
"13219","神器能量","-1651584"
"13220","时空战火","-16711936"
"13222","强化","65280"
"13223","远古魔力","-10044417"
"13224","海军装备","65280"
"13225","恶毒","-16711936"
"13226","《军团再临》第1赛季","65280"
"13227","《军团再临》第1赛季精锐","65280"
"13228","勇士装备","-12288"
"13230","第1阶段（共9阶段）","65280"
"13231","第2阶段（共9阶段）","65280"
"13232","第3阶段（共9阶段）","65280"
"13233","第4阶段（共9阶段）","65280"
"13234","第5阶段（共9阶段）","65280"
"13235","第6阶段（共9阶段）","65280"
"13236","第7阶段（共9阶段）","65280"
"13237","第8阶段（共9阶段）","65280"
"13238","第9阶段（共9阶段）","65280"
"13239","泰坦造物","65280"
"13241","奥丁之怒","-1651584"
"13242","海拉之怒","-1651584"
"13243","掠霜使者","-1651584"
"13244","寒冰使者","-1651584"
"13245","维鲁斯","-1651584"
"13246","穆拉玛斯","-1651584"
"13247","阿布尔克","-1651584"
"13248","奥拉艾德","-1651584"
"13249","痛楚","-1651584"
"13250","哀伤","-1651584"
"13251","命运","-1651584"
"13252","机遇","-1651584"
"13253","血牙","-1651584"
"13254","阿卡丽的意志","-1651584"
"13256","抑魔金：0/10","65280"
"13257","抑魔金：1/10","65280"
"13258","抑魔金：2/10","65280"
"13259","抑魔金：3/10","65280"
"13260","抑魔金：4/10","65280"
"13261","抑魔金：5/10","65280"
"13262","抑魔金：6/10","65280"
"13263","抑魔金：7/10","65280"
"13264","可摧毁","-7820545"
"13265","史诗 2","-16711936"
"13266","史诗 3","-16711936"
"13267","史诗 4","-16711936"
"13268","史诗 5","-16711936"
"13269","史诗 6","-16711936"
"13270","史诗 7","-16711936"
"13271","史诗 8","-16711936"
"13272","史诗 9","-16711936"
"13273","史诗 10","-16711936"
"13274","史诗2奖励","-16711936"
"13275","史诗3奖励","-16711936"
"13276","史诗4奖励","-16711936"
"13277","史诗5奖励","-16711936"
"13278","史诗6奖励","-16711936"
"13279","史诗7奖励","-16711936"
"13280","史诗8奖励","-16711936"
"13281","史诗9奖励","-16711936"
"13282","抑魔金：8/10","65280"
"13284","老兵","-16711936"
"13285","抑魔金：9/10","65280"
"13286","抑魔金：10/10","65280"
"13287","军团再临第2赛季","65280"
"13288","军团再临第2赛季精锐","65280"
"13289","史诗 11","-16711936"
"13290","史诗 12","-16711936"
"13291","25人（普通）","0"
"13292","25人（英雄）","0"
"13293","10人（普通）","65280"
"13295","《军团再临》第3赛季","65280"
"13296","《军团再临》第3赛季精锐","65280"
"13297","《军团再临》第4赛季","65280"
"13298","《军团再临》第4赛季精锐","65280"
"13299","《军团再临》第5赛季","65280"
"13300","《军团再临》第5赛季精锐","65280"
"13301","角斗士","-16711936"
"13302","争斗者","-16711936"
"13303","候选者","-16711936"
"13304","荣誉","-16711936"
"13305","太阳之井","-16711936"
"13306","PVP精良","65280"
"13307","PVP史诗","65280"
"13308","史诗 13","-16711936"
"13309","史诗 14","-16711936"
"13310","史诗 15","-16711936"
"13311","《军团再临》第6赛季","65280"
"13312","《军团再临》第7赛季","65280"
"13313","《军团再临》第6赛季精锐","65280"
"13314","《军团再临》第7赛季精锐","65280"
"13315","《军团再临》第1和第2赛季","65280"
"13316","《军团再临》第1和第2赛季精锐","65280"
"13317","《军团再临》第3和第4赛季","65280"
"13318","《军团再临》第3和第4赛季精锐","65280"
"13319","制造物品","-10044417"
"13320","重塑","65280"
"13321","果敢","65280"
"13322","源生抑魔金：0/10","65280"
"13323","源生抑魔金：1/10","65280"
"13324","源生抑魔金：2/10","65280"
"13325","源生抑魔金：3/10","65280"
"13326","源生抑魔金：4/10","65280"
"13327","源生抑魔金：5/10","65280"
"13328","源生抑魔金：6/10","65280"
"13329","源生抑魔金：7/10","65280"
"13330","源生抑魔金：8/10","65280"
"13331","源生抑魔金：9/10","65280"
"13332","源生抑魔金：10/10","65280"
"13333","沙图格","-6081042"
"13334","法尔格","-6081042"
"13335","《军团再临》第5、6、7赛季","65280"
"13336","《军团再临》第5、6、7赛季精锐","65280"
"13337","缴获","65280"
"13338","纯洁","65280"
"13339","纯洁","-16711936"
"13343","艾泽里特等级 3","15923845"
"13445","挑战者","-16711936"
"13446","竞争者","-16711936"
"13447","决斗者","-16711936"
"13448","战争前线","-1"
"13449","神器能量","-6447715"
"13451","悚然争斗者","-16711936"
"13452","惊恶争斗者","-16711936"
"13453","悚然挑战者","-16711936"
"13454","惊恶挑战者","-16711936"
"13455","悚然竞争者","-16711936"
"13456","惊恶竞争者","-16711936"
"13457","悚然决斗者","-16711936"
"13458","惊恶决斗者","-16711936"
"13459","悚然角斗士","-16711936"
"13460","惊恶角斗士","-16711936"
"13461","《争霸艾泽拉斯》第1赛季","65280"
"13462","《争霸艾泽拉斯》第2赛季","65280"
"13463","惊恶精锐","-16711936"
"13464","悚然精锐","65280"
"13465","麦卡贡匠技","-10044417"
"13486","封印的险恶赐福","-6081042"
"13487","开启的险恶赐福","-6081042"
"13488","时尚试炼第4赛季","65280"
"13489","时尚试炼第2赛季","65280"
"13490","时尚试炼第1赛季","65280"
"13491","校准：0.75 急速：0.75 全能","-14614752"
"13492","时尚试炼第3赛季","65280"
"13493","罪邪挑战者","-16711936"
"13494","罪邪争斗者","-16711936"
"13495","罪邪决斗者","-16711936"
"13496","罪邪精英","-16711936"
"13497","罪邪角斗士","-16711936"
"13498","罪邪竞争者","-16711936"
"13499","坐骑装备","-9316865"
"13501","红色打孔卡","-14614752"
"13502","黄色打孔卡","-14614752"
"13503","蓝色打孔卡","-14614752"
"13504","奥术材料","-14614752"
"13505","镶珠","-14614752"
"13506","《争霸艾泽拉斯》第3赛季","65280"
"13507","底栖","-14614752"
"13508","《争霸艾泽拉斯》第4赛季","65280"
"13509","1级黑暗帝国圣物","-16711681"
"13510","2级黑暗帝国圣物","-16711681"
"13511","3级黑暗帝国圣物","-16711681"
"13512","4级黑暗帝国圣物","-16711681"
"13513","25腐蚀","14417920"
"13516","5腐蚀","16580611"
"13517","10腐蚀","16580611"
"13518","15腐蚀","16580611"
"13519","20腐蚀","16580611"
"13520","30腐蚀","16580611"
"13521","5-30腐蚀","16580611"
"13524","等级10","-16711681"
"13525","等级11","-16711681"
"13526","等级 12","-16711681"
"13527","等级 13","-16711681"
"13528","等级 14","-16711681"
"13529","等级 15","-16711681"
"13530","腐化挑战者","-16711936"
"13531","腐化争斗者","-16711936"
"13532","腐化决斗者","-16711936"
"13533","腐化精英","-16711936"
"13534","腐化角斗士","-16711936"
"13535","腐化竞争者","-16711936"
"13536","腐化","-57312"
"13565","66 Corruption","11962111"
"13566","35 Corruption","11962111"
"13567","15 Corruption","11962111"
"13568","20 Corruption","11962111"
"13569","10 Corruption","11962111"
"13570","75 Corruption","11962111"
"13571","50 Corruption","11962111"
"13572","25 Corruption","11962111"
"13573","45 Corruption","11962111"
"13574","28 Corruption","11962111"
"13575","17 Corruption","11962111"
"13576","30 Corruption","11962111"
"13577","12 Corruption","11962111"
"13578","16 Corruption","11962111"
"13579","8 Corruption","11962111"
"13580","60 Corruption","11962111"
"13294","等级 8","-16711681"
