Id,Name,FemaleName,Description,ClassId,OrderIndex,PetTalentType,Role,Flags,SpellIconFileId,PrimaryStatPriority,AnimReplacements,MasterySpellId0,MasterySpellId1
"254","Marksmanship","Marksmanship","A master sharpshooter who excels in bringing down enemies from afar.

Preferred Weapon: Bow, Crossbow, Gun","3","1","0","2","2","236179","2","0","193468","0"
"255","Survival","Survival","An adaptive ranger who favors using explosives, animal venom, and coordinated attacks with their bonded beast.

Preferred Weapon: Polearm, Staff","3","2","0","2","260","461113","2","0","263135","0"
"256","Discipline","Discipline","Uses magic to shield allies from taking damage as well as heal their wounds.

Preferred Weapon: Staff, Wand, Dagger, Mace","5","0","0","1","67","135940","0","353","271534","0"
"257","Holy","Holy","A versatile healer who can reverse damage on individuals or groups and even heal from beyond the grave.

Preferred Weapon: Staff, Wand, Dagger, Mace","5","1","0","1","3","237542","0","353","77485","0"
"258","Shadow","Shadow","Uses sinister Shadow magic and terrifying Void magic to eradicate enemies.

Preferred Weapon: Staff, Wand, Dagger, Mace","5","2","0","2","11","136207","0","353","77486","0"
"259","Assassination","Assassination","A deadly master of poisons who dispatches victims with vicious dagger strikes.

Preferred Weapons: Daggers","4","0","0","2","68","236270","3","0","76803","0"
"260","Outlaw","Outlaw","A ruthless fugitive who uses agility and guile to stand toe-to-toe with enemies.

Preferred Weapons: Axes, Maces, Swords, Fist Weapons","4","1","0","2","4","236286","3","0","76806","0"
"261","Subtlety","Subtlety","A dark stalker who leaps from the shadows to ambush $Ghis:her; unsuspecting prey.

Preferred Weapons: Daggers","4","2","0","2","4","132320","3","0","76808","0"
"262","Elemental","Elemental","A spellcaster who harnesses the destructive forces of nature and the elements.

Preferred Weapon: Mace, Dagger, and Shield","7","0","0","2","75","136048","0","369","168534","0"
"263","Enhancement","Enhancement","A totemic warrior who strikes foes with weapons imbued with elemental power.

Preferred Weapons: Dual Axes, Maces, Fist Weapons","7","1","0","2","260","237581","2","369","77223","0"
"264","Restoration","Restoration","A healer who calls upon ancestral spirits and the cleansing power of water to mend allies' wounds.

Preferred Weapon: Mace, Dagger, and Shield","7","2","0","1","3","136052","0","369","77226","0"
"265","Affliction","Affliction","A master of shadow magic who specializes in drains and damage-over-time spells.

Preferred Weapon: Staff, Wand, Dagger, Sword","9","0","0","2","67","136145","0","357","77215","0"
"266","Demonology","Demonology","A commander of demons who twists the souls of $Ghis:her; army into devastating power.

Preferred Weapon: Staff, Wand, Dagger, Sword","9","1","0","2","3","136172","0","357","77219","0"
"267","Destruction","Destruction","A master of chaos who calls down fire to burn and demolish enemies.

Preferred Weapon: Staff, Wand, Dagger, Sword","9","2","0","2","3","136186","0","357","77220","0"
"268","Brewmaster","Brewmaster","A sturdy brawler who uses unpredictable movement and mystical brews to avoid damage and protect allies.

Preferred Weapon: Staff, Polearm","10","0","0","0","4","608951","2","618","117906","0"
"269","Windwalker","Windwalker","A martial artist without peer who pummels foes with hands and fists.

Preferred Weapons: Fist Weapons, Axes, Maces, Swords","10","2","0","2","68","608953","2","618","115636","0"
"270","Mistweaver","Mistweaver","A healer who masters the mysterious art of manipulating life energies aided by the wisdom of the Jade Serpent.

Preferred Weapon: Staff, Mace, Sword","10","1","0","1","5","608952","0","618","117907","0"
"535","Ferocity","Ferocity","Driven by a rabid persistence to pursue prey, these carnivorous beasts stop at nothing to achieve victory; even death is temporary for these predators.","0","0","0","2","32","236159","0","0","0","0"
"536","Cunning","Cunning","Guileful creatures capable of skillfully mitigating lethal blows dealt to themselves and their allies.","0","2","2","2","32","132150","0","0","0","0"
"537","Tenacity","Tenacity","Stalwart and veteran defenders who unquestionably place their thick hides and protective exteriors in harm's way for their allies.","0","1","1","0","32","132121","0","0","0","0"
"577","Havoc","Havoc","A brooding master of warglaives and the destructive power of Fel magic.

Preferred Weapons: Warglaives, Swords, Axes, Fist Weapons","12","0","0","2","68","1247264","3","364","185164","0"
"581","Vengeance","Vengeance","Embraces the demon within to incinerate enemies and protect their allies.

Preferred Weapons: Warglaives, Swords, Axes, Fist Weapons","12","1","0","0","4","1247265","3","364","203747","0"
