Id,Text,SortIndex,MinLevel,MaxLevel
"389","|cffffd100Tip:|r You can only know two professions at a time, but you can learn all secondary skills (Cooking, Fishing, and Archaeology).","19","10","250"
"390","|cffffd100Tip:|r It's considered polite to talk to someone before inviting them into a group, or opening a trade window.","58","0","0"
"392","|cffffd100Tip:|r Your items do not suffer durability damage when you are killed by an enemy player.","60","40","250"
"393","|cffffd100Tip:|r <Shift>-click on a quest in your quest log to toggle quest tracking for that quest.","61","10","250"
"394","|cffffd100Tip:|r Nearby questgivers that are awaiting your return are shown as a yellow question mark on your mini-map.","63","1","20"
"396","|cffffd100Tip:|r Nearby questgivers that are awaiting your return are shown as a question mark on your mini-map.","1","1","20"
"398","|cffffd100Tip:|r You can click the numbered quest icons in the quest tracker UI to select which quest to track.","41","0","0"
"399","|cffffd100Tip:|r Quests completed at maximum level award bonus gold instead of experience.","64","120","120"
"403","|cffffd100Tip:|r By default, the B key will open all your bags at once.","65","20","90"
"404","|cffffd100Tip:|r When interacting with other players, a little kindness goes a long way!","156","0","0"
"405","|cffffd100Tip:|r You're much less likely to encounter wandering monsters while following a road.","42","0","0"
"406","|cffffd100Tip:|r Use the Dungeon Finder tool to quickly jump into a 5-player dungeon adventure!","28","15","100"
"407","|cffffd100Tip:|r Bring your friends to Azeroth, but don't forget to go outside Azeroth with them as well.","66","0","0"
"409","|cffffd100Tip:|r If you keep an empty mailbox, the mail icon will let you know when you have new mail waiting!","67","0","0"
"410","|cffffd100Tip:|r Never give another player your account information.","68","0","0"
"411","|cffffd100Tip:|r Sharing an account with someone else can compromise its security.","35","0","0"
"419","|cffffd100Tip:|r A monster with a gray health bar has been claimed by other players and will yield no loot or experience.","70","40","110"
"422","|cffffd100Tip:|r You can access the map either by clicking the map button in the upper right of the mini-map or by hitting the 'M' key. The map can help you locate where you need to go to complete a quest.","72","1","20"
"423","|cffffd100Tip:|r High level dungeons often have a Mythic difficulty mode, not available through the Dungeon Finder but offering great rewards to brave adventurers!","73","110","120"
"426","|cffffd100Tip:|r When using Dungeon Finder, you can teleport into your dungeon. If not, you can use Dungeon meeting stones to summon absent party members.","77","40","250"
"427","|cffffd100Tip:|r The Parental Controls section of the Account Management site offers tools to help you manage play time.","78","10","250"
"428","|cffffd100Tip:|r <Shift>-click World Quests to track more than one.","79","110","120"
"429","|cffffd100Tip:|r A quest marked as (Failed) in the quest log can be reacquired from the quest giver.","80","20","90"
"430","|cffffd100Tip:|r The number next to the quest name in your quest log is how many other party members are on that quest.","81","40","250"
"431","|cffffd100Tip:|r You cannot advance quests other than (Raid) quests while you are in a raid group.","82","80","250"
"432","|cffffd100Tip:|r You cannot cancel your bids in the auction house, so bid carefully.","83","40","250"
"434","|cffffd100Tip:|r Mail will be kept for a maximum of 30 days before it disappears.","85","40","250"
"435","|cffffd100Tip:|r It is possible to change the look of your armor or weapons by visiting a Transmogrifier in major cities.","86","40","250"
"438","|cffffd100Tip:|r You can repurchase items you have recently sold to a vendor from the Buyback tab.","88","10","250"
"439","|cffffd100Tip:|r A group leader can reset their instances or change dungeon difficulty by right-clicking on their character portrait.","89","60","250"
"440","|cffffd100Tip:|r You can always get a new Hearthstone from any innkeeper.","90","10","250"
"441","|cffffd100Tip:|r Smile early and often!","91","10","250"
"442","|cffffd100Tip:|r Players cannot dodge, parry, or block attacks that come from behind them.","92","60","250"
"444","|cffffd100Tip:|r You can replace a gem that is already socketed into your item by dropping a new gem on top of it in the socketing interface.","93","60","250"
"445","|cffffd100Tip:|r If you right-click on a name in the combat log a list of options will appear.","94","40","250"
"446","|cffffd100Tip:|r You can only benefit from one Battle Elixir and one Guardian Elixir at a time.","95","60","250"
"447","|cffffd100Tip:|r When you are mousing over an item, you can hold down the <Shift> key and it will also show you the item of that type you have equipped.","96","40","250"
"448","|cffffd100Tip:|r You can have up to 18 characters per realm, with a maximum of 50 characters total across all realms.","97","250","250"
"449","|cffffd100Tip:|r You can reuse text that you have recently typed. Press Enter, then use <Alt> + Up Arrow to scroll through your previous messages.","98","40","250"
"450","|cffffd100Tip:|r Most mounts and pets are shared across all your characters.","101","20","250"
"451","|cffffd100Tip:|r Thank you for playing World of Warcraft! You rock!","102","10","250"
"452","|cffffd100Tip:|r Defeat enemy players to earn Honor Levels and unlock prestigious cosmetic rewards!","103","20","250"
"453","|cffffd100Tip:|r You can learn to use flying mounts at level 60!","108","20","59"
"454","|cffffd100Tip:|r Completing some Achievements may grant unique non-combat items as rewards.","109","40","250"
"456","|cffffd100Tip:|r Dealing damage or healing generates Threat against creatures, which will generally attack the player with the highest Threat. Characters with the Tank role generate extra Threat and should command enemies' attention.","111","15","99"
"457","|cffffd100Tip:|r Mythic dungeons are a great way to have epic (or even Legendary) adventures with your friends!","112","120","120"
"458","|cffffd100Tip:|r Thinking about trying out a new class? Try making a level 110 Class Trial character to see if you like it!","113","111","120"
"459","|cffffd100Tip:|r The Barber Shops located in many cities allow you to change your hair style, along with a number of other cosmetic options.","114","40","250"
"460","|cffffd100Tip:|r Recruiting a friend to World of Warcraft can provide rewards for both of you.","115","20","120"
"461","|cffffd100Tip:|r Heroic Dungeons require a minimum Item Level before you can enter them through the Dungeon Finder, but you can bypass that requirement with a full group of friends.","117","110","120"
"462","|cffffd100Tip:|r Almost all loot has a chance to upgrade in quality when earned, potentially increasing its power greatly.","116","100","120"
"464","|cffffd100Tip:|r You can use the Calendar to see upcoming holidays or plan activities with your guild, Communities, or friends.","99","40","250"
"465","|cffffd100Tip:|r You can click on the Clock beneath the minimap to set an alarm or display a stopwatch.","100","20","250"
"466","|cffffd100Tip:|r If you find yourself alone, riding in green fields with the sun on your face, do not be troubled - for you are in Azeroth!","104","20","250"
"467","|cffffd100Tip:|r If you're looking for something different to do, try to complete some of the more unusual Achievements.","105","60","250"
"468","|cffffd100Tip:|r You can link quests, items, and achievements to chat messages by starting a chat line then <Shift>-clicking the item.","106","60","250"
"469","|cffffd100Tip:|r You can track progress on achievements or active quests by Shift-clicking them.","107","40","250"
"470","|cffffd100Tip:|r You can track many things, such as low-level quests or vendors, by clicking on the magnifying glass near your mini map.","16","20","250"
"471","|cffffd100Tip:|r A Sanctuary is an area in which Player vs. Player combat is prohibited, such as Shattrath or Dalaran.","119","60","250"
"472","|cffffd100Tip:|r Improving your reputation with a faction can grant access to new items.","120","60","250"
"473","|cffffd100Tip:|r The Calendar can tell you when raids reset. Your raid leader can choose to extend a raid.","121","80","250"
"475","|cffffd100Tip:|r If you are having difficulty with a group of creatures in a dungeon, try using a ""crowd control"" ability, such as Polymorph or Sap, to take an enemy out of the fight. Divide and conquer!","154","40","109"
"476","|cffffd100Tip:|r Targets in your minimap have an up or down caret to indicate that they're above or below you.","15","0","0"
"479","|cffffd100Tip:|r You can use the Equipment Manager feature to quickly swap sets of gear that you find yourself using often.","124","40","250"
"483","|cffffd100Tip:|r If you press <Alt> while your cursor is over an item slot on your character, you can produce a list of items that can be equipped in that slot.","128","0","0"
"489","|cffffd100Tip:|r If an enemy cast bar is gray or has a shield icon around it, that means you cannot interrupt the spell with your abilities.","129","40","250"
"490","|cffffd100Tip:|r Your guild can schedule Guild Events using the in-game calendar. You choose to sign up for these events rather than waiting for an invitation.","157","0","0"
"491","|cffffd100Tip:|r When the autocomplete feature suggests character names, you can use Tab or <Shift> Tab to select a name from the list.","131","40","250"
"500","|cffffd100Tip:|r Always verify that you are accessing an official Blizzard website whenever submitting account information.","132","0","0"
"501","|cffffd100Tip:|r Emails from Blizzard will always end in blizzard.com.","133","5","250"
"503","|cffffd100Tip:|r There are six branches of Pandaren Cooking.  You can choose to pursue one, or to master them all.","135","81","90"
"504","|cffffd100Tip:|r Using the Blizzard Mobile Authenticator will help protect your World of Warcraft account from theft.","136","10","250"
"505","|cffffd100Tip:|r To avoid account theft, do not login to World of Warcraft on a computer that is shared with the general public. These machines can be infected with malicious software.","137","10","250"
"506","|cffffd100Tip:|r Be wary of unofficial sites advertising paid World of Warcraft services. These may contain malicious software that can lead to account theft.","138","10","250"
"507","|cffffd100Tip:|r To avoid account theft, do not use browser add-ons or features that allow scripts to be run in the background.","139","10","250"
"508","|cffffd100Tip:|r Quest locations and questgivers can be seen on your map.","140","1","20"
"509","|cffffd100Tip:|r You can earn rewards for running random dungeons using the Dungeon Finder tool. You can go with a group of friends or use Dungeon Finder to find a dungeon group.","141","20","90"
"538","|cffffd100Tip:|r You can turn your character by holding the Right Mouse Button and moving the mouse. You can look around by holding the Left Mouse Button and moving the mouse.","142","1","10"
"543","|cffffd100Tip:|r Don't stand in the fire!","145","70","250"
"578","|cffffd100Tip:|r The War Games feature allows your group leader to challenge another group to an Arena or Battleground skirmish of their choice. War Games can be started from the Player vs. Player screen.","162","249","250"
"588","|cffffd100Tip:|r It is possible to change the look of your armor or weapons by visiting a Transmogrifier in major cities.","163","40","110"
"589","|cffffd100Tip:|r You can use Raid Finder to join a 25-player raid for some of the most epic experiences World of Warcraft has to offer.","164","120","120"
"594","|cffffd100Tip:|r You can queue for Scenarios to run short group content.","165","86","89"
"596","|cffffd100Tip:|r Most achievements are account-wide. If you have earned the points on one of your characters, they will all share the points.","167","10","250"
"597","|cffffd100Tip:|r Visit a Pet Battle Trainer if you want to collect and battle companion pets.","168","10","250"
"599","|cffffd100Tip:|r Everyone knows Alleria and Turalyon were on Argus this whole time.","170","110","110"
"601","|cffffd100Tip:|r Companion pets are account-wide. If one of your characters has a pet, all your characters can use that pet.","172","10","250"
"602","|cffffd100Tip:|r You can drag ability icons from the spellbook, Specialization page, or Talent page down onto your action bars.","173","10","100"
"603","|cffffd100Tip:|r You make a new character to try out a different race, class or faction. Many players call these characters ""alts.""","174","10","40"
"604","|cffffd100Tip:|r The Tank role focuses on controlling enemy creatures during group play. Tanks sacrifice high damage for high survivability.","175","10","60"
"605","|cffffd100Tip:|r The Healer role focuses on keeping themselves and other members of the group alive.","176","10","60"
"606","|cffffd100Tip:|r The Damage role (sometimes called ""DPS"") focuses on defeating the enemy. Damage dealers are supported by Tanks and Healers.","177","10","60"
"607","|cffffd100Tip:|r The Cooking trainers in Pandaria, located in the Halfhill Market in Valley of the Four Winds, can teach you to cook no matter how inexperienced you are.","178","87","90"
"608","|cffffd100Tip:|r The Archaeology trainers in Pandaria are located in the Seat of Knowledge in the Vale of Eternal Blossoms.","179","87","90"
"609","|cffffd100Tip:|r The Inscription trainers in Pandaria are located in the library in the Temple of the Jade Serpent.","180","86","90"
"612","|cffffd100Tip:|r Stuck on a quest? Can't find that one NPC? Looking for stats on an item? The WoW forums and other fansites are great resources for all things WoW!","181","0","0"
"613","|cffffd100Tip:|r There are six branches of Pandaren Cooking.  You can choose to pursue one, or to master them all.","182","86","90"
"614","|cffffd100Tip:|r Brann Bronzebeard at the Seat of Knowledge will trade you fragments from other branches of Archaeology for your finds in Pandaria.","183","86","90"
"620","|cffffd100Tip:|r You can choose to receive loot for a different class specialization by right-clicking on the character frame and choosing Loot Specialization.","185","90","250"
"624","|cffffd100Tip:|r Normal and Heroic Raids scale in difficulty and rewards to suit groups containing anywhere from 10 to 30 players, so no one has to be left out!","186","90","250"
"626","|cffffd100Tip:|r Look for the Toy Box inside your Collections menu. All your cosmetic items and toys are automatically stored there once collected.","187","10","250"
"628","|cffffd100Tip:|r Profession buildings in your Garrison allow you to craft items from all tradeskills, not just those your character has learned.","189","95","99"
"629","|cffffd100Tip:|r Your Garrison serves as your base of operations in Draenor. Upgrade it and recruit an army of followers to crush your enemies and earn rewards!","190","91","99"
"630","|cffffd100Tip:|r Using Dungeon Finder with a group of friends grants you additional bonus gold.","191","91","250"
"631","|cffffd100Tip:|r Item attributes that are grayed out do not contribute to your character's power.","192","15","250"
"632","|cffffd100Tip:|r The Premade Groups tool allows you to create and find groups for dungeons, raids, quests, organized PvP, or any other group activity!","193","60","250"
"634","|cffffd100Tip:|r Your Garrison serves as your base of operations in Draenor.  Upgrade it and recruit an army of followers to crush your enemies and earn rewards!","195","91","99"
"635","|cffffd100Tip:|r Right-click on your portrait while in a group to view your party leader's Garrison.","196","91","99"
"643","|cffffd100Tip:|r Struggling with a tough foe? Remember, just keep your Health above 0 while lowering your enemy's Health to 0. Works every time!","197","110","250"
"744","|cffffd100Tip:|r Your Heart of Azeroth grows more attuned to the world's energies with each passing week, reducing the amount of Artifact Power needed to level it up.","198","120","120"
"745","|cffffd100Tip:|r Your War Campaign quests unlock new content and powerful rewards. Don't neglect them!","199","111","120"
"746","|cffffd100Tip:|r Looking to put the War in Warcraft? Activate War Mode in your faction's capital city and venture out into the world with Player vs. Player combat enabled to earn bonus experience and quest rewards!","200","60","250"
"747","|cffffd100Tip:|r Regretting the Azerite power you chose on your armor? Visit the Azerite Reforger in Boralus or Zuldazar to reset your selection.","201","111","120"
"748","|cffffd100Tip:|r Island Expeditions are an excellent source of Azerite to empower your Heart of Azeroth.","202","118","120"
"749","|cffffd100Tip:|r Communities offer chat channels, voice support, and event calendars to help you find new groupmates or keep in touch with friends on any server.","203","60","120"
