Id,Name,Description,DescriptionShort,Icon,Order
"110","Waste Not, Want Not","Chance to gather additional meat and fish.","Chance to gather more meat and fish","1724005","3"
"111","Mountaineer","Increases Versatility.","Increased Versatility","1723999","2"
"112","Rugged Tenacity","Reduces damage from incoming attacks.","Reduced damage from incoming attacks","1724003","1"
"113","Light's Judgment","Deal mighty holy damage to an area.","Deal mighty holy damage to an area","1724000","0"
"114","Holy Resistance","Reduces Holy damage taken.","Resistant to Holy damage","1723996","2"
"115","Light's Reckoning","Erupt upon death, dealing Holy damage to nearby enemies and healing nearby allies.","Erupt upon death, damaging nearby enemies and healing nearby allies","1723994","1"
"116","Forge of Light","Increases Blacksmithing skill and allows you to summon an anvil.","Blacksmithing skill increased and can summon a forge","1723995","3"
"117","Demonbane","Increased experience gained from killing demons.","Increased experience gained from killing demons","1723990","4"
"118","Fireblood","Removes harmful effects and empowers you.","Remove harmful effects to empower you","1786406","0"
"119","Dungeon Delver","Move faster while indoors.","Move faster indoors","1786405","1"
"120","Mass Production","Blacksmithing skill increased, and blacksmithing crafts faster.","Blacksmithing skill increased and crafts faster","1786408","2"
"121","Mole Machine","When outdoors, summon a mole machine that tunnels through the earth.","Summon a mole machine to transport through the earth","1786409","3"
"122","Forged in Flames","Reduces physical damage taken.","Reduce physical damage taken","1786407","4"
"123","Ancestral Call","Invokes the power of your ancestors, granting you their power.","Invokes your ancestors, granting you their power","2021574","0"
"124","Open Skies","Faster mount speed while outdoors.","Faster mount speed outdoors","2021575","1"
"125","Sympathetic Vigor","Pet health increased.","Pet health increased","2021577","2"
"126","Savage Blood","Reduces the duration on all Poisons, Diseases, and Curse effects on you.","Reduced duration on all Poisons, Diseases, and Curses","2021576","3"
"127","Regeneratin'","Concentrate to heal yourself rapidly over a short time.","Heal yourself rapidly over a short time","1850550","0"
"128","Embrace of the Loa","Beseech a Loa, obtaining one of six powerful boons.","Beseech a Loa to obtain one of six powerful boons","1850548","1"
"129","City of Gold","Discover more gold from creatures.","Discover more gold from creatures","1850547","2"
"130","Pterrordax Swoop","Summons a Pterrordax to reduce your falling speed.","Summon a Pterrordax to reduce your falling speed","1850549","3"
"131","Haymaker","Smash your opponent, stunning and knocking them back.","Smash your opponent, stunning and knocking them back","2447782","0"
"132","Jack of All Trades","All tradeskill skills increased.","Skill in all professions increased","2447783","1"
"133","Rime of the Ancient Mariner","Resistant to Frost and Nature damage.","Resistant to Frost and Nature damage","2447784","2"
"134","Child of the Sea","Swim faster and hold your breath longer underwater.","Swim faster and hold your breath longer underwater","2447781","3"
"135","Brush It Off","Increases Versatility and heals a portion of the damage you take.","Increase Versatility and heal a portion of the damage you take","2447780","4"
"136","Unburden","Dissolve into pure anima, dramatically increasing your movement speed, slowing your falling speed, and propelling you forward.

Reduces the radius at which enemies will detect you for the duration.","","298642","0"
"137","Divine Toll","Instantly cast an empowered Holy Shock, Avenger's Shield, or Judgment, that strikes all nearby targets.","","133706","1"
"138","Amalgamate","Fuse yourself into an enemy or ally. You become untargetable by enemies, but are unable to attack or cast spells.

If the enemy is your level or lower, take control of them for the duration.","","237147","0"
"139","Blood Oath","Swear an oath in blood, immediately removing most harmful effects from yourself and causing your abilities to deal additional damage or healing equal to the health spent on this ability.","","133523","0"
"140","Patronus Form","Turn into a Spirit Fox, increasing your movement speed and causing enemies to ignore you.","","797544","0"
"141","Invoke Lightgrove","Create a Lightgrove at the targeted area, restoring health to you and an injured ally every 3 sec.

Judgment has a chance to not incur its cooldown when cast against an enemy within the Lightgrove.","","135931","0"
"142","Door of Shadows","Bend through the shadows, appearing at the targeted location.","","134430","0"
"143","Ashen Sunset","Draw the Light into you, draining health from nearby enemies to restore yourself.

Draining at least one enemy causes your next ability to be a guaranteed critical strike.","","461857","0"
"144","Hyper Organic Light Originator","Summon duplicates to distract your enemies.","Summon duplicates to confuse your foes","3192686","0"
"145","Mastercraft","You act as a personal crafting station.","Act as a personal crafting station","3192687","2"
"146","Combat Analysis","Gradually gain power as you analyze an enemy in combat.","Increase in strength as you fight an enemy","3192685","1"
"147","Skeleton Pinkie","Able to pick locks.","Able to pick locks","3192689","3"
"148","Emergency Failsafe","Automatically heal when you are badly injured.","Heal automatically when you're badly injured","3192688","4"
"149","Bag of Tricks / Rummage Your Bag","Use a trick to harm an enemy or heal an ally. Collect different kinds of tricks in the world.","Hurl a trick to harm an enemy or help a friend","3193416","0"
"150","Make Camp / Return to Camp","Place a friendly campsite in the world, with the option to return to it later.","Choose a place in the world and make it your camp","3193418","1"
"151","Nose For Trouble","Take less damage the first time an enemy hits you.","Take less damage the first time you're hit","3193419","2"
"152","Alpaca Saddlebags","Your backpack has 8 additional slots.","Your backpack has 8 additional slots","3193421","3"
"153","Fire Resistance","Reduces Fire damage taken.","Resistant to Fire damage","3193417","4"
"490","Shadowmeld","May fade into the shadows.","Can fade into the shadows","132089","0"
"491","Quickness","More difficult to hit.","More difficult to hit","132279","1"
"492","Wisp Spirit","Wisp form while dead for faster movement.","Move faster when dead","136116","2"
"493","Nature Resistance","Resistant to Nature damage.","Resistant to Nature damage","136094","3"
"494","Elusiveness","Faster movement while stealthed.","Faster movement while stealthed","132280","4"
"495","Touch of Elune","Faster attacks at night and increased critical chance during the day.","Faster attacks at night and increased critical chance during the day","135900","5"
"496","Escape Artist","May escape from speed altering effects.","Escape from speed altering effects","132309","0"
"497","Expansive Mind","Increased resource pool.","Increased resource pool","132864","1"
"498","Arcane Resistance","Resistant to Arcane damage.","Resistant to Arcane damage","136116","2"
"499","Engineering Specialization","Engineering skill increased.","Engineering skill increased","134063","3"
"500","Nimble Fingers","Attacks faster.","Attack faster","135641","4"
"501","Gemcutting","Jewelcrafting skill increased.","Jewelcrafting skill increased","135998","0"
"502","Gift of the Naaru","May heal self or others over time.","Heal yourself or others over time","135923","1"
"503","Heroic Presence","Increased Agility, Intellect, and Strength.","Increased Agility, Intellect, and Strength","133123","2"
"504","Shadow Resistance","Resistant to Shadow damage.","Resistant to Shadow damage","136152","3"
"505","Darkflight","Can periodically move quickly.","Can periodically move quicker","366937","0"
"506","Viciousness","Critical chance increased.","Critical chance increased","132203","1"
"507","Aberration","Resistant to Nature and Shadow damage.","Resistant to Nature and Shadow damage","136121","2"
"508","Flayer","Skinning skill and speed increased.","Skinning skill and speed increased","132140","3"
"509","Quaking Palm","May put enemies to sleep with a touch of their hand.","Put enemies to sleep with a touch of your hand","572035","0"
"510","Inner Peace","Inner peace means twice as much rested experience.","Receive twice as much rested experience","572034","1"
"511","Epicurean","Increased benefits from eating food.","Increased benefits from eating food","571692","2"
"512","Gourmand","Cooking skill increased.","Cooking skill increased","571693","3"
"513","Bouncy","Bouncy and take less falling damage.","Take less falling damage","572033","4"
"514","Blood Fury","May enrage to increase damage.","Enrage to increase damage","135726","0"
"515","Hardiness","Resistant to stun effects.","Resistant to stun effects","133125","1"
"516","Command","Damage done by pets increased.","Damage done by pets increased","132366","2"
"517","War Stomp","May stomp, stunning nearby opponents.","Stomp, stunning nearby opponents","132368","0"
"518","Endurance","Increased Stamina.","Increased Stamina","136112","1"
"519","Cultivation","Herbalism skill and speed increased.","Herbalism skill and speed increased","133938","2"
"520","Nature Resistance","Resistant to Nature damage.","Resistant to Nature damage","136094","3"
"521","Brawn","Increased effect from critical strikes.","Increased effect from critical strikes","134174","4"
"522","Berserking","Berserk, increasing attack and casting speed.","Berserk, increasing attack and casting speed","135727","0"
"523","Regeneration","Regeneration increased.","Regeneration increased","136077","1"
"524","Beast Slaying","Increased experience gained from killing beasts.","Increased experience gained from killing beasts","134357","2"
"525","Da Voodoo Shuffle","Reduced duration of movement impairing effects.","Reduced duration of movement impairing effects","134231","3"
"526","Arcane Affinity","Enchanting skill increased.","Enchanting skill increased","132876","0"
"527","Arcane Torrent","Can restore resources, such as mana or energy.","Restore resources like mana or energy","136222","1"
"528","Arcane Torrent","Can dispel nearby enemies.","Dispel nearby enemies","136222","2"
"529","Arcane Resistance","Resistant to Arcane damage.","Resistant to Arcane damage","136120","3"
"530","Rocket Jump","Can rocket jump forward.","Rocket jump forward","370769","0"
"531","Rocket Barrage","Can launch rockets at enemies.","Launch rockets at enemies","133032","1"
"532","Best Deals Anywhere","Receives vendor discounts.","Receive vendor discounts","369760","2"
"533","Pack Hobgoblin","Can periodically summon a personal bank.","Summon a personal bank","370211","3"
"534","Time is Money","Haste increased.","Haste increased","369214","4"
"535","Better Living Through Chemistry","Alchemy skill and potion healing increased.","Alchemy skill and potion healing increased","370670","5"
