Id,ClientPrefix,ClientFileString,Name,NameFemale,NameLowercase,NameFemaleLowercase,Flags,MaleDisplayId,FemaleDisplayId,HighResMaleDisplayId,HighResFemaleDisplayId,CreateScreenFileDataId,SelectScreenFileDataId,MaleCustomizeOffset0,MaleCustomizeOffset1,MaleCustomizeOffset2,FemaleCustomizeOffset0,FemaleCustomizeOffset1,FemaleCustomizeOffset2,LowResScreenFileDataId,AlteredFormStartVisualKitId0,AlteredFormStartVisualKitId1,AlteredFormStartVisualKitId2,AlteredFormFinishVisualKitId0,AlteredFormFinishVisualKitId1,AlteredFormFinishVisualKitId2,HeritageArmorAchievementId,StartingLevel,UiDisplayOrder,FemaleSkeletonFileDataId,MaleSkeletonFileDataId,HelmVisFallbackRaceId,FactionId,CinematicSequenceId,ResSicknessSpellId,SplashSoundId,BaseLanguage,CreatureType,Alliance,RaceRelated,UnalteredVisualRaceId,CharComponentTextureLayoutId,CharComponentTexLayoutHiResId,DefaultClassId,NeutralRaceId,MaleModelFallbackRaceId,MaleModelFallbackSex,FemaleModelFallbackRaceId,FemaleModelFallbackSex,MaleTextureFallbackRaceId,MaleTextureFallbackSex,FemaleTextureFallbackRaceId,FemaleTextureFallbackSex
"17","Tu","Tuskarr","Tuskarr","","tuskarr","","262145","21780","21781","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","159","58","72","4","7","7","2","0","0","1","0","0","0","0","-1","0","-1"
"18","Ft","ForestTroll","Forest Troll","","forest troll","","15","21963","21964","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","159","58","72","4","7","7","2","0","0","1","0","0","0","0","-1","0","-1"
"19","Wt","Taunka","Taunka","","taunka","","5","26316","26317","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","159","58","72","4","7","7","2","0","0","1","0","0","0","0","-1","0","-1"
"20","NS","NorthrendSkeleton","Northrend Skeleton","","Northrend skeleton","","5","26871","26872","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","159","58","72","4","7","7","2","0","0","1","0","0","0","0","-1","0","-1"
"21","It","IceTroll","Ice Troll","","ice troll","","5","26873","26874","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","159","58","72","4","7","7","2","0","0","1","0","0","0","0","-1","0","-1"
"22","Wo","Worgen","Worgen","","worgen","","6291526","29422","29423","0","0","623712","313254","5","0","0.5","5","0","0.2","651555","0","47273","0","47268","47239","47268","0","1","0","323307","323308","0","0","0","2203","170","159","58","72","4","7","7","0","9","23","2","0","6","0","0","-1","0","-1"
"23","Hu","Human","Gilnean","","Gilnean","","237","49","50","57899","56658","623712","313254","5","0","0.1","5","0","0.1","651555","0","0","0","47268","47268","47268","0","1","0","199670","199671","0","0","0","1","0","159","58","72","4","7","7","0","0","0","1","2","0","0","1","0","1","1"
"24","Pa","Pandaren","Pandaren","","pandaren","","6543380","38551","38552","0","0","623716","574549","5.02","0","0.22","5.01","0","0","651561","0","0","0","0","0","0","0","1","0","629748","575516","0","0","0","2395","259","159","58","72","4","42","7","2","0","0","2","0","10","0","0","-1","0","-1"
"25","Pa","Pandaren","Pandaren","","pandaren","","211460","38551","38552","0","0","623712","574549","5.02","0","0.22","5.01","0","0","651555","0","0","0","0","0","0","0","1","0","629748","575516","0","0","0","2401","259","159","58","72","4","7","7","0","26","0","2","0","0","24","24","0","24","1"
"26","Pa","Pandaren","Pandaren","","pandaren","","211460","38551","38552","0","0","623714","574549","5.02","0","0.22","5.01","0","0","651558","0","0","0","0","0","0","0","1","0","629748","575516","0","0","0","2402","259","159","58","72","4","1","7","1","25","0","2","0","0","24","24","0","24","1"
"27","Nb","Nightborne","Nightborne","","nightborne","","11010052","75078","75079","0","0","623714","1662240","5","0","0.5","5","0","0.5","651558","0","0","0","0","0","0","12413","20","1","199672","199673","0","0","0","1610","0","159","58","72","4","1","7","1","29","0","2","0","8","0","4","0","4","1"
"28","Ht","HighmountainTauren","Highmountain Tauren","","tauren","","8912902","75080","75081","0","0","623714","1662239","5","0","0.26","5","0","0.26","651558","0","0","0","0","0","0","12415","20","2","199678","199679","0","0","0","6","0","159","58","72","4","1","7","1","30","0","2","0","3","0","6","0","6","1"
"29","Ve","VoidElf","Void Elf","","void elf","","9961484","75082","75083","0","0","623712","1662242","5.6","0","0.4","5.6","0","0.4","651555","0","0","0","0","0","0","12291","20","1","199660","199661","0","0","0","4","0","159","58","72","4","7","7","0","27","0","2","0","8","0","10","0","10","1"
"30","Ld","LightforgedDraenei","Lightforged Draenei","","draenei","","8912910","75084","75085","0","0","623712","1662241","5","0","0.5","5","0","0.5","651555","0","0","0","0","0","0","12414","20","2","199664","199665","0","0","0","1629","0","159","58","72","4","7","7","0","28","0","2","0","2","0","11","0","11","1"
"31","Za","ZandalariTroll","Zandalari Troll","","Zandalari","","15204358","79100","79101","0","0","623714","2743642","5.51","0","0.4","5.5","0","0.46","651558","0","0","0","0","0","0","13503","20","4","199680","199681","8","0","0","116","0","159","58","72","4","1","7","1","32","0","2","0","0","0","0","-1","8","1"
"32","Kt","KulTiran","Kul Tiran","","Kul Tiran","","15204364","80387","80388","0","0","623712","2575493","5","0","0.4","5","0","0.4","651555","0","0","0","0","0","0","13504","20","4","199670","199671","1","0","0","1","0","159","58","72","4","7","7","0","31","0","2","0","0","0","0","-1","0","-1"
"33","Th","ThinHuman","Human","","human","","525","82317","82318","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","159","58","72","4","7","7","2","0","0","2","0","0","0","5","1","0","-1"
"34","Di","DarkIronDwarf","Dark Iron Dwarf","","dwarf","","8912908","83910","83911","0","0","623712","2005930","5","0","0.17","5","0","0.12","651555","0","0","0","0","0","0","13076","20","3","199666","199667","3","0","0","3","0","159","58","66","4","7","7","0","36","0","2","0","1","0","3","0","3","1"
"35","Vu","Vulpera","Vulpera","","vulpera","","15204358","83913","83914","0","0","623714","3188841","5","0","0.06","5","0","0.06","651558","0","0","0","0","0","0","0","20","10","3307338","3307336","9","0","0","2204","0","159","58","72","4","1","7","1","37","0","2","0","4","0","0","-1","0","-1"
"36","Mo","MagharOrc","Mag'har Orc","","orc","","8912908","84558","84560","0","0","623714","2005932","6","0","0.3","5","0","0.3","651558","0","0","0","0","0","0","13077","20","3","199674","199675","2","0","0","2","0","159","58","72","4","1","7","1","34","0","2","0","1","0","2","0","2","1"
"37","Mg","Mechagnome","Mechagnome","","mechagnome","","8912908","90786","90787","0","0","623712","3188839","4","0","-0.1","4","0","-0.1","651555","0","0","0","0","0","0","14014","20","0","199668","199669","0","896","0","115","0","159","58","72","4","7","7","0","35","0","2","0","1","0","7","0","7","1"
