Id,Name,CreatureType,Flags,AttackIconFileId,BonusActionBar,CombatRoundTime,DamageVariance,MountTypeId,CreatureDisplayId0,CreatureDisplayId1,CreatureDisplayId2,CreatureDisplayId3,PresetSpellId0,PresetSpellId1,PresetSpellId2,PresetSpellId3,PresetSpellId4,PresetSpellId5,PresetSpellId6,PresetSpellId7
"29","Flight Form","1","32776","0","0","0","0","245","20857","0","0","0","0","0","0","0","0","0","0","0"
"30","Stealth","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"31","Moonkin Form","255","2241","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"32","Spirit of Redemption","255","82704","0","0","0","0","0","16031","0","0","0","0","0","0","0","0","0","0","0"
"33","Gladiator Stance","0","7","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"34","Metamorphosis","3","472","1035040","0","0","0.4","0","64560","0","0","0","0","0","0","0","0","0","0","0"
"36","Treant Form","7","2257","0","0","0","0","0","864","0","0","0","0","0","0","0","0","0","0","0"
"37","Spirit Owl Form","1","32776","0","0","0","0","295","38633","0","0","0","0","0","0","0","0","0","0","0"
"38","Spirit Owl Form","0","32776","0","0","0","0","204","38633","0","0","0","0","0","0","0","0","0","0","0"
"39","Wisp Form","6","32776","0","0","0","0","295","10045","0","0","0","0","0","0","0","0","0","0","0"
"40","Wisp Form","6","32776","0","0","0","0","204","10045","0","0","0","0","0","0","0","0","0","0","0"
"41","zzReuseMe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35","Moonkin Form","255","2241","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"42","zzReuseMe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"43","zzReuseMe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"44","zzReuseMe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"45","zzReuseMe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"46","zzReuseMe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"47","zzReuseMe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"48","zzReuseMe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"49","zzReuseMe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50","zzReuseMe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"51","zzReuseMe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"52","zzReuseMe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"53","zzReuseMe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"54","zzReuseMe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"55","zzReuseMe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"56","zzReuseMe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"57","zzReuseMe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"58","zzReuseMe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"59","zzReuseMe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60","zzReuseMe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"61","zzReuseMe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"62","zzReuseMe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"63","zzReuseMe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"64","zzReuseMe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
