Id,Name,Unknown1
"185","Fioni Hopebringer","932"
"186","Skylord Thienna","920"
"187","Skylord Vastuk","908"
"188","Mysterion of Fate","896"
"189","Aoifena the Benevolent","884"
"190","Largena Willbreaker","872"
"191","Lessa of the Heart","860"
"192","Gop of the Favi","848"
"193","Larian Darksoul","836"
"194","Kasha Soulseer","824"
"195","Gilean of Lore","812"
"196","Forrida of Devotion","800"
"197","Cloaked Stranger","788"
"198","Rogi","776"
"199","Grubber","764"
"200","Jeebs","752"
"201","Smither","740"
"202","Higgs","728"
"203","Muckworth Muddington III","716"
"204","Belvy","704"
"205","Wustur","692"
"206","Riff","680"
"207","Egor","668"
"208","Dredgeworth","656"
"209","Furgus","644"
"210","Colem","632"
"211","Panns","620"
"212","Mucky","608"
"213","Dobb","596"
"214","Sweepy","584"
"215","Copperworth","572"
"216","Fred","560"
"217","Raff","548"
"218","Temporal Leaves Catalyst","536"
"219","Wild Nightbloom Catalyst","524"
"220","Wildseed Root Grain Catalyst","512"
"224","Margrave Draka","500"
"225","Worthy Soul","488"
"226","Ly'eng","476"
"227","Fa'lse","464"
"228","Ly'bel","452"
"229","Ev'ade","440"
"230","Ta'le","428"
"231","Fo'gery","416"
"232","Submissive Mawrat","404"
"233","Empowered Mawsworn Shackler","392"
"234","Mawsworn Chew Toy","380"
"235","Worthy Val'kyr Challenger","368"
"236","Polemarch Kalisthene","356"
"237","Brash Buyer","344"
"238","Jittery Jokester","332"
"239","Wealthy Watcher","320"
"240","Bullish Bidder","308"
"241","Arrogant Appraiser","296"
"242","Haughty Haggler","284"
"243","Cantankerous Consumer","272"
"244","Pocketless Patron","260"
"245","Discerning Documentarian","248"
"246","Frugal Filcher","236"
"247","Shady Shopper","224"
"248","Problematic Purchaser","212"
"249","Penniless Poser","200"
"250","Hesitant Haggler","188"
"251","Boastful Barter","176"
"252","Portalmancer Zo'honn","164"
"253","Portalmancer Zo'dahh","152"
"254","Portalmancer Zo'nyy","140"
"255","Parched Patron","128"
"256","Chatty Customer","116"
"257","Revered Regular","104"
"258","Frustrated Frequenter","92"
"259","Stuffy Socialite","80"
"260","Tipsy Traveler","68"
"261","Swagsnout Gromit","3858"
"262","Swagsnout Gromit","3855"
"263","Swagsnout Gromit","3855"
"264","Vazzeran the Enlightened","20"
"265","Kleia","3871"
