Id,Name,SpecSetId,InventoryTypeMask,SpellId,ItemBonusListId,PlayerConditionId,Field_9_0_1_34972_007,UnlockItemId
"79","Rylakstalker's Confounding Strikes","20","65664","336901","7016","85766","157","183264"
"80","Latent Poison Injectors","20","1026","336902","7017","85765","158","183263"
"81","Butcher's Bone Fragments","20","65568","336907","7018","85764","156","183262"
"82","Escape from Reality","164","36","343250","7184","85784","67","183284"
"83","Invoker's Delight","164","10","337298","7082","85783","66","183283"
"84","Swiftsure Wraps","164","320","337294","7080","85785","65","183285"
"85","Fatal Touch","164","2560","337296","7081","85133","64","183282"
"86","Charred Passions","24","65792","338138","7076","85787","68","183287"
"87","Stormstout's Last Keg","24","1032","337288","7077","85789","69","183289"
"88","Celestial Infusion","24","384","337290","7078","85788","70","183288"
"89","Shaohao's Might","24","1050656","337570","7079","85786","71","183286"
"90","Ancient Teachings of the Monastery","25","1536","337172","7075","85790","75","183290"
"91","Yu'lon's Whisper","25","2056","337225","7073","85791","74","183291"
"92","Clouded Focus","25","516","337343","7074","85792","73","183292"
"93","Tear of Morning","25","66","337473","7072","85793","72","183293"
"94","Xuen's Treasure","26","1114144","337481","7070","85797","76","183297"
"95","Keefer's Skyreach","26","1026","337334","7068","85795","77","183295"
"96","Jade Ignition","26","65664","337483","7071","85794","78","183294"
"97","Last Emperor's Capacitor","26","192","337292","7069","85796","79","183296"
"98","Uther's Devotion","30","36","337600","7053","85800","81","183301"
"100","Of Dusk and Dawn","30","10","337746","7055","85798","82","183299"
"101","The Magistrate's Judgment","30","2560","337681","7056","85799","83","183300"
"102","Maraad's Dying Breath","27","2080","234848","7128","85802","86","183303"
"103","Shock Barrier","27","384","337825","7059","85804","87","183305"
"104","Shadowbreaker, Dawn of the Sun","27","1032","337812","7057","85803","85","183304"
"105","Inflorescence of the Sunwell","27","65792","337777","7058","85801","84","183302"
"106","Holy Avenger's Engraved Sigil","28","66","337831","7060","85806","89","183307"
"107","The Ardent Protector's Sanctum","28","516","337838","7061","85808","91","183309"
"108","Bulwark of Righteous Fury","28","2056","337847","7062","85805","88","183306"
"109","Reign of Endless Kings","28","1536","337850","7063","85807","90","183308"
"110","Tempest of the Lightbringer","29","192","337257","7067","85812","95","183313"
"111","Relentless Inquisitor","30","65664","337297","7066","85811","94","183312"
"112","Vanguard's Momentum","29","1026","337638","7065","85809","92","183310"
"113","Final Verdict","29","65568","337247","7064","85810","93","183311"
"114","Invigorating Shadowdust","165","36","340080","7114","85828","115","183331"
"115","Essence of Bloodfang","165","10","340079","7113","85136","114","183330"
"116","Tiny Toxic Blade","165","320","340078","7112","85830","113","183333"
"117","Mark of the Master Assassin","165","2560","340076","7111","85829","112","183332"
"118","Dashing Scoundrel","34","65792","340081","7115","85831","116","183334"
"119","Doomblade","34","1032","340082","7116","85832","117","183335"
"120","Zoldyck Insignia","34","384","340083","7117","85834","118","183337"
"121","Duskwalker's Patch","34","2080","340084","7118","85833","119","183336"
"122","Concealed Blunderbuss","35","1536","340088","7122","85836","123","183339"
"123","Celerity","35","2056","340087","7121","85835","122","183338"
"124","Guile Charm","35","516","340086","7120","85838","121","183341"
"125","Greenskin's Wickers","35","66","340085","7119","85837","120","183340"
"126","Finality","36","65568","340089","7123","85841","124","183344"
"127","Akaari's Soul Fragment","36","1026","340090","7124","85839","125","183342"
"128","The Rotten","36","65664","340091","7125","85842","126","183345"
"129","Deathly Shadows","165","192","340092","7126","85840","127","183343"
"130","Ancestral Reminder","13","2560","336741","6985","85137","160","183346"
"131","Deeptremor Stone","13","320","336739","6986","85845","162","183349"
"132","Deeply Rooted Elements","13","10","336738","6987","85844","163","183348"
"133","Chains of Devastation","13","1048612","336735","6988","85843","161","183347"
"134","Skybreaker's Fiery Demise","11","1050656","336734","6989","85848","166","183352"
"135","Elemental Equilibrium","11","384","336730","6990","85847","167","183351"
"136","Echoes of Great Sundering","11","1032","336215","6991","85846","164","183350"
"137","Windspeaker's Lava Resurgence","11","65792","336063","6992","85849","165","183353"
"138","Doom Winds","12","66","335902","6993","85850","168","183354"
"139","Legacy of the Frost Witch","12","516","335899","6994","85851","171","183355"
"140","Witch Doctor's Wolf Bones","12","2056","335897","6995","85853","170","183357"
"141","Primal Lava Actuators","12","1536","335895","6996","85852","169","183356"
"142","Jonat's Natural Focus","4","192","335893","6997","85855","174","183359"
"143","Spiritwalker's Tidal Totem","4","65664","335891","6998","85857","175","183361"
"144","Primal Tide Core","4","1026","335889","6999","85856","173","183360"
"145","Earthen Harmony","4","1114144","335886","7000","85854","172","183358"
"146","Measured Contemplation","166","1048612","341804","7161","85813","99","183315"
"147","Twins of the Sun Priestess","166","10","336897","7002","85814","98","183316"
"148","Cauterizing Shadows","166","320","336370","6975","85135","96","183314"
"149","Vault of Heavens","166","2560","336470","6972","85815","97","183317"
"150","The Penitent One","31","65792","336011","6976","85819","102","183321"
"151","Crystalline Reflection","31","1032","336507","6978","85817","103","183319"
"152","Kiss of Death","31","384","336133","6979","85818","101","183320"
"153","Clarity of Mind","31","1050656","336067","6980","85816","100","183318"
"154","X'anshi, Return of Archbishop Benedictus","32","65664","337477","6984","85823","107","183325"
"155","Harmonious Apparatus","32","2056","336314","6977","85822","106","183324"
"156","Flash Concentration","32","516","336266","6974","85821","104","183323"
"157","Divine Image","32","66","336400","6973","85820","105","183322"
"158","Painbreaker Psalm","33","1114144","336165","6981","85825","110","183327"
"159","Shadowflame Prism","33","1026","336143","6982","85827","109","183329"
"160","Eternal Call to the Void","33","1536","336214","6983","85824","111","183326"
"161","Talbadar's Stratagem","33","192","342415","7162","85826","108","183328"
"162","Wilfred's Sigil of Superior Summoning","167","2560","337020","7025","85864","183","183369"
"163","Claw of Endereth","167","320","337038","7026","85861","181","183366"
"164","Relic of Demonic Synergy","167","10","337057","7027","85862","180","183367"
"165","Pillars of the Dark Portal","167","1048612","337065","7028","85863","182","183368"
"166","Perpetual Agony of Azj'Aqir","37","1050656","337106","7029","85858","176","183363"
"167","Sacrolash's Dark Strike","37","384","337111","7030","85859","177","183364"
"168","Malefic Wrath","37","1032","337122","7031","85138","178","183362"
"169","Wrath of Consumption","37","65792","337128","7032","85860","179","183365"
"170","Implosive Potential","39","66","337135","7033","85868","189","183373"
"171","Grim Inquisitor's Dread Calling","39","516","337141","7034","85867","186","183372"
"172","Forces of the Horned Nightmare","39","2056","337146","7035","85866","187","183371"
"173","Balespider's Burning Core","39","1536","337159","7036","85865","191","183370"
"174","Odr, Shawl of the Ymirjar","38","192","337163","7037","85872","188","183377"
"175","Cinders of the Azj'Aqir","38","65664","337166","7038","85869","185","183374"
"176","Madness of the Azj'Aqir","38","1026","337169","7039","85871","184","183376"
"177","Embers of the Diabolic Raiment","38","1114144","337272","7040","85870","190","183375"
"178","Leaper","168","320","335214","6955","85139","128","183378"
"179","Seismic Reverberation","168","10","335758","6971","85874","131","183380"
"180","Misshapen Mirror","168","36","335253","6958","85873","130","183379"
"181","Signet of Tormented Kings","168","2560","335266","6959","85875","129","183381"
"182","Enduring Blow","40","66","335458","6962","85877","134","183383"
"183","Battlelord","40","516","335274","6960","85876","135","183382"
"184","Exploiter","40","2056","335451","6961","85878","133","183384"
"185","Unhinged","40","1536","335282","6970","85879","132","183385"
"186","Cadence of Fujieda","41","192","335555","6963","85880","136","183386"
"187","Deathmaker","41","65664","335567","6964","85881","138","183387"
"188","Reckless Defense","41","1026","335582","6965","85882","139","183388"
"189","Will of the Berserker","41","65568","335594","6966","85883","137","183389"
"190","Thunderlord","42","1280","335229","6956","85886","143","183392"
"191","The Wall","42","65544","335239","6957","85885","142","183391"
"192","Unbreakable Will","42","2080","335629","6967","85887","141","183393"
"193","Reprisal","42","384","335718","6969","85884","140","183390"
"196","The Mad Paragon","30","320","337594","7054","85134","80","183298"
"199","Echo of Eonar","2","2624","338477","7100","85130","192","183242"
"200","Judgment of the Arbiter","2","3584","339344","7101","85746","193","183243"
"201","Norgannon's Sagacity","2","65920","339340","7102","85748","194","183245"
"202","Sephuz's Proclamation","2","1048620","339348","7103","85749","195","183246"
"203","Stable Phantasma Lure","2","66052","339351","7104","85750","196","183247"
"204","Third Eye of the Jailer","2","74","339058","7105","85751","197","183248"
"205","Vitality Sacrifice","2","1048618","338743","7106","85752","198","183249"
"206","Maw Rattle","2","1408","340197","7159","85747","199","183244"
