Id,Reaction,FriendshipRepId,ReactionThreshold
"124","Good Friend","26","33600"
"127","Rank 1","28","0"
"128","Rank 2","28","1000"
"129","Rank 3","28","2000"
"130","Rank 4","28","3000"
"131","Rank 5","28","4000"
"132","Rank 6","28","5000"
"133","Rank 7","28","6000"
"192","Rank 1","43","0"
"193","Rank 2","43","1000"
"194","Rank 3","43","2000"
"195","Rank 4","43","3000"
"196","Rank 5","43","4000"
"197","Rank 6","43","5000"
"198","Rank 7","43","6000"
"271","Max Rank","43","7000"
"272","Max Rank","28","7000"
"288","Not Supplied","72","0"
"289","Supplied","72","10000"
"416","Bodyguard","160","0"
"417","Trusted Bodyguard","160","10000"
"418","Personal Wingman","160","20000"
"422","Bodyguard","162","0"
"423","Trusted Bodyguard","162","10000"
"424","Personal Wingman","162","20000"
"425","Bodyguard","163","0"
"426","Trusted Bodyguard","163","10000"
"427","Personal Wingman","163","20000"
"428","Bodyguard","164","0"
"429","Trusted Bodyguard","164","10000"
"430","Personal Wingman","164","20000"
"431","Bodyguard","165","0"
"432","Trusted Bodyguard","165","10000"
"433","Personal Wingman","165","20000"
"434","Bodyguard","166","0"
"435","Trusted Bodyguard","166","10000"
"436","Personal Wingman","166","20000"
"437","Bodyguard","167","0"
"438","Trusted Bodyguard","167","10000"
"439","Personal Wingman","167","20000"
"443","Rank 1","171","0"
"444","Rank 2","171","1000"
"445","Rank 3","171","2000"
"446","Rank 4","171","3000"
"447","Rank 5","171","4000"
"448","Rank 6","171","5000"
"449","Rank 7","171","6000"
"450","Rank 8","171","7000"
"451","Rank 1","172","0"
"452","Rank 2","172","1000"
"453","Rank 3","172","2000"
"454","Rank 4","172","3000"
"455","Rank 5","172","4000"
"456","Rank 6","172","5000"
"457","Rank 7","172","6000"
"458","Rank 8","172","7000"
"466","Withering","181","0"
"467","Stable","181","100"
"471","Withering","182","0"
"472","Stable","182","100"
"473","Empowered","182","150"
"476","Withering","183","0"
"477","Sated","183","200"
"481","Rank 9","171","8000"
"482","Max Rank","171","9000"
"483","Rank 9","172","8000"
"484","Max Rank","172","9000"
"485","State 0 - Follower","184","0"
"486","State 2 - Chapter 2","184","21000"
"487","State 1 - Chapter 1","184","10500"
"488","State 3 - Chapter 3","184","42000"
"489","Withering","185","0"
"490","Stable","185","100"
"520","Stranger","193","0"
"521","Pal","193","8400"
"522","Buddy","193","16800"
"523","Friend","193","25200"
"524","Good Friend","193","33600"
"525","Best Friend","193","42000"
"530","Intern","195","0"
"531","Junior Resident","195","1000"
"532","Senior Resident","195","2000"
"533","First Responder","195","3000"
"534","Sated","185","200"
"535","Sated","181","200"
"536","Stable","183","100"
"543","Bodyguard","198","0"
"544","Trusted Bodyguard","198","10000"
"545","Personal Wingman","198","20000"
"546","Stranger","199","0"
"547","Pal","199","8400"
"548","Buddy","199","16800"
"550","Friend","199","25200"
"551","Good Friend","199","33600"
"552","Stranger","200","0"
"553","Pal","200","8400"
"554","Buddy","200","16800"
"555","Good Friend","200","33600"
"556","Best Friend","200","42000"
"562","Stranger","202","0"
"563","Pal","202","8400"
"564","Buddy","202","16800"
"565","Good Friend","202","33600"
"566","Best Friend","202","42000"
"572","Stranger","204","0"
"573","Pal","204","8400"
"574","Buddy","204","16800"
"575","Good Friend","204","33600"
"576","Best Friend","204","42000"
"582","Stranger","206","0"
"583","Pal","206","8400"
"584","Buddy","206","16800"
"585","Good Friend","206","33600"
"586","Best Friend","206","42000"
"592","Stranger","208","0"
"593","Curiosity","208","8400"
"594","Non-Threat","208","16800"
"595","Helpful Friend","208","33600"
"596","Best Friend","208","42000"
"597","Best Friend","199","42000"
"598","Friend","200","25200"
"599","Friend","202","25200"
"600","Friend","204","25200"
"601","Friend","206","25200"
"602","Friend","208","25200"
"603","Whelpling","209","0"
"604","Temporal Trainee","209","1000"
"605","Timehopper","209","2500"
"606","Chrono-Friend","209","4500"
"607","Bronze Ally","209","7000"
"608","Epoch-Mender","209","10000"
"609","Timelord","209","15000"
"611","Rank 1","210","0"
"612","Rank 2","210","1000"
"613","Rank 3","210","2000"
"614","Rank 4","210","3000"
"615","Rank 5","210","4000"
"616","Rank 6","210","5000"
"617","Rank 7","210","6000"
"618","Rank 8","210","7000"
"619","Rank 9","210","8000"
"620","Max Rank","210","9000"
"631","Rank 1","212","0"
"632","Rank 2","212","1000"
"633","Rank 3","212","2000"
"634","Rank 4","212","3000"
"635","Rank 5","212","4000"
"636","Rank 6","212","5000"
"637","Rank 7","212","6000"
"638","Rank 8","212","7000"
"639","Rank 9","212","8000"
"640","Max Rank","212","9000"
"641","Hatchling","213","0"
"642","Juvenile","213","5000"
"643","Sub-Adult","213","15000"
"644","Adult","213","30000"
"746","Hatchling","315","0"
"750","Rank 1","316","0"
"751","Rank 2","316","300"
"752","Rank 3","316","600"
"753","Rank 4","316","900"
"754","Rank 1","317","0"
"755","Rank 2","317","300"
"756","Rank 3","317","600"
"757","Rank 4","317","900"
"758","Rank 1","318","0"
"760","Rank 3","318","600"
"761","Rank 4","318","900"
"766","Rank 1","320","0"
"767","Rank 2","320","300"
"768","Rank 3","320","600"
"769","Rank 4","320","900"
"774","Rank 5","316","1200"
"775","Rank 6","316","1500"
"776","Rank 7","316","1800"
"777","Rank 8","316","2100"
"778","Rank 9","316","2400"
"779","Rank 10","316","2700"
"780","Rank 11","316","3000"
"781","Rank 12","316","3300"
"782","Rank 13","316","3600"
"783","Rank 14","316","3900"
"784","Rank 15","316","4200"
"785","Rank 16","316","4500"
"786","Rank 17","316","4800"
"787","Rank 18","316","5100"
"788","Rank 19","316","5400"
"789","Rank 20","316","5700"
"790","Rank 21","316","6000"
"791","Rank 22","316","6300"
"792","Rank 23","316","6600"
"793","Rank 24","316","6900"
"794","Rank 25","316","7200"
"795","Rank 26","316","7500"
"796","Rank 27","316","7800"
"797","Rank 28","316","8100"
"798","Rank 29","316","8400"
"799","Rank 30","316","8700"
"821","Juvenile","315","4000"
"822","Maturity","315","8000"
"823","Rank 5","320","1200"
"824","Rank 6","320","1500"
"825","Rank 7","320","1800"
"826","Rank 8","320","2100"
"827","Rank 9","320","2400"
"828","Rank 10","320","2700"
"829","Rank 11","320","3000"
"830","Rank 12","320","3300"
"831","Rank 13","320","3600"
"832","Rank 14","320","3900"
"833","Rank 15","320","4200"
"834","Rank 16","320","4500"
"835","Rank 17","320","4800"
"836","Rank 18","320","5100"
"837","Rank 19","320","5400"
"838","Rank 20","320","5700"
"839","Rank 21","320","6000"
"840","Rank 22","320","6300"
"841","Rank 23","320","6600"
"842","Rank 24","320","6900"
"843","Rank 25","320","7200"
"844","Rank 26","320","7500"
"845","Rank 27","320","7800"
"846","Rank 28","320","8100"
"847","Rank 29","320","8400"
"848","Rank 30","320","8700"
"879","Rank 1","323","0"
"880","Rank 2","323","300"
"881","Rank 3","323","600"
"882","Rank 4","323","900"
"883","Rank 5","323","1200"
"884","Rank 6","323","1500"
"885","Rank 7","323","1800"
"886","Rank 8","323","2100"
"887","Rank 9","323","2400"
"888","Rank 10","323","2700"
"889","Rank 11","323","3000"
"890","Rank 12","323","3300"
"891","Rank 13","323","3600"
"892","Rank 14","323","3900"
"893","Rank 15","323","4200"
"894","Rank 16","323","4500"
"895","Rank 17","323","4800"
"896","Rank 18","323","5100"
"897","Rank 19","323","5400"
"898","Rank 20","323","5700"
"899","Rank 21","323","6000"
"900","Rank 22","323","6300"
"901","Rank 23","323","6600"
"902","Rank 24","323","6900"
"903","Rank 25","323","7200"
"904","Rank 26","323","7500"
"905","Rank 27","323","7800"
"906","Rank 28","323","8100"
"907","Rank 29","323","8400"
"908","Rank 30","323","8700"
"909","Rank 1","324","0"
"910","Rank 2","324","300"
"911","Rank 3","324","600"
"912","Rank 4","324","900"
"913","Rank 5","324","1200"
"914","Rank 6","324","1500"
"915","Rank 7","324","1800"
"916","Rank 8","324","2100"
"917","Rank 9","324","2400"
"918","Rank 10","324","2700"
"919","Rank 11","324","3000"
"920","Rank 12","324","3300"
"921","Rank 13","324","3600"
"922","Rank 14","324","3900"
"923","Rank 15","324","4200"
"924","Rank 16","324","4500"
"925","Rank 17","324","4800"
"926","Rank 18","324","5100"
"927","Rank 19","324","5400"
"928","Rank 20","324","5700"
"929","Rank 21","324","6000"
"930","Rank 22","324","6300"
"931","Rank 23","324","6600"
"932","Rank 24","324","6900"
"933","Rank 25","324","7200"
"934","Rank 26","324","7500"
"935","Rank 27","324","7800"
"936","Rank 28","324","8100"
"937","Rank 29","324","8400"
"938","Rank 30","324","8700"
"939","Rank 5","318","1200"
"940","Rank 6","318","1500"
"941","Rank 7","318","1800"
"942","Rank 8","318","2100"
"943","Rank 9","318","2400"
"944","Rank 10","318","2700"
"945","Rank 11","318","3000"
"946","Rank 12","318","3300"
"947","Rank 13","318","3600"
"948","Rank 14","318","3900"
"949","Rank 15","318","4200"
"950","Rank 16","318","4500"
"951","Rank 17","318","4800"
"952","Rank 18","318","5100"
"953","Rank 19","318","5400"
"954","Rank 20","318","5700"
"955","Rank 21","318","6000"
"956","Rank 22","318","6300"
"957","Rank 23","318","6600"
"958","Rank 24","318","6900"
"959","Rank 25","318","7200"
"960","Rank 26","318","7500"
"961","Rank 27","318","7800"
"962","Rank 28","318","8100"
"963","Rank 29","318","8400"
"964","Rank 30","318","8700"
"965","Rank 5","317","1200"
"966","Rank 6","317","1500"
"967","Rank 7","317","1800"
"968","Rank 8","317","2100"
"969","Rank 9","317","2400"
"970","Rank 10","317","2700"
"971","Rank 11","317","3000"
"972","Rank 12","317","3300"
"973","Rank 13","317","3600"
"974","Rank 14","317","3900"
"975","Rank 15","317","4200"
"976","Rank 16","317","4500"
"977","Rank 17","317","4800"
"978","Rank 18","317","5100"
"979","Rank 19","317","5400"
"980","Rank 20","317","5700"
"981","Rank 21","317","6000"
"982","Rank 22","317","6300"
"983","Rank 23","317","6600"
"984","Rank 24","317","6900"
"985","Rank 25","317","7200"
"986","Rank 26","317","7500"
"987","Rank 27","317","7800"
"988","Rank 28","317","8100"
"989","Rank 29","317","8400"
"990","Rank 30","317","8700"
"991","Nascent","325","0"
"992","Juvenile","325","3500"
"993","Nascent","326","0"
"994","Juvenile","326","7000"
"995","Nascent","327","0"
"996","Juvenile","327","14000"
"999","Rank 1","339","0"
"1000","Rank 2","339","1000"
"1001","Rank 3","339","2000"
"1002","Rank 4","339","3000"
"1003","Rank 5","339","4000"
"1004","Rank 6","339","5000"
"1005","Rank 7","339","6000"
"1006","Rank 8","339","7000"
"1007","Rank 9","339","8000"
"1008","Max Rank","339","9000"
"1009","Rank 1","340","0"
"1010","Rank 2","340","1000"
"1011","Rank 3","340","2000"
"1012","Rank 4","340","3000"
"1013","Rank 5","340","4000"
"1014","Rank 6","340","5000"
"1015","Rank 7","340","6000"
"1016","Rank 8","340","7000"
"1017","Rank 9","340","8000"
"1018","Max Rank","340","9000"
"1020","Mature","327","42000"
"1021","Mature","325","10500"
"1022","Mature","326","21000"
"1024","Rank 2","318","300"
"1088","Hatching...","365","0"
"1089","Larva","365","5000"
"1090","Hatchling","365","10000"
"1091","Adult","365","15000"
"1092","Tentative","366","7000"
"1100","Dubious","366","0"
"1101","Apprehensive","366","1000"
"1102","Ambivalent","366","9000"
"1103","Cordial","366","21000"
"1107","Appreciative","366","42000"
"1108","Stranger","367","0"
"1109","Acquaintance","367","8400"
"1110","Buddy","367","16800"
"1111","Friend","367","25200"
"1112","Good Friend","367","33600"
"1113","Best Friend","367","42000"
"1114","Stranger","368","0"
"1115","Acquaintance","368","8400"
"1116","Buddy","368","16800"
"1117","Friend","368","25200"
"1118","Good Friend","368","33600"
"1119","Best Friend","368","42000"
"1126","Stranger","370","0"
"1127","Acquaintance","370","8400"
"1128","Buddy","370","16800"
"1129","Friend","370","25200"
"1130","Good Friend","370","33600"
"1131","Best Friend","370","42000"
"1132","Stranger","371","0"
"1133","Acquaintance","371","8400"
"1134","Buddy","371","16800"
"1135","Friend","371","25200"
"1136","Good Friend","371","33600"
"1137","Best Friend","371","42000"
"1138","Stranger","372","0"
"1139","Acquaintance","372","8400"
"1140","Buddy","372","16800"
"1141","Friend","372","25200"
"1142","Good Friend","372","33600"
"1143","Best Friend","372","42000"
"1144","Stranger","373","0"
"1145","Acquaintance","373","8400"
"1146","Buddy","373","16800"
"1147","Friend","373","25200"
"1148","Good Friend","373","33600"
"1149","Best Friend","373","42000"
"1156","Stranger","375","0"
"1157","Acquaintance","375","8400"
"1158","Buddy","375","16800"
"1159","Friend","375","25200"
"1160","Good Friend","375","33600"
"1161","Best Friend","375","42000"
"1162","Stranger","376","0"
"1163","Acquaintance","376","8400"
"1164","Buddy","376","16800"
"1165","Friend","376","25200"
"1166","Good Friend","376","33600"
"1167","Best Friend","376","42000"
"1168","Stranger","377","0"
"1169","Acquaintance","377","8400"
"1170","Buddy","377","16800"
"1171","Friend","377","25200"
"1172","Good Friend","377","33600"
"1173","Best Friend","377","42000"
"1180","Stranger","379","0"
"1181","Acquaintance","379","8400"
"1182","Buddy","379","16800"
"1183","Friend","379","25200"
"1184","Good Friend","379","33600"
"1185","Best Friend","379","42000"
"1192","Stranger","381","0"
"1193","Acquaintance","381","8400"
"1194","Buddy","381","16800"
"1195","Friend","381","25200"
"1196","Good Friend","381","33600"
"1197","Best Friend","381","42000"
"1198","Stranger","382","0"
"1199","Acquaintance","382","8400"
"1200","Buddy","382","16800"
"1201","Friend","382","25200"
"1202","Good Friend","382","33600"
"1203","Best Friend","382","42000"
"1204","Stranger","383","0"
"1205","Acquaintance","383","8400"
"1206","Buddy","383","16800"
"1207","Friend","383","25200"
"1208","Good Friend","383","33600"
"1209","Best Friend","383","42000"
"1210","Stranger","384","0"
"1211","Acquaintance","384","8400"
"1212","Buddy","384","16800"
"1213","Friend","384","25200"
"1214","Good Friend","384","33600"
"1215","Best Friend","384","42000"
"1216","Stranger","385","0"
"1217","Acquaintance","385","8400"
"1218","Buddy","385","16800"
"1219","Friend","385","25200"
"1220","Good Friend","385","33600"
"1221","Best Friend","385","42000"
"1228","Stranger","387","0"
"1229","Acquaintance","387","8400"
"1230","Buddy","387","16800"
"1231","Friend","387","25200"
"1232","Good Friend","387","33600"
"1233","Best Friend","387","42000"
"1240","Neutral","389","0"
"1241","Friendly","389","3000"
"1242","Honored","389","9000"
"1243","Revered","389","21000"
"1244","Exalted","389","42000"
"1245","Neutral","390","0"
"1246","Friendly","390","3000"
"1247","Honored","390","9000"
"1248","Revered","390","21000"
"1249","Exalted","390","42000"
"1250","Neutral","391","0"
"1251","Friendly","391","3000"
"1252","Honored","391","9000"
"1253","Revered","391","21000"
"1254","Exalted","391","42000"
