Id,EffectDescription,AuraDescription,SpellEffectType,AuraEffectType,PointsSign,TargetType,SchoolMask,EffectOrderIndex,AuraOrderIndex
"26","Inflicts $s@effectindex Holy damage to an enemy every $t@effectindex sec for $d.","$s@effectindex Holy damage inflicted every $t@effectindex sec.","6","3","1","3","2","10","0"
"27","Inflicts $s@effectindex Fire damage to an enemy every $t@effectindex sec for $d.","$s@effectindex Fire damage inflicted every $t@effectindex sec.","6","3","1","3","4","10","0"
"28","Inflicts $s@effectindex Nature damage to an enemy every $t@effectindex sec for $d.","$s@effectindex Nature damage inflicted every $t@effectindex sec.","6","3","1","3","8","10","0"
"29","Inflicts $s@effectindex Frost damage to an enemy every $t@effectindex sec for $d.","$s@effectindex Frost damage inflicted every $t@effectindex sec.","6","3","1","3","16","10","0"
"30","Inflicts $s@effectindex Shadow damage to an enemy every $t@effectindex sec for $d.","$s@effectindex Shadow damage inflicted every $t@effectindex sec.","6","3","1","3","32","10","0"
"31","Inflicts $s@effectindex Arcane damage to an enemy every $t@effectindex sec for $d.","$s@effectindex Arcane damage inflicted every $t@effectindex sec.","6","3","1","3","64","10","0"
"32","Inflicts $s@effectindex Chaos damage to an enemy every $t@effectindex sec for $d.","$s@effectindex Chaos damage inflicted every $t@effectindex sec.","6","3","1","3","127","10","0"
"33","Stuns an enemy, rendering it unable to move or attack for $d.","Stunned.","6","12","0","3","0","0","0"
"34","Increases haste by $s@effectindex% for all allies within $A@effectindex yards for $d.","Haste increased by $s@effectindex%.","6","193","1","6","0","0","0"
"35","Stuns all enemies within $A@effectindex yards, rendering them unable to move or attack for $d.","Stunned.","6","12","0","7","0","0","0"
"36","Stuns all enemies within $A@effectindex yards of the impact, rendering them unable to move or attack for $d.","Stunned.","6","12","0","5","0","0","0"
"37","Heals an ally for $s@effectindex% of their maximum health.","","136","0","1","2","0","0","0"
"38","Immobilizes an enemy for up to $d.","Immobilized.","6","26","0","3","0","20","0"
"42","Inflicts Shadow damage to an enemy every $t@effectindex sec for $d.","Shadow damage inflicted every $t@effectindex sec.","6","70","1","3","32","0","0"
"43","Inflicts Physical damage to an enemy.","","31","0","1","3","1","0","0"
"44","Inflicts Holy damage to an enemy.","","31","0","1","3","2","0","0"
"45","Inflicts Fire damage to an enemy.","","31","0","1","3","4","0","0"
"46","Inflicts Nature damage to an enemy.","","31","0","1","3","8","0","0"
"47","Inflicts Frost damage to an enemy.","","31","0","1","3","16","0","0"
"48","Inflicts Shadow damage to an enemy.","","31","0","1","3","32","0","0"
"49","Inflicts Arcane damage to an enemy.","","31","0","1","3","64","0","0"
"50","Inflicts Chaos damage to an enemy.","","31","0","1","3","127","0","0"
"51","Inflicts Physical damage to an enemy every $t@effectindex sec for $d.","Physical damage inflicted every $t@effectindex sec.","6","70","1","3","1","0","0"
"52","Inflicts Holy damage to an enemy every $t@effectindex sec for $d.","Holy damage inflicted every $t@effectindex sec.","6","70","1","3","2","0","0"
"53","Inflicts Fire damage to an enemy every $t@effectindex sec for $d.","Fire damage inflicted every $t@effectindex sec.","6","70","1","3","4","0","0"
"54","Inflicts Nature damage to an enemy every $t@effectindex sec for $d.","Nature damage inflicted every $t@effectindex sec.","6","70","1","3","8","0","0"
"55","Inflicts Frost damage to an enemy every $t@effectindex sec for $d.","Frost damage inflicted every $t@effectindex sec.","6","70","1","3","16","0","0"
"56","Inflicts Arcane damage to an enemy every $t@effectindex sec for $d.","Arcane damage inflicted every $t@effectindex sec.","6","70","1","3","64","0","0"
"57","Inflicts Chaos damage to an enemy every $t@effectindex sec for $d.","Chaos damage inflicted every $t@effectindex sec.","6","70","1","3","127","0","0"
"58","Inflicts $s@effectindex Physical damage to an enemy every $t@effectindex sec for $d.","$s@effectindex Physical damage inflicted every $t@effectindex sec.","6","3","1","1","1","10","0"
"59","Inflicts $s@effectindex Holy damage to an enemy every $t@effectindex sec for $d.","$s@effectindex Holy damage inflicted every $t@effectindex sec.","6","3","1","1","2","10","0"
"60","Inflicts $s@effectindex Fire damage to an enemy every $t@effectindex sec for $d.","$s@effectindex Fire damage inflicted every $t@effectindex sec.","6","3","1","1","4","10","0"
"61","Inflicts $s@effectindex Nature damage to an enemy every $t@effectindex sec for $d.","$s@effectindex Nature damage inflicted every $t@effectindex sec.","6","3","1","1","8","10","0"
"62","Inflicts $s@effectindex Frost damage to an enemy every $t@effectindex sec for $d.","$s@effectindex Frost damage inflicted every $t@effectindex sec.","6","3","1","1","16","10","0"
"63","Inflicts $s@effectindex Shadow damage to an enemy every $t@effectindex sec for $d.","$s@effectindex Shadow damage inflicted every $t@effectindex sec.","6","3","1","1","32","10","0"
"64","Inflicts $s@effectindex Arcane damage to an enemy every $t@effectindex sec for $d.","$s@effectindex Arcane damage inflicted every $t@effectindex sec.","6","3","1","1","64","10","0"
"65","Inflicts $s@effectindex Chaos damage to an enemy every $t@effectindex sec for $d.","$s@effectindex Chaos damage inflicted every $t@effectindex sec.","6","3","1","1","127","10","0"
"66","Inflicts Physical damage to an enemy every $t@effectindex sec for $d.","Physical damage inflicted every $t@effectindex sec.","6","70","1","1","1","0","0"
"67","Inflicts Holy damage to an enemy every $t@effectindex sec for $d.","Holy damage inflicted every $t@effectindex sec.","6","70","1","1","2","0","0"
"68","Inflicts Fire damage to an enemy every $t@effectindex sec for $d.","Fire damage inflicted every $t@effectindex sec.","6","70","1","1","4","0","0"
"69","Inflicts Nature damage to an enemy every $t@effectindex sec for $d.","Nature damage inflicted every $t@effectindex sec.","6","70","1","1","8","0","0"
"70","Inflicts Frost damage to an enemy every $t@effectindex sec for $d.","Frost damage inflicted every $t@effectindex sec.","6","70","1","1","16","0","0"
"71","Inflicts Arcane damage to an enemy every $t@effectindex sec for $d.","Arcane damage inflicted every $t@effectindex sec.","6","70","1","1","64","0","0"
"72","Inflicts Chaos damage to an enemy every $t@effectindex sec for $d.","Chaos damage inflicted every $t@effectindex sec.","6","70","1","1","127","0","0"
"83","Heals the caster for $s@effectindex% of maximum health every $t@effectindex for $d.","Heals $s@effectindex% of maximum health every $t@effectindex sec.","6","20","1","1","0","0","0"
"85","Heals the caster for $s@effectindex% of their maximum health.","","136","0","1","1","0","0","0"
"91","Interrupts spell casting of all enemies within $A@effectindex yards for $d.","","68","0","0","7","0","30","0"
"92","Interrupts spell casting of an enemy for $d.","","68","0","1","3","1","30","0"
"93","Silences an enemy preventing spell casting for $d.","Silenced.","6","27","0","3","0","30","0"
"94","Reduces haste by $s@effectindex% for $d.","Haste reduced by $s@effectindex%.","6","193","2","3","0","0","0"
"96","Knocks an enemy back.","","98","0","1","3","0","0","0"
"97","Surrounds the caster with a shield that lasts $d and can absorb up to $s@effectindex of all damage.","Absorbs $s@effectindex damage.","6","69","1","1","127","0","0"
"98","Surrounds the caster with a shield that lasts $d and can absorb up to $s@effectindex Physical damage.","Absorbs $s@effectindex Physical damage.","6","69","1","1","1","0","0"
"99","Surrounds the caster with a shield that lasts $d and can absorb up to $s@effectindex Holy damage.","Absorbs $s@effectindex Holy damage.","6","69","1","1","2","0","0"
"100","Surrounds the caster with a shield that lasts $d and can absorb up to $s@effectindex Fire damage.","Absorbs $s@effectindex Fire damage.","6","69","1","1","4","0","0"
"101","Surrounds the caster with a shield that lasts $d and can absorb up to $s@effectindex Nature damage.","Absorbs $s@effectindex Nature damage.","6","69","1","1","8","0","0"
"102","Surrounds the caster with a shield that lasts $d and can absorb up to $s@effectindex Frost damage.","Absorbs $s@effectindex Frost damage.","6","69","1","1","16","0","0"
"103","Surrounds the caster with a shield that lasts $d and can absorb up to $s@effectindex Shadow damage.","Absorbs $s@effectindex Shadow damage.","6","69","1","1","32","0","0"
"104","Surrounds the caster with a shield that lasts $d and can absorb up to $s@effectindex Arcane damage.","Absorbs $s@effectindex Arcane damage.","6","69","1","1","64","0","0"
"105","Increases the caster's haste by $s@effectindex% for $d.","Haste increased by $s@effectindex%.","6","193","1","1","0","10","0"
"106","Reduces haste by $s@effectindex% for $d.","Haste reduced by $s@effectindex%.","6","193","2","1","0","0","0"
"107","Reduces movement speed by $s@effectindex%.","Movement speed reduced by $s@effectindex%.","6","33","1","1","0","0","0"
"108","Inflicts Physical damage to all enemies within $A@effectindex yards of the impact.","","31","0","1","5","1","0","0"
"109","Inflicts Holy damage to all enemies within $A@effectindex yards of the impact.","","31","0","1","5","2","0","0"
"110","Inflicts Fire damage to all enemies within $A@effectindex yards of the impact.","","31","0","1","5","4","0","0"
"111","Inflicts Nature damage to all enemies within $A@effectindex yards of the impact.","","31","0","1","5","8","0","0"
"112","Inflicts Frost damage to all enemies within $A@effectindex yards of the impact.","","31","0","1","5","16","0","0"
"113","Inflicts Shadow damage to all enemies within $A@effectindex yards of the impact.","","31","0","1","5","32","0","0"
"114","Inflicts Arcane damage to all enemies within $A@effectindex yards of the impact.","","31","0","1","5","64","0","0"
"115","Inflicts Chaos damage to all enemies within $A@effectindex yards of the impact.","","31","0","1","5","127","0","0"
"116","Increases the movement speed of the caster by $s@effectindex% for $d.","Movement speed increased by $s@effectindex%.","6","31","1","1","0","10","0"
"118","Knocks all enemies within $A@effectindex yards of the impact back.","","98","0","1","5","0","0","0"
"119","Inflicts Physical damage to all enemies within $A@effectindex yards.","","31","0","1","7","1","0","0"
"120","Inflicts Holy damage to all enemies within $A@effectindex yards.","","31","0","1","7","2","0","0"
"121","Inflicts Fire damage to all enemies within $A@effectindex yards.","","31","0","1","7","4","0","0"
"122","Inflicts Nature damage to all enemies within $A@effectindex yards.","","31","0","1","7","8","0","0"
"123","Inflicts Frost damage to all enemies within $A@effectindex yards.","","31","0","1","7","16","0","0"
"124","Inflicts Shadow damage to all enemies within $A@effectindex yards.","","31","0","1","7","32","0","0"
"125","Inflicts Arcane damage to all enemies within $A@effectindex yards.","","31","0","1","7","64","0","0"
"126","Inflicts Chaos damage to all enemies within $A@effectindex yards.","","31","0","1","7","127","0","0"
"127","Reduces the movement speed of all enemies within $A@effectindex yards by $s@effectindex% for $d.","Movement speed reduced by $s@effectindex%.","6","33","1","7","0","10","0"
"128","Inflicts Physical damage to all enemies in front of the caster.","","31","0","1","9","1","0","0"
"129","Inflicts Fire damage to all enemies in front of the caster.","","31","0","1","9","4","0","0"
"130","Causes the caster to inflict $s@effectindex% increased damage.","Damage done increased by $s@effectindex%.","6","79","1","1","127","0","0"
"131","Reduces an enemy's armor by $s@effectindex% for $d.","Armor reduced by $s@effectindex%.","6","101","2","3","1","0","0"
"132","Inflicts Physical damage to all enemies within $A@effectindex yards.","","165","0","1","7","1","0","0"
"136","Inflicts $s@effectindex Shadow damage to all enemies in front of the caster.","","2","0","1","9","32","0","0"
"137","Inflicts $s@effectindex Physical damage to all enemies in front of the caster.","","2","0","1","9","1","0","0"
"138","Inflicts $s@effectindex Fire damage to all enemies in front of the caster.","","2","0","1","9","4","0","0"
"139","Inflicts $s@effectindex Holy damage to all enemies in front of the caster.","","2","0","1","9","2","0","0"
"140","Inflicts $s@effectindex Nature damage to all enemies in front of the caster.","","2","0","1","9","8","0","0"
"141","Inflicts $s@effectindex Frost damage to all enemies in front of the caster.","","2","0","1","9","16","0","0"
"142","Inflicts $s@effectindex Arcane damage to all enemies in front of the caster.","","2","0","1","9","64","0","0"
"143","Inflicts $s@effectindex Chaos damage to all enemies in front of the caster.","","2","0","1","9","127","0","0"
"144","Causes an enemy to take $s@effectindex% increased Physical damage for $d.","Physical damage taken increased by $s@effectindex%.","6","87","1","3","1","0","0"
"145","Causes an enemy to take $s@effectindex% increased Holy damage for $d.","Holy damage taken increased by $s@effectindex%.","6","87","1","3","2","0","0"
"146","Causes an enemy to take $s@effectindex% increased Fire damage for $d.","Fire damage taken increased by $s@effectindex%.","6","87","1","3","4","0","0"
"147","Causes an enemy to take $s@effectindex% increased Nature damage for $d.","Nature damage taken increased by $s@effectindex%.","6","87","1","3","8","0","0"
"148","Causes an enemy to take $s@effectindex% increased Frost damage for $d.","Frost damage taken increased by $s@effectindex%.","6","87","1","3","16","0","0"
"149","Causes an enemy to take $s@effectindex% increased Shadow damage for $d.","Shadow damage taken increased by $s@effectindex%.","6","87","1","3","32","0","0"
"150","Causes an enemy to take $s@effectindex% increased Arcane damage for $d.","Arcane damage taken increased by $s@effectindex%.","6","87","1","3","64","0","0"
"151","Causes an enemy to take $s@effectindex% increased damage for $d.","Damage taken increased by $s@effectindex%.","6","87","1","3","127","0","0"
"152","Causes all enemies within $A@effectindex yards to take $s@effectindex% increased Physical damage for $d.","Physical damage taken increased by $s@effectindex%.","6","87","1","7","1","0","0"
"153","Causes all enemies within $A@effectindex yards to take $s@effectindex% increased Holy damage for $d.","Holy damage taken increased by $s@effectindex%.","6","87","1","7","2","0","0"
"154","Causes all enemies within $A@effectindex yards to take $s@effectindex% increased Fire damage for $d.","Fire damage taken increased by $s@effectindex%.","6","87","1","7","4","0","0"
"155","Causes all enemies within $A@effectindex yards to take $s@effectindex% increased Nature damage for $d.","Nature damage taken increased by $s@effectindex%.","6","87","1","7","8","0","0"
"156","Causes all enemies within $A@effectindex yards to take $s@effectindex% increased Frost damage for $d.","Frost damage taken increased by $s@effectindex%.","6","87","1","7","16","0","0"
"157","Causes all enemies within $A@effectindex yards to take $s@effectindex% increased Shadow damage for $d.","Shadow damage taken increased by $s@effectindex%.","6","87","1","7","32","0","0"
"158","Causes all enemies within $A@effectindex yards to take $s@effectindex% increased Arcane damage for $d.","Arcane damage taken increased by $s@effectindex%.","6","87","1","7","64","0","0"
"159","Causes all enemies within $A@effectindex yards to take $s@effectindex% increased damage for $d.","Damage taken increased by $s@effectindex%.","6","87","1","7","127","0","0"
"160","Charges to an enemy.","","96","0","0","3","0","1","0"
"161","Charges to an enemy.","","149","0","0","3","0","1","0"
"162","Charges to an enemy.","","149","0","0","0","0","1","0"
"163","Inflicts Chaos damage to all enemies in front of the caster.","","31","0","1","9","127","0","0"
"164","Inflicts Arcane damage to all enemies in front of the caster.","","31","0","1","9","64","0","0"
"165","Inflicts Frost damage to all enemies in front of the caster.","","31","0","1","9","16","0","0"
"166","Inflicts Nature damage to all enemies in front of the caster.","","31","0","1","9","8","0","0"
"167","Inflicts Holy damage to all enemies in front of the caster.","","31","0","1","9","2","0","0"
"170","Inflicts Shadow damage to all enemies in front of the caster.","","31","0","1","9","32","0","0"
"171","Knocks all enemies in front of the caster back.","","98","0","1","9","0","0","0"
"172","Causes all allies within $A@effectindex yards to inflict $s@effectindex% increased damage.","Damage done increased by $s@effectindex%.","6","79","1","6","127","0","0"
"173","Reduces the movement speed of all enemies within $A@effectindex yards by $s@effectindex% for $d.","Movement speed reduced by $s@effectindex%.","6","33","2","7","0","0","0"
"174","Reduces the movement speed of the target by $s@effectindex% for $d.","Movement speed reduced by $s@effectindex%.","6","33","1","3","0","0","0"
"175","Causes an enemy to inflict $s@effectindex% reduced damage for $d.","Damage done reduced by $s@effectindex%.","6","79","2","3","127","0","0"
"176","Drains health from the target every $t@effectindex sec, trasferring it to the caster.","Drains health every $t@effectindex sec.","6","53","1","3","0","0","0"
"177","Reduces the healing received of all enemies in a cone in front of the caster by $s@effectindex% for $d.","Healing received reduced by $s@effectindex%.","6","118","2","9","127","0","0"
"178","Inflicts Shadow damage to all enemies in a cone in front of the caster.","","165","0","1","9","32","0","0"
"179","Inflicts Nature damage to all enemies within $A@effectindex yards.","","165","0","1","7","8","0","0"
"180","Silences all enemies within $A@effectindex yards, preventing them from casting spells for $d.","Cannot cast spells.","6","27","0","7","0","0","0"
"181","Causes the caster to take $s@effectindex% reduced damage for $d.","Damage taken reduced by $s@effectindex%.","6","87","2","1","127","0","0"
"182","Teleports to a location.","","252","0","0","1","0","0","0"
"183","Inflicts $s@effectindex% of maximum health as Physical damage to an enemy every $t@effectindex sec for $d.","$s@effectindex% Physical damage inflicted every $t@effectindex sec.","6","89","1","1","1","10","0"
"184","Inflicts $s@effectindex% of maximum health as Holy damage to an enemy every $t@effectindex sec for $d.","$s@effectindex% Holy damage inflicted every $t@effectindex sec.","6","89","1","1","2","10","0"
"185","Inflicts $s@effectindex% of maximum health as Fire damage to an enemy every $t@effectindex sec for $d.","$s@effectindex% Fire damage inflicted every $t@effectindex sec.","6","89","1","1","4","10","0"
"186","Inflicts $s@effectindex% of maximum health as Nature damage to an enemy every $t@effectindex sec for $d.","$s@effectindex% Nature damage inflicted every $t@effectindex sec.","6","89","1","1","8","10","0"
"187","Inflicts $s@effectindex% of maximum health as Frost damage to an enemy every $t@effectindex sec for $d.","$s@effectindex% Frost damage inflicted every $t@effectindex sec.","6","89","1","1","16","10","0"
"188","Inflicts $s@effectindex% of maximum health as Shadow damage to an enemy every $t@effectindex sec for $d.","$s@effectindex% Shadow damage inflicted every $t@effectindex sec.","6","89","1","1","32","10","0"
"189","Inflicts $s@effectindex% of maximum health as Arcane damage to an enemy every $t@effectindex sec for $d.","$s@effectindex% Arcane damage inflicted every $t@effectindex sec.","6","89","1","1","64","10","0"
"190","Inflicts $s@effectindex% of maximum health as Chaos damage to an enemy every $t@effectindex sec for $d.","$s@effectindex% Chaos damage inflicted every $t@effectindex sec.","6","89","1","1","127","10","0"
"291","Causes all enemies within $A@effectindex yards of the impact to take $s@effectindex% increased damage for $d.","Damage taken increased by $s@effectindex%.","6","87","1","5","127","10","10"
"292","Causes all enemies within $A@effectindex yards of the impact to take $s@effectindex% increased Arcane damage for $d.","Arcane damage taken increased by $s@effectindex%.","6","87","1","5","64","10","10"
"293","Causes all enemies within $A@effectindex yards of the impact to take $s@effectindex% increased Shadow damage for $d.","Shadow damage taken increased by $s@effectindex%.","6","87","1","5","32","10","10"
"294","Causes all enemies within $A@effectindex yards of the impact to take $s@effectindex% increased Frost damage for $d.","Frost damage taken increased by $s@effectindex%.","6","87","1","5","16","10","10"
"295","Causes all enemies within $A@effectindex yards of the impact to take $s@effectindex% increased Nature damage for $d.","Nature damage taken increased by $s@effectindex%.","6","87","1","5","8","10","10"
"296","Causes all enemies within $A@effectindex yards of the impact to take $s@effectindex% increased Fire damage for $d.","Fire damage taken increased by $s@effectindex%.","6","87","1","5","4","10","10"
"297","Causes all enemies within $A@effectindex yards of the impact to take $s@effectindex% increased Holy damage for $d.","Holy damage taken increased by $s@effectindex%.","6","87","1","5","2","10","10"
"298","Causes all enemies within $A@effectindex yards of the impact to take $s@effectindex% increased Physical damage for $d.","Physical damage taken increased by $s@effectindex%.","6","87","1","5","1","10","10"
"299","Causes all enemies within $A@effectindex yards to inflict $s@effectindex% increased damage for $d.","Damage done increased by $s@effectindex%.","6","79","1","7","127","0","0"
"300","Causes an enemy to inflict $s@effectindex% increased damage for $d.","Damage done increased by $s@effectindex%.","6","79","1","3","127","0","0"
"301","Inflicts Spellstrike damage to an enemy.","","31","0","1","3","65","0","0"
"302","Inflicts Fire damage to enemies within $A@effectindex yards of the impact.","","165","0","1","5","4","0","0"
"303","Causes all enemies within $A@effectindex yards of the impact to take Fire damage every $t@effectindex sec for $d.","Fire damage inflicted every $t@effectindex sec.","6","70","1","5","4","0","0"
"304","Reduces the movement speed of the target by $s@effectindex% for $d.","Movement speed reduced by $s@effectindex%.","6","33","2","3","0","0","0"
"305","Heals the caster and all allies within $A@effectindex yards for $s@effectindex% of maximum health every $t@effectindex for $d.","Heals $s@effectindex% of maximum health every $t@effectindex sec.","6","20","1","4","0","0","0"
"306","Heals the caster and all allies within $A@effectindex yards for $s@effectindex% of maximum health every $t@effectindex for $d.","Heals $s@effectindex% of maximum health every $t@effectindex sec.","6","20","1","6","0","0","0"
"308","Inflicts Nature damage to all enemies within $A@effectindex.","","2","0","1","4","8","0","0"
"309","Inflicts Shadow damage to all enemies within $A@effectindex yards every $t@effectindex sec for $d.","Shadow damage inflicted every $t@effectindex sec.","6","70","1","7","32","20","0"
"310","Inflicts Nature damage to all enemies within $A@effectindex yards every $t@effectindex sec for $d.","Nature damage inflicted every $t@effectindex sec.","6","70","1","7","8","0","0"
"321","Causes the target to flee in fear for $d.","Fleeing in fear.","6","407","0","3","0","0","0"
"322","Increases movement speed by $s@effectindex% for all allies within $A@effectindex yards for $d.","Movement speed increased by $s@effectindex%.","6","31","1","6","0","0","0"
"326","test","test","244","0","0","0","0","2","0"
"327","Disorients the target for $d.","Disoriented.","6","5","0","3","0","0","0"
"329","Inflicts $s@effectindex Shadow damage to all enemies within $A@effectindex of the caster every $t@effectindex sec for $d.","$s@effectindex Shadow damage inflicted every $t@effectindex sec.","6","3","1","7","32","0","0"
"330","Inflicts Fire damage.","","2","0","1","1","4","0","0"
"331","Inflicts Spellstrike damage.","","2","0","1","1","65","0","0"
"332","Inflicts Shadow damage.","","2","0","1","1","32","0","0"
"333","Inflicts Physical damage.","","2","0","1","1","1","0","0"
"334","Inflicts Nature damage.","","2","0","1","1","8","0","0"
"335","Inflicts Holy damage.","","2","0","1","1","2","0","0"
"336","Inflicts Frost damage.","","2","0","1","1","16","0","0"
"337","Inflicts Chaos damage.","","2","0","1","1","127","0","0"
"338","Inflicts Arcane damage.","","2","0","1","1","64","0","0"
"339","Inflicts Shadow damage to all enemies in front of the caster every $t@effectindex sec for $d.","Shadow damage inflicted every $t@effectindex sec.","6","70","1","9","32","0","0"
"340","Inflicts Physical damage to all enemies in front of the caster every $t@effectindex sec for $d.","Physical damage inflicted every $t@effectindex sec.","6","70","1","9","1","0","0"
"341","Inflicts Nature damage to all enemies in front of the caster every $t@effectindex sec for $d.","Nature damage inflicted every $t@effectindex sec.","6","70","1","9","8","0","0"
"342","Inflicts Holy damage to all enemies in front of the caster every $t@effectindex sec for $d.","Holy damage inflicted every $t@effectindex sec.","6","70","1","9","2","0","0"
"343","Inflicts Frost damage to all enemies in front of the caster every $t@effectindex sec for $d.","Frost damage inflicted every $t@effectindex sec.","6","70","1","9","16","0","0"
"344","Inflicts Fire damage to all enemies in front of the caster every $t@effectindex sec for $d.","Fire damage inflicted every $t@effectindex sec.","6","70","1","9","4","0","0"
"345","Inflicts Chaos damage to all enemies in front of the caster every $t@effectindex sec for $d.","Chaos damage inflicted every $t@effectindex sec.","6","70","1","9","127","0","0"
"346","Inflicts Arcane damage to all enemies in front of the caster every $t@effectindex sec for $d.","Arcane damage inflicted every $t@effectindex sec.","6","70","1","9","64","0","0"
"347","Disorients all enemies in front of the caster for $d.","Disoriented.","6","5","0","9","0","0","0"
"348","Disorients enemies within $A@effectindex yards of the impact for $d.","Disoriented.","6","5","0","5","0","0","0"
"349","Knocks an enemy back.","","98","0","1","1","0","0","0"
"350","Stuns all enemies in front of the caster, rendering them unable to move or attack for $d.","Stunned.","6","12","0","9","0","0","0"
"351","Immobilizes all enemies in front of the caster for $d.","Immobilized.","6","26","0","9","0","20","0"
"352","Immobilizes all enemies within $A@effectindex yards of the impact for $d.","Immobilized.","6","26","0","5","0","20","0"
"353","Immobilizes all enemies within $A@effectindex yards of the caster for $d.","Immobilized.","6","26","0","7","0","20","0"
"354","Causes all enemies within $A@effectindex yards of the impact to take Nature damage every $t@effectindex sec for $d.","Nature damage inflicted every $t@effectindex sec.","6","70","1","5","8","0","0"
"355","Causes all enemies within $A@effectindex yards of the impact to take Physical damage every $t@effectindex sec for $d.","Physical damage inflicted every $t@effectindex sec.","6","70","1","5","1","0","0"
"356","Causes all enemies within $A@effectindex yards of the impact to take Holy damage every $t@effectindex sec for $d.","Holy damage inflicted every $t@effectindex sec.","6","70","1","5","2","0","0"
"357","Causes all enemies within $A@effectindex yards of the impact to take Frost damage every $t@effectindex sec for $d.","Frost damage inflicted every $t@effectindex sec.","6","70","1","5","16","0","0"
"358","Causes all enemies within $A@effectindex yards of the impact to take Shadow damage every $t@effectindex sec for $d.","Shadow damage inflicted every $t@effectindex sec.","6","70","1","5","32","0","0"
"359","Causes all enemies within $A@effectindex yards of the impact to take Arcane damage every $t@effectindex sec for $d.","Arcane damage inflicted every $t@effectindex sec.","6","70","1","5","64","0","0"
"360","Immobilizes an enemy for up to $d.","Immobilized.","6","26","0","1","0","20","0"
"361","Reduces the movement speed of all enemies within $A@effectindex yards of the impact by $s@effectindex% for $d.","Movement speed reduced by $s@effectindex%.","6","33","2","5","0","0","0"
"362","Reduces the movement speed of all enemies in front of the caster by $s@effectindex% for $d.","Movement speed reduced by $s@effectindex%.","6","33","2","9","0","0","0"
"363","Knocks all enemies within $A@effectindex yards of the caster back.","","98","0","1","7","0","0","0"
"364","Inflicts $s@effectindex Physical damage to all enemies within $A@effectindex of the caster every $t@effectindex sec for $d.","$s@effectindex Physical damage inflicted every $t@effectindex sec.","6","3","1","7","1","0","0"
"365","Inflicts $s@effectindex Holy damage to all enemies within $A@effectindex of the caster every $t@effectindex sec for $d.","$s@effectindex Holy damage inflicted every $t@effectindex sec.","6","3","1","7","2","0","0"
"366","Inflicts $s@effectindex Fire damage to all enemies within $A@effectindex of the caster every $t@effectindex sec for $d.","$s@effectindex Fire damage inflicted every $t@effectindex sec.","6","3","1","7","4","0","0"
"367","Inflicts $s@effectindex Nature damage to all enemies within $A@effectindex of the caster every $t@effectindex sec for $d.","$s@effectindex Nature damage inflicted every $t@effectindex sec.","6","3","1","7","8","0","0"
