Id,Name,Description,DisplayIndex,UiCameraId,AltHandUICameraId,ForgeAttachmentOverride,Flags,ArtifactId
"54","Guardian Spire","","2","179","0","-1","0","4"
"55","Magna Unleashed","","3","181","0","-1","0","4"
"56","Aegwynn's Fall","","4","180","0","-1","0","4"
"57","Eternal Magus","","5","182","0","-1","0","4"
"58","Deathguard's Gaze","","4","184","965","-1","0","11"
"59","Last Breath of the Worldbreaker","","6","185","966","-1","1","11"
"60","Unbroken Stand","","3","186","967","-1","0","11"
"61","Arm of the Fallen King","","2","187","968","-1","0","11"
"64","Ebonchill","","1","344","0","-1","0","53"
"65","Guardian's Focus","","2","346","0","-1","0","53"
"66","Archmagi's Will","","4","351","0","-1","0","53"
"67","Frostfire Remembrance","","6","353","0","-1","1","53"
"68","Flow of the First","","3","354","0","-1","0","53"
"69","Hubris of the Dark Titan","","2","359","0","-1","0","38"
"70","Echo of Gul'dan","","3","360","0","-1","0","38"
"71","Shadow of the Destroyer","","4","362","0","-1","0","38"
"72","Legionterror","","6","361","0","-1","1","38"
"73","Ranger-General's Guard","","4","933","0","-1","0","55"
"74","Phoenix's Rebirth","","3","722","0","-1","0","55"
"75","A Sister's Bond","","2","720","0","-1","0","55"
"76","Ravenguard","","6","721","0","-1","1","55"
"77","Cursed Hand","","2","858","863","-1","0","43"
"78","Heartstopper","","3","860","864","-1","0","43"
"79","Magekiller's Edge","","4","859","865","-1","0","43"
"80","Bonebreaker","","6","861","866","-1","1","43"
"81","Scythe of Elune","","1","631","0","-1","0","59"
"82","Embrace of the Old Gods","","2","773","957","-1","0","47"
"83","The Fallen Blade","","3","774","953","-1","0","47"
"84","Vision of Madness","","4","776","955","-1","0","47"
"85","Twisted Reflection","","5","775","954","-1","0","47"
"86","Stonepaw","","2","188","638","-1","0","57"
"87","Avatar of Ursol","","3","188","638","-1","0","57"
"88","Fallen to Nightmare","","4","188","638","-1","0","57"
"89","Guardian of the Glade","","6","188","638","-1","1","57"
"90","Aldrachi Warblades","","1","753","759","-1","0","60"
"91","Fangs of Ashamane","","1","636","637","-1","0","58"
"92","Bloodmaw","","2","701","0","-1","0","15"
"93","Bonejaw","","5","702","0","-1","0","15"
"94","Soulreaper","","3","704","0","-1","0","15"
"95","Executioner","","4","703","0","-1","0","15"
"96","Frostmourne's Legacy","","2","662","663","-1","0","12"
"97","Soul Collector","","5","664","665","-1","0","12"
"98","Gravekeeper","","4","700","699","-1","0","12"
"99","Sindragosa's Fury","","3","667","666","-1","0","12"
"100","Faminebearer","","4","658","0","-1","0","16"
"101","Herald of Pestilence","","3","661","0","-1","0","16"
"102","Unholy War","","2","659","0","-1","0","16"
"103","Bone Reaper","","6","660","0","-1","1","16"
"104","Illidari Crest","","2","901","902","-1","0","60"
"105","Boneterror","","4","903","904","-1","0","60"
"106","Dreadlord's Bite","","3","905","906","-1","0","60"
"107","Iron Warden","","6","907","908","-1","1","60"
"108","Envoy of Goldrinn","","2","831","0","-1","0","59"
"109","Lunarcall","","3","832","0","-1","0","59"
"110","Sunkeeper's Reach","","6","834","0","-1","1","59"
"111","Nightmare's Affliction","","4","833","0","-1","0","59"
"112","Nature's Fury","","2","636","637","-1","0","58"
"113","Primal Stalker","","3","636","637","-1","0","58"
"114","Ghost of the Pridemother","","5","636","637","-1","0","58"
"115","Incarnation of Nightmare","","4","636","637","-1","0","58"
"116","Titanstrike","","1","754","0","-1","0","56"
"117","Eaglewatch","","2","789","0","-1","0","56"
"118","Boarshot Cannon","","4","791","0","-1","0","56"
"119","Elekk's Thunder","","3","790","0","-1","0","56"
"120","Serpentbite","","5","792","0","-1","0","56"
"121","Eagle's Rebirth","","2","715","0","-1","0","34"
"122","Spear of the Alpha","","3","717","0","-1","0","34"
"123","Serpentstrike","","4","716","0","-1","0","34"
"124","Bear's Fortitude","","6","718","0","-1","1","34"
"125","Pride of the Sunstriders","","2","838","937","-1","0","54"
"126","Phoenix's Rebirth","","3","840","940","-1","0","54"
"127","Lavaborn Edge","","4","839","939","-1","0","54"
"128","Timebender's Blade","","5","841","941","-1","0","54"
"129","Fu Zan, the Wanderer's Companion","","1","710","0","-1","0","52"
"130","The Monkey King's Burden","","2","711","0","-1","0","52"
"131","Dragonfire's Grasp","","4","713","0","-1","0","52"
"132","Heart of the Ox","","3","712","0","-1","0","52"
"133","Bearer of the Mist","","5","714","0","-1","0","52"
"134","Toll of the Deep Mist","","2","845","0","-1","0","51"
"135","Breath of the Undying Serpent","","6","846","0","-1","1","51"
"136","Sha's Torment","","4","847","0","-1","0","51"
"137","Chi-Ji's Spirit","","3","848","0","-1","0","51"
"138","Fists of the Heavens","","1","629","630","-1","0","50"
"139","Al'Akir's Touch","","2","691","692","-1","0","50"
"140","Spirit's Reach","","3","694","693","-1","0","50"
"141","Shado-Pan Legacy","","4","696","695","-1","0","50"
"142","Stormfist","","6","698","697","-1","1","50"
"143","Fist of the Fallen Watcher","","2","785","199","-1","0","48"
"144","Justice's Flame","","5","788","199","-1","0","48"
"145","Gravewarder","","4","786","199","-1","0","48"
"146","Protector's Judgment","","3","787","199","-1","0","48"
"147","Truthguard","","1","756","755","-1","0","49"
"148","Light of the Titans","","2","777","945","-1","0","49"
"149","Dark Keeper's Ward","","4","780","943","-1","0","49"
"150","Crest of Holy Fire","","5","778","944","-1","0","49"
"151","Vindicator's Bulwark","","6","779","946","-1","1","49"
"152","Light's Wrath","","1","705","0","-1","0","46"
"153","Crest of the Redeemed","","2","706","0","-1","0","46"
"154","Tomekeeper's Spire","","6","709","0","-1","1","46"
"155","Eternal Vigil","","4","708","0","-1","0","46"
"156","Chalice of Light","","3","707","0","-1","0","46"
"157","Banner of Purity","","2","950","0","-1","0","45"
"158","Keeper of Light","","3","948","0","-1","0","45"
"159","Memory of Argus","","5","949","0","-1","0","45"
"160","Embrace of the Void","","4","951","0","-1","0","45"
"161","The Dreadblades","","1","757","758","-1","0","44"
"162","Promise of the Seascourge","","2","868","873","-1","0","44"
"163","Flame's Kiss","","3","869","874","-1","0","44"
"164","Fencer's Reach","","5","870","875","-1","0","44"
"165","Scoundrel's Last Word","","4","871","876","-1","0","44"
"166","Stormkeeper","","2","880","885","-1","0","40"
"167","Earthspeaker","","3","881","886","-1","0","40"
"168","Rehgar's Legacy","","5","882","887","-1","0","40"
"169","Fist of the Fallen Shaman","","4","883","888","-1","0","40"
"170","Stormbringer","","2","632","0","-1","0","41"
"171","Legion's Doom","","3","633","0","-1","0","41"
"172","Blackhand's Fate","","4","634","0","-1","0","41"
"173","Typhoon","","5","635","0","-1","0","41"
"174","Scepter of the Deep","","2","801","963","-1","0","42"
"175","Titanborn","","3","802","961","-1","0","42"
"176","Totembearer","","4","803","962","-1","0","42"
"177","Frozen Fate","","5","804","959","-1","0","42"
"178","Deadwind Harvester","","1","646","0","-1","0","39"
"179","Hand of the Afflicted","","2","647","0","-1","0","39"
"180","Soul Siphon","","3","648","0","-1","0","39"
"181","Fate's End","","6","649","0","-1","1","39"
"182","Death's Hand","","4","650","0","-1","0","39"
"183","Skull of the Man'ari","","1","760","922","20","0","37"
"184","Gaze of the First Summoner","","2","781","927","20","0","37"
"185","Pride of the Pit Lord","","3","782","926","20","0","37"
"186","Burning Remnant","","4","783","923","20","0","37"
"187","Soul of the Forgotten","","5","784","925","20","0","37"
"188","Stromkar, the Warbreaker","","1","641","0","-1","0","36"
"189","Vengeance of the Fallen","","2","749","0","-1","0","36"
"190","Wrath's Edge","","4","752","0","-1","0","36"
"191","Flamereaper","","3","750","0","-1","0","36"
"192","Blade of the Sky Champion","","5","751","0","-1","0","36"
"193","Warswords of the Valarjar","","1","639","640","-1","0","35"
"194","Arm of the Dragonrider","","2","761","765","-1","0","35"
"195","Stormbreath","","4","764","768","-1","0","35"
"196","Helya's Gaze","","5","763","767","-1","0","35"
"197","Valormaw","","3","762","766","-1","0","35"
"200","Wildrunner","","5","934","0","-1","0","55"
"203","Moonspirit","","6","636","637","-1","1","58"
"206","Ashbringer","","1","62","0","-1","0","80"
"207","Ashbringer","","1","62","0","-1","0","81"
"208","Ashbringer","","1","62","0","-1","0","80"
"211","Underlight Angler","","1","818","0","1","0","73"
"212","Woolomancer's Charge","","6","825","0","-1","1","4"
"213","Touch of Undeath","","6","826","0","-1","1","15"
"214","Dark Runeblade","","6","827","828","-1","1","12"
"215","Death's Deliverance","","5","829","0","-1","0","16"
"216","Deathwalker","","6","830","932","-1","1","3"
"217","Umberwing","","5","909","910","-1","0","60"
"218","Manascythe","","5","835","0","-1","0","59"
"219","Might of the Grizzlemaw","","5","188","638","-1","0","57"
"220","Night's Vigilance","","5","67","0","-1","0","13"
"221","Titan's Reach","","6","836","0","-1","1","56"
"222","Forests' Guardian","","5","837","0","-1","0","34"
"223","The Stars' Design","","6","842","938","-1","1","54"
"224","Elite Magus","","5","843","0","-1","0","53"
"225","Ancient Brewkeeper","","6","844","0","-1","1","52"
"226","Essence of Calm","","5","849","0","-1","0","51"
"227","Xuen's Enforcer","","5","850","851","-1","0","50"
"228","Watcher's Armament","","6","852","199","-1","1","48"
"229","Divine Protector","","3","853","942","-1","0","49"
"230","Corrupted Remembrance","","6","854","0","-1","1","2"
"231","Ascended Watch","","5","855","0","-1","0","46"
"232","Crest of the Lightborn","","6","947","0","-1","1","45"
"233","Claw of N'Zoth","","6","857","956","-1","1","47"
"234","Ghostblade","","5","862","867","-1","0","43"
"235","Thunderfury, Hallowed Blade of the Windlord","","6","872","877","-1","1","44"
"236","Venombite","","6","878","879","-1","1","17"
"237","Prestige of the Amani","","6","884","889","-1","1","40"
"238","Zandalar Champion","","6","890","0","-1","1","41"
"239","Serpent's Coil","","6","891","960","-1","1","42"
"240","Spine of the Condemned","","5","892","0","-1","0","39"
"241","Thal'kiel's Visage","","6","893","924","20","1","37"
"242","Guise of the Darkener","","5","894","0","-1","0","38"
"243","Arcanite Bladebreaker","","6","895","0","-1","1","36"
"244","Dragonslayer's Edge","","6","896","897","-1","1","35"
"245","Legionbreaker","","5","898","964","-1","0","11"
